"SYMBOL","logFC","P.Value","adj.P.Val","p.value_activities","HL60","MOLM14"
"A1BG",-0.175452917879539,0.173991904443373,0.431523134525709,1,0,0
"A1BG-AS1",-0.374499864847666,0.0616583873978486,0.219692833407127,1,0,0
"A1CF",-0.0281423453840093,0.785226655323473,0.914256190629287,1,0,0
"A2M",0.0491848489508557,0.541279829886245,0.780140703369629,1,0,0
"A2M-AS1",0.209199834514894,0.159220257057219,0.409522811217352,1,0,0
"A2ML1",0.18646760126638,0.0737480693006711,0.248189193553482,1,0,0
"A2MP1",-0.13062868832189,0.336111492408799,0.619093746967047,1,0,0
"A2MP1",-0.0184552349344838,0.888867216151441,0.959621558827925,1,0,0
"A4GALT",0.0842988457646134,0.502047872040335,0.754140773104349,1,0,0
"A4GNT",-0.163692445465639,0.113561806390798,0.332269761159913,1,0,0
"AA06",-0.0753977876871739,0.415866055338663,0.689897595578376,1,0,0
"AAAS",0.30806123901185,0.0107737001797972,0.0596072110762754,1,0,0
"AACS",0.130136140764612,0.197984582293159,0.464293277251409,1,0,0
"AACSP1",0.073526273842667,0.553438891099515,0.787310507404688,1,0,0
"AADAC",0.0628352112898156,0.606771095645914,0.819766311425867,1,0,0
"AADACL2",-0.0128294529197048,0.921054352435708,0.972244186607578,1,0,0
"AADACL2-AS1",0.105875401207365,0.417349750574456,0.691165524011933,1,0,0
"AADACL3",0.00795489457968301,0.942344394911459,0.979996497506986,1,0,0
"AADACL4",0.161175290318373,0.271990757194818,0.554318027801285,1,0,0
"AADACP1",0.0344169523303073,0.758586842357052,0.901349793744007,1,0,0
"AADAT",0.222599277583562,0.0337270399288247,0.142321950249,1,0,0
"AAGAB",0.632594262350331,1.34163144980126e-05,0.000195420411420794,1,0,0
"AAK1",-1.62446184465094,3.61656962492782e-09,1.37524548638124e-07,1,0,0
"AAMDC",-0.10125123637799,0.445933775217177,0.713881675779251,1,0,0
"AAMP",0.295799728093514,0.00230843848033244,0.0167055670130901,1,0,0
"AANAT",-0.0553824854656648,0.608313772839517,0.820795720822819,1,0,0
"AAR2",0.567735203179741,6.29335836611524e-07,1.31398362739876e-05,1,0,0
"AARD",-0.127481574150492,0.124935068175951,0.35293169390885,1,0,0
"AARS1",-1.08069665219512,0.000587653666638262,0.00522437848518384,1,0,0
"AARS2",-0.167321405080465,0.108576001874466,0.322271893960542,1,0,0
"AASDH",0.29811677878652,0.0569401510842808,0.207486752799095,1,0,0
"AASDHPPT",0.554322141143046,1.25400595912364e-05,0.000184663656990751,1,0,0
"AASS",0.0027467486402708,0.982720974390861,0.994217606353469,1,0,0
"AATBC",-0.137083827648333,0.139751030250856,0.378225783098285,1,0,0
"AATF",0.521265486655192,7.49198851489675e-06,0.00011704485670257,1,0,0
"AATK",-0.195054718342905,0.0419399908729618,0.166928697990913,1,0,0
"ABAT",0.0413254603049307,0.680709316882829,0.862033086953132,1,0,0
"ABCA1",-0.449047340856779,0.000105919290290743,0.00118958411971487,1,0,0
"ABCA10",0.0663525522621518,0.596480670602686,0.813728427491894,1,0,0
"ABCA12",0.0356508187031737,0.758793055480133,0.901498892286303,1,0,0
"ABCA13",-0.0611342089016205,0.50643864595635,0.756765815232605,1,0,0
"ABCA17P",0.121426093916238,0.411173311695433,0.686373568661542,1,0,0
"ABCA2",0.374800338268082,0.077849183764628,0.25775223452563,1,0,0
"ABCA3",0.0712781658944452,0.448903319600059,0.715852369373709,1,0,0
"ABCA4",-0.0221867040503865,0.830883041349989,0.934886277978674,1,0,0
"ABCA5",-0.188263563397081,0.139630154585015,0.377994042127878,1,0,0
"ABCA6",-0.186242201440967,0.189325526511297,0.452950192091214,1,0,0
"ABCA7",-0.299691927666495,0.0139633319795569,0.073019796230167,1,0,0
"ABCA8",-0.0268745706464903,0.832114958071397,0.935531719583017,1,0,0
"ABCA9",-0.0454223821307331,0.664691875050329,0.85372524569559,1,0,0
"ABCA9-AS1",0.0564918834532335,0.422633183001014,0.695867458341471,1,0,0
"ABCB1",-0.165349558072569,0.103524988202696,0.312115554297909,1,0,0
"ABCB10",-0.435441411975663,0.00105430864987517,0.00861457892111503,1,0,0
"ABCB11",-0.0258176460767743,0.794217480506584,0.918224052361599,1,0,0
"ABCB4",0.0253379381928234,0.80625046472745,0.923044361096433,1,0,0
"ABCB5",-0.0860500912468609,0.454672951873263,0.720098058149369,1,0,0
"ABCB6",-0.164085300263992,0.0974494868590437,0.299768112828959,1,0,0
"ABCB7",0.625680714440469,0.00075182766216138,0.0064476557520964,1,0,0
"ABCB9",-0.15969989561238,0.0903255018456604,0.284730579837661,1,0,0
"ABCC1",0.972463787777576,1.38207963351983e-10,7.60030397030078e-09,1,0,0
"ABCC10",-0.279452447801904,0.00109733244279119,0.0089253145608518,1,0,0
"ABCC11",-0.176309535606691,0.118765501065112,0.341749729813206,1,0,0
"ABCC12",0.0503764170940517,0.653824831152203,0.847462311364107,1,0,0
"ABCC13",-0.150028586597201,0.151145402172637,0.396413183277657,1,0,0
"ABCC2",0.103525740128286,0.35696964846109,0.638293956855079,1,0,0
"ABCC3",-0.00923170053512123,0.937716099608345,0.97834876652834,1,0,0
"ABCC4",1.12991154655027,6.62606595625963e-12,5.24770721383711e-10,1,0,0
"ABCC5",0.364692792427359,0.00593429941374601,0.0366270670734224,1,0,0
"ABCC5-AS1",0.0716553374582385,0.625292542405053,0.830667406147605,1,0,0
"ABCC6P1",-0.098246262025004,0.402830390716041,0.679366374381649,1,0,0
"ABCC6P2",-1.02391990455025,3.53417152705227e-08,1.0383105466628e-06,1,0,0
"ABCC8",0.0152004393451737,0.84651334011711,0.941485040695026,1,0,0
"ABCC9",0.11012438983727,0.419546404590876,0.693022569239626,1,0,0
"ABCD1",0.645551319810594,0.000508439551266994,0.00461347155530249,1,0,0
"ABCD2",0.365043478155505,0.00187685277380795,0.0140644605413362,1,0,0
"ABCD3",0.159351822927302,0.138953247409311,0.37677031790963,1,0,0
"ABCD4",0.240953517349282,0.0242130621258327,0.111190468665943,1,0,0
"ABCE1",0.322513264254434,0.000560412609403432,0.00501462664859543,1,0,0
"ABCF1",0.717166885825803,9.30422508118285e-10,4.09240882836572e-08,1,0,0
"ABCF1",0.717443538882948,2.59608004365893e-09,1.02123274908922e-07,1,0,0
"ABCF1",0.717443538882948,2.59608004365893e-09,1.02123274908922e-07,1,0,0
