"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051301","GO:0051301","cell division","22/159","423/10891",2.04957657605719e-07,2.04957657605719e-07,0.000279256184672766,"ANLN/AURKA/BCAR1/CCNA2/CDCA2/CDCA3/CDCA5/CDCA8/CDK14/CKS2/KIF18B/MYH10/NCAPD3/NCAPH/PLK1/SKA1/SPC25/TOP2A/TUBA1C/UBE2C/UBE2S/VRK1",22
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","10/159","81/10891",2.5558128655022e-07,2.5558128655022e-07,0.000279256184672766,"ARL6IP1/RPL21/RPL23A/RPL29/RPS13/RPS2/RPS29/RPSA/SRP9/SSR1",10
"GO:0140014","GO:0140014","mitotic nuclear division","13/159","190/10891",4.00398266627253e-06,4.00398266627253e-06,0.00291658526848483,"ANLN/AURKA/CDCA5/CDCA8/HSPA1A/KIF18B/MKI67/NCAPD3/NCAPH/PLK1/TTK/UBE2C/UBE2S",13
"GO:0007143","GO:0007143","female meiotic nuclear division","5/159","19/10891",6.13758045242344e-06,6.13758045242344e-06,0.00335305711032396,"AURKA/NCAPH/PLK1/TOP2A/TTK",5
"GO:0000280","GO:0000280","nuclear division","15/159","277/10891",1.25765493324493e-05,1.25765493324493e-05,0.00549661398192942,"ANLN/AURKA/CDCA5/CDCA8/CKS2/HSPA1A/KIF18B/MKI67/NCAPD3/NCAPH/PLK1/TOP2A/TTK/UBE2C/UBE2S",15
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","8/159","77/10891",1.54986797708446e-05,1.54986797708446e-05,0.00564478231653918,"RPL21/RPL23A/RPL29/RPS13/RPS2/RPS29/RPSA/SRP9",8
"GO:0030261","GO:0030261","chromosome condensation","5/159","25/10891",2.61257555082529e-05,2.61257555082529e-05,0.00694854076262973,"CDCA5/ERN2/NCAPD3/NCAPH/TOP2A",5
"GO:0045047","GO:0045047","protein targeting to ER","8/159","83/10891",2.69801516731332e-05,2.69801516731332e-05,0.00694854076262973,"RPL21/RPL23A/RPL29/RPS13/RPS2/RPS29/RPSA/SRP9",8
"GO:0006612","GO:0006612","protein targeting to membrane","10/159","137/10891",3.1006317303263e-05,3.1006317303263e-05,0.00694854076262973,"ARL6IP1/RPL21/RPL23A/RPL29/RPS13/RPS2/RPS29/RPSA/SRP9/SSR1",10
"GO:0048285","GO:0048285","organelle fission","15/159","301/10891",3.33716560988838e-05,3.33716560988838e-05,0.00694854076262973,"ANLN/AURKA/CDCA5/CDCA8/CKS2/HSPA1A/KIF18B/MKI67/NCAPD3/NCAPH/PLK1/TOP2A/TTK/UBE2C/UBE2S",15
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","8/159","86/10891",3.49769995036034e-05,3.49769995036034e-05,0.00694854076262973,"RPL21/RPL23A/RPL29/RPS13/RPS2/RPS29/RPSA/SRP9",8
"GO:0007059","GO:0007059","chromosome segregation","12/159","205/10891",4.5283858746848e-05,4.5283858746848e-05,0.00824642901389969,"CDCA2/CDCA5/CDCA8/KIF18B/MKI67/NCAPD3/NCAPH/PLK1/SKA1/SPC25/TOP2A/TTK",12
"GO:0030282","GO:0030282","bone mineralization","7/159","74/10891",9.81508284129151e-05,9.81508284129151e-05,0.0164988760959686,"FBN2/KL/LGR4/PKDCC/SNX10/TUFT1/WNT11",7
"GO:0090150","GO:0090150","establishment of protein localization to membrane","12/159","229/10891",0.000131060593458008,0.000131060593458008,0.0185803087980882,"ARL6IP1/PKDCC/RAB26/RPL21/RPL23A/RPL29/RPS13/RPS2/RPS29/RPSA/SRP9/SSR1",12
"GO:0006323","GO:0006323","DNA packaging","8/159","104/10891",0.000136040796594866,0.000136040796594866,0.0185803087980882,"ASF1B/CDCA5/ERN2/HMGA1/NCAPD3/NCAPH/PADI4/TOP2A",8
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","8/159","104/10891",0.000136040796594866,0.000136040796594866,0.0185803087980882,"RPL21/RPL23A/RPL29/RPS13/RPS2/RPS29/RPSA/SRP9",8
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","7/159","89/10891",0.000313085423912866,0.000313085423912866,0.0402455318912142,"RPL21/RPL23A/RPL29/RPS13/RPS2/RPS29/RPSA",7
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","8/159","120/10891",0.000364579206760516,0.000364579206760516,0.042134128286309,"ANLN/AURKA/CDCA5/HSPA1A/MKI67/PLK1/TTK/UBE2C",8
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","16/159","415/10891",0.0003663396028747,0.0003663396028747,0.042134128286309,"ANLN/AURKA/CCNA2/CDCA5/CDK14/CKS2/HMMR/MUC1/PLK1/POLE2/RPA3/RRM2/TTK/TUBA4A/UBE2C/UBE2S",16
"GO:0051443","GO:0051443","positive regulation of ubiquitin-protein transferase activity","4/159","25/10891",0.000435610154425157,0.000435610154425157,0.0439217767039013,"PLK1/RPS2/UBE2C/UBE2S",4
"GO:1901685","GO:1901685","glutathione derivative metabolic process","3/159","11/10891",0.00046227881550108,0.00046227881550108,0.0439217767039013,"GSTM3/MGST1/MGST3",3
"GO:1901687","GO:1901687","glutathione derivative biosynthetic process","3/159","11/10891",0.00046227881550108,0.00046227881550108,0.0439217767039013,"GSTM3/MGST1/MGST3",3
"GO:1904668","GO:1904668","positive regulation of ubiquitin protein ligase activity","3/159","11/10891",0.00046227881550108,0.00046227881550108,0.0439217767039013,"PLK1/UBE2C/UBE2S",3
"GO:0010458","GO:0010458","exit from mitosis","4/159","26/10891",0.000508999833604565,0.000508999833604565,0.046345774322942,"ANLN/CDCA5/UBE2C/UBE2S",4
"GO:0000819","GO:0000819","sister chromatid segregation","8/159","128/10891",0.000562330179659911,0.000562330179659911,0.0491535769673253,"CDCA5/CDCA8/KIF18B/NCAPD3/NCAPH/PLK1/TOP2A/TTK",8
"GO:0044770","GO:0044770","cell cycle phase transition","16/159","436/10891",0.000628516473707976,0.000628516473707976,0.0518869250084773,"ANLN/AURKA/CCNA2/CDCA5/CDK14/CKS2/HMMR/MUC1/PLK1/POLE2/RPA3/RRM2/TTK/TUBA4A/UBE2C/UBE2S",16
"GO:0071103","GO:0071103","DNA conformation change","10/159","198/10891",0.000641088452055608,0.000641088452055608,0.0518869250084773,"ASF1B/CDCA5/ERN2/HMGA1/NCAPD3/NCAPH/PADI4/PIF1/POLQ/TOP2A",10
"GO:0043312","GO:0043312","neutrophil degranulation","14/159","359/10891",0.000769658629565016,0.000769658629565016,0.0522177419876648,"CD59/CRISP3/EPX/FABP5/GALNS/GGH/GPR84/HSPA1A/MGST1/MMP8/PADI2/PRG2/QPCT/SIGLEC5",14
"GO:0006123","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","3/159","13/10891",0.000784250337117818,0.000784250337117818,0.0522177419876648,"COX6A1/COX7A2L/NDUFA4",3
"GO:0019646","GO:0019646","aerobic electron transport chain","3/159","13/10891",0.000784250337117818,0.000784250337117818,0.0522177419876648,"COX6A1/COX7A2L/NDUFA4",3
"GO:0051783","GO:0051783","regulation of nuclear division","8/159","135/10891",0.000799533055201851,0.000799533055201851,0.0522177419876648,"ANLN/AURKA/CDCA5/HSPA1A/MKI67/PLK1/TTK/UBE2C",8
"GO:0031214","GO:0031214","biomineral tissue development","7/159","104/10891",0.000804535608056963,0.000804535608056963,0.0522177419876648,"FBN2/KL/LGR4/PKDCC/SNX10/TUFT1/WNT11",7
"GO:0110148","GO:0110148","biomineralization","7/159","104/10891",0.000804535608056963,0.000804535608056963,0.0522177419876648,"FBN2/KL/LGR4/PKDCC/SNX10/TUFT1/WNT11",7
"GO:0002283","GO:0002283","neutrophil activation involved in immune response","14/159","361/10891",0.000812443673507501,0.000812443673507501,0.0522177419876648,"CD59/CRISP3/EPX/FABP5/GALNS/GGH/GPR84/HSPA1A/MGST1/MMP8/PADI2/PRG2/QPCT/SIGLEC5",14
"GO:0042119","GO:0042119","neutrophil activation","14/159","365/10891",0.00090407838885677,0.00090407838885677,0.0564471198576437,"CD59/CRISP3/EPX/FABP5/GALNS/GGH/GPR84/HSPA1A/MGST1/MMP8/PADI2/PRG2/QPCT/SIGLEC5",14
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","7/159","107/10891",0.000952283162151645,0.000952283162151645,0.0577541917347107,"CDCA5/CDCA8/KIF18B/NCAPD3/NCAPH/PLK1/TTK",7
