"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","nb_enhancer_changed"
"1","A2M",3.20096038442632,2235.33097240149,1.91142703045186,0.0618220134785829,0.696897404501674,-4.58456197266574,0,2,2,4,2
"2","A2ML1",0.737277227766104,30.7457944106314,0.406000597593081,0.686514063714398,1,-4.59870229259618,4,0,4,8,4
"3","AAAS",-2.9128598953656,8751.20163802776,-0.963893876496328,0.339843665742967,0.862437370161789,-4.59543592693092,5,2,25,32,7
"4","AACS",2.34314414871668,1300.57968798299,1.30177176960614,0.199096028602221,0.790066810866895,-4.59226271383465,0,0,1,1,0
"5","AADAC",-0.00553693252413648,0.518829067832905,-0.00968392695939067,0.992312880866232,1,-4.59941971427577,1,0,1,2,1
"6","AADACL3",0.353550779231569,0.11091789152363,0.989244857410914,0.327415084902674,0.854888718817209,-4.59522774742241,0,0,1,1,0
"7","AADACL4",0,0.0148073524653885,0,1,1,-4.59942012403346,0,2,22,24,2
"8","AADAT",2.53062792653997,319.069734781375,1.19995225211203,0.235941565024513,0.816536622512385,-4.59330791928571,0,0,9,9,0
"9","AAGAB",-2.39829883232735,3145.10322997232,-0.997363218234707,0.323500076884416,0.852993893106559,-4.59516002677363,0,0,8,8,0
"10","AAMP",2.41320164412862,5413.72003517646,0.376336676375944,0.708295218719543,1,-4.5988030647553,2,1,37,40,3
"11","AANAT",-0.623759586443819,26.6872883279376,-0.544925976676548,0.588282194558363,0.969720569046126,-4.59813044718214,1,0,12,13,1
"12","AARS",3.2511450826413,19150.4524966566,0.594303617217554,0.55504990053972,0.949728029530553,-4.59788787888528,1,0,16,17,1
"13","AARS2",2.17923580495405,3535.94661007437,0.398599417593114,0.691924286757317,1,-4.59872814177948,1,0,3,4,1
"14","AASDH",2.17148802736165,2280.28485496218,0.513564413448149,0.609870264429758,0.976375221429084,-4.5982738519033,3,0,18,21,3
"15","AASDHPPT",-1.64588836362543,1139.76643155716,-0.377288915223308,0.707592069526073,1,-4.59879994717353,0,0,5,5,0
"16","AASS",2.84140636605535,1844.37450539686,0.746195594317895,0.459123069890678,0.91235302309014,-4.59701447579078,0,0,3,3,0
"17","AATF",2.91010666900034,7769.4538438023,0.760518691592753,0.450597636901505,0.908252683941839,-4.5969223231691,0,1,1,2,1
"18","AATK",-2.658124739932,709.534149232567,-1.71808007807823,0.0921112444456062,0.714808643109171,-4.58725397640928,0,0,2,2,0
"19","ABCA1",3.62260095829011,11591.6581960172,0.887541599639094,0.37913376890278,0.877764529937754,-4.59603254920796,0,0,40,40,0
"20","ABCA10",1.46986490092105,125.607480112487,0.694788263807292,0.490477546336717,0.924099737667247,-4.59733140423871,1,1,15,17,2
"21","ABCA17P",-0.161659530885498,2.33335117293415,-1.02200613853729,0.311809582198532,0.849764558250222,-4.59495134844568,3,0,5,8,3
"22","ABCA2",3.22744695104771,21569.2796890566,0.44713246750487,0.656754470777741,0.994099891256507,-4.59855009799303,3,0,7,10,3
"23","ABCA3",1.76210427103843,2491.6905547417,0.0951144648671562,0.924612762793103,1,-4.59938060211171,3,0,5,8,3
"24","ABCA4",-0.411965369502552,17.0284135486299,-0.0547681979618481,0.956546378472453,1,-4.59940701848168,0,0,4,4,0
"25","ABCA5",1.98333525068061,1420.35628780185,0.197510267184858,0.844247292296132,1,-4.59924980651493,1,1,16,18,2
"26","ABCA6",2.42979703635235,256.029175043877,1.09005898996553,0.281031786753582,0.837862399394695,-4.59435093765964,1,0,4,5,1
"27","ABCA7",-3.66904738809703,14606.3701655857,-1.87180721961853,0.0672231213221348,0.697906009339595,-4.58513093734403,0,0,1,1,0
"28","ABCA8",2.571319741833,169.285755553919,1.02501784993058,0.310400771236983,0.849764558250222,-4.59492552459416,1,0,4,5,1
"29","ABCA9",2.76805780645259,268.49000139196,1.69102722087405,0.0971991142399014,0.720646061435398,-4.58761317260901,1,0,8,9,1
"30","ABCB10",-3.59335917100031,8397.47748616916,-1.46225483475853,0.150071396129686,0.759404579740513,-4.59046739282346,7,2,22,31,9
"31","ABCB4",-2.60183147458386,391.179629004589,-2.71189183092366,0.00920758843471924,0.575772853420773,-4.57147258418365,0,0,2,2,0
"32","ABCB5",-0.799328769092873,38.4932584072814,-0.139956971898318,0.889269096912153,1,-4.59933456994586,0,2,10,12,2
"33","ABCB6",-3.20921710846194,2123.13732986889,-1.57055095170309,0.122738321061589,0.740484824276752,-4.58915798201629,1,0,3,4,1
