"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006261","BP","GO:0006261","DNA-dependent DNA replication","36/1069","151/18670",1.46879598448845e-13,1.46879598448845e-13,7.29450468928051e-10,"ATG7/GINS3/CDC45/LIG1/FGFR1/POLD3/RAD51/RECQL4/RPA4/CHTF18/BRCA2/GINS4/CDC6/POLQ/RFC2/TIMELESS/EME1/GINS2/CDT1/CCNE2/CDK2/TIPIN/POLD1/FEN1/POLA2/DSCC1/PNKP/MCM4/MCM10/MCM5/DNA2/RTEL1/PCNA/RFC5/NBN/E2F7",36
"GO:0006260","BP","GO:0006260","DNA replication","47/1069","273/18670",1.05388311260708e-11,1.05388311260708e-11,2.61695817120011e-08,"ATG7/GINS3/CDC45/LIG1/FGFR1/BRIP1/POLD3/RAD51/RECQL4/RPA4/CHTF18/BRCA2/GINS4/CDC6/CLSPN/POLQ/BRCA1/JUN/RFC2/RAD9A/TIMELESS/EME1/GINS2/TOP3A/CDT1/CHAF1A/CCNE2/CDK2/TIPIN/POLD1/FEN1/POLA2/CHEK1/DSCC1/PNKP/DTL/MCM4/MCM10/MCM5/DNA2/RNASEH2A/RTEL1/PCNA/RRM2/RFC5/NBN/E2F7",47
"GO:0033260","BP","GO:0033260","nuclear DNA replication","18/1069","60/18670",3.54843435781495e-09,3.54843435781495e-09,5.87421519304243e-06,"CDC45/LIG1/FGFR1/POLD3/RAD51/BRCA2/RFC2/CDT1/TIPIN/POLD1/FEN1/POLA2/MCM4/MCM5/DNA2/RTEL1/PCNA/RFC5",18
"GO:0043312","BP","GO:0043312","neutrophil degranulation","61/1069","485/18670",5.87020487556906e-09,5.87020487556906e-09,6.1465130020628e-06,"CTSG/SERPINB10/ELANE/GSTP1/RNASE2/FABP5/ATG7/AZU1/GGH/PGM1/DGAT1/RAB27A/DSN1/EPX/GSDMD/LAIR1/PRTN3/ORM2/DNAJC5/PLAC8/RNASE3/PRG2/NEU1/CEACAM6/ORM1/PTX3/CHRNB4/CLEC12A/GPI/ARSA/HSPA1A/VAT1/CHI3L1/AMPD3/DSG1/PRAM1/SLCO4C1/CYBA/SURF4/DEFA4/PRG3/MS4A3/CHIT1/PGAM1/SERPINB1/APAF1/GUSB/NBEAL2/GLA/DDOST/ABR/GYG1/MNDA/PRKCD/NFAM1/IGF2R/LAMP2/PLEKHO2/FCGR3B/ABCA13/GALNS",61
"GO:0002446","BP","GO:0002446","neutrophil mediated immunity","62/1069","499/18670",7.04289717729931e-09,7.04289717729931e-09,6.1465130020628e-06,"CTSG/SERPINB10/ELANE/GSTP1/RNASE2/FABP5/ATG7/AZU1/GGH/PGM1/DGAT1/RAB27A/DSN1/EPX/GSDMD/LAIR1/PRTN3/ORM2/DNAJC5/PLAC8/RNASE3/PRG2/NEU1/CEACAM6/ORM1/PTX3/CHRNB4/CLEC12A/GPI/ARSA/HSPA1A/VAT1/CHI3L1/AMPD3/DSG1/PRAM1/SLCO4C1/CYBA/SURF4/DEFA4/PRG3/MS4A3/CHIT1/PGAM1/SERPINB1/APAF1/GUSB/NBEAL2/GLA/DDOST/ABR/GYG1/MNDA/PRKCD/NFAM1/IL6/IGF2R/LAMP2/PLEKHO2/FCGR3B/ABCA13/GALNS",62
"GO:0002283","BP","GO:0002283","neutrophil activation involved in immune response","61/1069","488/18670",7.42584232974946e-09,7.42584232974946e-09,6.1465130020628e-06,"CTSG/SERPINB10/ELANE/GSTP1/RNASE2/FABP5/ATG7/AZU1/GGH/PGM1/DGAT1/RAB27A/DSN1/EPX/GSDMD/LAIR1/PRTN3/ORM2/DNAJC5/PLAC8/RNASE3/PRG2/NEU1/CEACAM6/ORM1/PTX3/CHRNB4/CLEC12A/GPI/ARSA/HSPA1A/VAT1/CHI3L1/AMPD3/DSG1/PRAM1/SLCO4C1/CYBA/SURF4/DEFA4/PRG3/MS4A3/CHIT1/PGAM1/SERPINB1/APAF1/GUSB/NBEAL2/GLA/DDOST/ABR/GYG1/MNDA/PRKCD/NFAM1/IGF2R/LAMP2/PLEKHO2/FCGR3B/ABCA13/GALNS",61
"GO:0044786","BP","GO:0044786","cell cycle DNA replication","19/1069","71/18670",1.07877291733089e-08,1.07877291733089e-08,7.65360996085285e-06,"CDC45/LIG1/FGFR1/POLD3/RAD51/BRCA2/RFC2/CDT1/TIPIN/POLD1/FEN1/POLA2/MCM4/MCM5/DNA2/RTEL1/PCNA/RFC5/E2F7",19
"GO:0042119","BP","GO:0042119","neutrophil activation","61/1069","498/18670",1.59539707712456e-08,1.59539707712456e-08,9.90405711825481e-06,"CTSG/SERPINB10/ELANE/GSTP1/RNASE2/FABP5/ATG7/AZU1/GGH/PGM1/DGAT1/RAB27A/DSN1/EPX/GSDMD/LAIR1/PRTN3/ORM2/DNAJC5/PLAC8/RNASE3/PRG2/NEU1/CEACAM6/ORM1/PTX3/CHRNB4/CLEC12A/GPI/ARSA/HSPA1A/VAT1/CHI3L1/AMPD3/DSG1/PRAM1/SLCO4C1/CYBA/SURF4/DEFA4/PRG3/MS4A3/CHIT1/PGAM1/SERPINB1/APAF1/GUSB/NBEAL2/GLA/DDOST/ABR/GYG1/MNDA/PRKCD/NFAM1/IGF2R/LAMP2/PLEKHO2/FCGR3B/ABCA13/GALNS",61
"GO:0051321","BP","GO:0051321","meiotic cell cycle","38/1069","249/18670",3.07337436404512e-08,3.07337436404512e-08,1.69592751456899e-05,"HSPA2/TEX15/FBXO43/DMC1/OVOL1/MASTL/BRIP1/TUBB8/RAD51/BRCA2/RAD54L/SMC1B/CYP26B1/PKMYT1/FANCA/CCDC36/MND1/PTTG3P/EME1/TOP3A/CCNE2/CDK2/SLC2A8/TEX14/RAD54B/FANCD2/PIWIL4/LIF/CALR/XRCC2/CCNB3/NPPC/CDC25A/DDX4/NBN/SLC26A8/CDC25C/NCAPD2",38
"GO:0000280","BP","GO:0000280","nuclear division","49/1069","407/18670",6.95214020823775e-07,6.95214020823775e-07,0.00034526523686806,"HSPA2/TEX15/FBXO43/PSRC1/DMC1/DSN1/EDN1/IL1A/MASTL/BRIP1/TUBB8/RAD51/BRCA2/RAD54L/CDC6/CYP26B1/PKMYT1/FANCA/CDCA5/BIRC5/CCDC36/MND1/ANLN/CCDC8/HSPA1A/PTTG3P/EME1/CDT1/CCNE2/SLC2A8/TEX14/CHEK1/RAD54B/FANCD2/DSCC1/NEK6/XRCC3/LIF/CALR/ZWINT/DDX4/UBXN2B/SIRT7/CDC25C/KNTC1/AURKB/NCAPD2/ARHGEF10/KIFC1",49
