"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers"
"1","ACAD11",917.833539098659,2353.80144272513,2.01759450478761,0.0491411216803849,0.694581450545649,-4.58299547949939,1,1,22,24
"2","ACADSB",683.7909613712,1690.13844765806,2.26747726131688,0.0278180820013224,0.655951005102692,-4.57908468112859,2,0,7,9
"3","ACAT2",519.285918496225,1694.56289991928,2.31145356949117,0.0250655957056653,0.649823788672128,-4.57836641745087,1,1,19,21
"4","ADORA3",312.941659032791,227.034802221949,2.04270097963019,0.0464943141747129,0.688028904094516,-4.58261638901053,4,0,7,11
"5","AMZ1",37.2277386872698,35.5676163925802,2.28415872142305,0.0267438323406648,0.655951005102692,-4.57881322192563,3,0,21,24
"6","ANAPC4",1141.40225714189,3697.21392162617,2.29131490859146,0.0262944196771381,0.655951005102692,-4.57869639273425,1,0,7,8
"7","ANGPT1",9322.10458387012,6341.36026847373,2.2804964978221,0.0269764566329357,0.655951005102692,-4.57887292296886,1,3,19,23
"8","ANKHD1",73.922512289939,198.883399035801,2.46262287320844,0.0173641860658129,0.615308093686932,-4.57583522942626,1,0,6,7
"9","ANKIB1",1749.29782510497,7019.55183739185,2.89181676009858,0.00570208738233568,0.565705210983799,-4.56819879512563,1,0,8,9
"10","ANKLE2",1523.57887046438,7211.58146992597,2.17941820297507,0.0341484593039432,0.670617873206242,-4.58049685692357,1,0,3,4
"11","ANKZF1",885.341248965356,3688.8475141938,2.07676980878352,0.0431010163739915,0.680681114376166,-4.58209684379716,3,0,7,10
"12","AP1B1",5140.60070983033,12946.8291123512,2.02022246120978,0.0488580955127331,0.694239450192557,-4.58295595106656,1,0,0,1
"13","AP4E1",476.768250173138,2647.3686669519,2.21231768280293,0.0316482455561372,0.667026402965753,-4.57997341756678,0,2,12,14
"14","AP4S1",156.344770467518,445.806014280944,2.17291196864663,0.0346630263460143,0.670617873206242,-4.58059977342868,3,0,11,14
"15","ARFGEF2",4355.26808044037,28242.253751379,2.01886925721736,0.0490036564963271,0.694250426272026,-4.58297630975336,8,1,22,31
"16","ARID5B",6078.44745719743,5341.986670602,2.21582305193925,0.0313916329957655,0.667026402965753,-4.57991735053628,3,1,16,20
"17","ARRB1",2741.12147613428,10258.8150435329,2.1932716336091,0.0330751845300707,0.670617873206242,-4.58027705945902,1,0,4,5
"18","ASH1L",8134.10232583272,27226.4385624085,3.49256759513337,0.00102549989160083,0.46438376626021,-4.55672933675141,4,0,30,34
"19","ATG10",242.101800978969,656.831430927158,2.11837119586233,0.0392517012385081,0.670617873206242,-4.58145457131589,0,1,9,10
"20","ATG16L1",1002.01228283695,4876.78864457609,2.2243737857392,0.0307733751957947,0.66487275757254,-4.57978034822218,3,1,30,34
"21","ATP6V0A4",13.841350364781,7.13985086656757,2.52315151726257,0.0149338564583989,0.607529672626876,-4.57479632604953,0,1,3,4
"22","ATP8B1",455.407997675412,986.858421972349,2.11966744076091,0.0391367545975422,0.670617873206242,-4.5814344222259,2,0,3,5
"23","ATP8B2",5874.11403949635,11819.3822138706,2.11425278761425,0.0396188709178269,0.670617873206242,-4.58151853425248,2,0,5,7
"24","B3GAT2",1.89142296164414,1.50671189721788,2.2349473766341,0.0300237749122914,0.66487275757254,-4.57961047319435,0,2,8,10
"25","BAALC",4379.07112558597,2434.68792656319,3.11404272703387,0.00308318281970394,0.547342786336625,-4.56403785482235,2,1,11,14
"26","BCL2",755.028081981961,1307.61943329263,2.32538753937713,0.0242456292574858,0.649071172185619,-4.57813708082029,4,0,35,39
"27","BDP1",8848.57604326456,16803.0668449637,2.05277942539741,0.0454671208954177,0.683949289993778,-4.5824633051064,0,1,12,13
"28","BGLAP",75.5762280477775,117.679090816001,2.63269968118021,0.0113065117894226,0.600315045199285,-4.57288199705918,2,0,13,15
"29","BIRC6",17623.452856044,57166.2012580866,3.7517593008391,0.000466122577460561,0.421010018441987,-4.55162219406918,3,2,25,30
"30","BMF",300.91488461075,514.304005804995,2.49872929833167,0.0158746651962121,0.615308093686932,-4.5752171736764,2,0,17,19
"31","BTAF1",5257.73559569842,18688.6924101669,2.69991389907297,0.00950017400226131,0.578758400947145,-4.57168706867033,3,1,9,13
"32","C12orf42",175.346293572107,100.27438392343,2.54840867466774,0.0140144061804625,0.607529672626876,-4.57435876772864,2,1,2,5
"33","C14orf178",23.948131072236,74.2133408888078,2.28757404519158,0.0265285019853345,0.655951005102692,-4.57875749266822,3,0,14,17
"34","C21orf49",44.3330495611577,67.7628958496518,2.5240202438925,0.0149013430127114,0.607529672626876,-4.57478131508041,2,0,7,9
"35","C22orf46",33.1892587544022,107.095268824139,2.13576774565894,0.0377334110607664,0.670617873206242,-4.58118347518634,1,0,2,3
"36","C2CD2",1193.60308764104,1851.16103419285,2.30463459480104,0.0254758169885871,0.651724305620289,-4.57847834471778,0,1,5,6
"37","C3orf49",35.9610459531838,60.3976215978249,2.30860354212204,0.0252363275355178,0.649909520802128,-4.57841322252735,1,0,8,9
"38","C5orf56",375.557336856737,1041.29905866578,2.22438111715374,0.030772849757314,0.66487275757254,-4.5797802306125,5,0,18,23
"39","C9orf91",316.607108137222,663.835633790317,2.65995476003145,0.0105391539048069,0.582674882490684,-4.57239925570104,1,1,18,20
"40","CA7",4.24514677469593,3.37806564605993,2.48799999887001,0.0163047217689325,0.615308093686932,-4.57540135354703,2,1,28,31
