"Gene_name","Size","nes","TF_Pval","TF_Pval_fdr","TF_logFC","NR_TF_activity","R_TF_activity","delta_TF_activity","logFC_expression","P.Value_expression","P.Value_promoter_methylation","NR_Promoter_Methylation","R_Promoter_Methylation","delta_promoter_methylation","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","Nb_enhancers_changed"
"A1BG",0,0,1,1,0,0,0,0,4.54307507712318,0.267679527702286,1,0,0,0,0,0,0,0,0
"A1CF",0,0,1,1,0,0,0,0,0,0.353429739682865,1,0,0,0,0,0,0,0,0
"A2BP1",0,0,1,1,0,0,0,0,0.206341257602269,0.39567803778067,1,0,0,0,0,0,0,0,0
"A2LD1",0,0,1,1,0,0,0,0,2.19683030859916,0.0532255272230757,1,0,0,0,0,0,0,0,0
"A2M",0,0,1,1,0,0,0,0,7.37048366444453,0.0808073185575553,0.395398966934967,0.669826596625386,0.688023171912489,-0.0181965752871029,0,1,3,4,1
"A2ML1",0,0,1,1,0,0,0,0,1.69764355405821,0.387243390611825,0.347011160984915,0.857753894331082,0.86957088501973,-0.0118169906886481,2,0,6,8,2
"A2ML1-AS1",0,0,1,1,0,0,0,0,0,1,0.798727154553141,0.942127832529834,0.94044464122537,0.00168319130446448,2,0,7,9,2
"A2ML1-AS2",0,0,1,1,0,0,0,0,0,1,0.347011160984915,0.857753894331082,0.86957088501973,-0.0118169906886481,2,0,6,8,2
"A3GALT2",0,0,1,1,0,0,0,0,0,1,0.00752042179538661,0.741612430549952,0.674612076498372,0.06700035405158,0,0,7,7,0
"A4GALT",0,0,1,1,0,0,0,0,-6.48801982909785,0.071810530514276,1,0,0,0,0,0,0,0,0
"A4GNT",0,0,1,1,0,0,0,0,-1.65013692730776,0.0475539800768556,1,0,0,0,0,0,0,0,0
"AAA1",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"AAAS",0,0,1,1,0,0,0,0,-6.70710777304903,0.370104220603026,0.00694490661681111,0.0456885232759952,0.0358453342286175,0.00984318904737772,3,1,28,32,4
"AACS",0,0,1,1,0,0,0,0,5.39528878757126,0.240846877357037,0.290967049458709,0.102263587337065,0.09338908975125,0.00887449758581528,0,0,1,1,0
"AACSL",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"AADAC",0,0,1,1,0,0,0,0,0,0.984197804380368,0.542515215431341,0.802307789198759,0.783953792932795,0.0183539962659645,1,0,1,2,1
"AADACL2",0,0,1,1,0,0,0,0,0,0.295311470978407,0.0627194002036767,0.831227598322941,0.865050197133702,-0.033822598810761,0,0,0,0,0
"AADACL3",0,0,1,1,0,0,0,0,0,0.460910694011521,0.947885114199793,0.709128824367302,0.70688810471847,0.00224071964883266,0,0,1,1,0
"AADACL4",0,0,1,1,0,0,0,0,0,1,0.203725478501451,0.79361060411762,0.765817946576447,0.0277926575411728,0,1,23,24,1
"AADAT",0,0,1,1,0,0,0,0,5.82698613956536,0.367136815794836,0.0043148220609869,0.182896031468737,0.142449096989474,0.0404469344792625,0,0,9,9,0
"AAGAB",0,0,1,1,0,0,0,0,-5.52228713986199,0.331174653517229,0.00280875977340951,0.148413090643624,0.11760545872492,0.0308076319187034,0,0,8,8,0
"AAK1",0,0,1,1,0,0,0,0,7.30107222933785,0.47105455107406,0.0480432036143273,0.904868773606271,0.930569321636051,-0.0257005480297803,0,0,0,0,0
"AAMDC",0,0,1,1,0,0,0,0,0,1,0.0468701359974064,0.218888073521031,0.214662045276547,0.00422602824448451,0,0,3,3,0
"AAMP",0,0,1,1,0,0,0,0,5.55660213215929,0.75075217151461,0.464108033273761,0.55541028508415,0.549999381548427,0.00541090353572293,1,0,39,40,1
"AANAT",0,0,1,1,0,0,0,0,-1.43625952535767,0.59598776262857,0.0274750884410463,0.416247564893408,0.381982777426887,0.0342647874665203,1,0,12,13,1
"AAR2",0,0,1,1,0,0,0,0,0,1,0.155046191099532,0.36780474756924,0.336917905810605,0.0308868417586357,0,0,2,2,0
"AARD",0,0,1,1,0,0,0,0,0,1,0.00646974543279567,0.418769255559023,0.353725744038147,0.065043511520876,0,0,0,0,0
"AARS",0,0,1,1,0,0,0,0,7.48603820245074,0.444263837524666,0.207951849367988,0.237680528003228,0.228734814948599,0.0089457130546288,0,0,17,17,0
"AARS2",0,0,1,1,0,0,0,0,5.01787587860608,0.711873105678018,0.0608850842946052,0.488176945323843,0.462016770376478,0.0261601749473656,1,0,3,4,1
"AARSD1",0,0,1,1,0,0,0,0,5.17200731120562,0.591233959414642,1,0,0,0,0,0,0,0,0
"AASDH",0,0,1,1,0,0,0,0,5.00003596141798,0.65336922211135,0.409732460538649,0.0900903414502002,0.097306049611721,-0.00721570816152081,3,0,18,21,3
"AASDHPPT",0,0,1,1,0,0,0,0,-3.78979801081626,0.76732811433681,0.00295772324043926,0.0891084929750069,0.0789229701872892,0.0101855227877176,0,0,5,5,0
"AASS",0,0,1,1,0,0,0,0,6.54257994161743,0.554635140189308,0.0385032781419319,0.31247013229802,0.292835413688273,0.0196347186097469,0,0,3,3,0
"AATF",0,0,1,1,0,0,0,0,6.70076823506273,0.455974751855341,0.00280232697560914,0.165557491252792,0.147810164037574,0.0177473272152177,0,1,1,2,1
"AATK",0,0,1,1,0,0,0,0,-6.12055840148609,0.050954060878275,0.642726791932432,0.840850919806293,0.847994593840031,-0.00714367403373772,0,0,2,2,0
"AB019440.1",0,0,1,1,0,0,0,0,0,1,0.374139231021563,0.81786716384792,0.842916088328793,-0.0250489244808721,0,0,1,1,0
"AB019440.50",0,0,1,1,0,0,0,0,0,1,0.374139231021563,0.81786716384792,0.842916088328793,-0.0250489244808721,0,0,1,1,0
"ABAT",0,0,1,1,0,0,0,0,-2.03168208729728,0.977675239760417,0.00679574938964437,0.515137268774078,0.435700259195868,0.0794370095782105,0,0,0,0,0
"ABCA1",0,0,1,1,0,0,0,0,8.34134696442474,0.402146278598414,0.00365690205583816,0.300765211531418,0.270359540021884,0.0304056715095342,0,0,40,40,0
"ABCA10",0,0,1,1,0,0,0,0,3.38448900957598,0.452575645025886,0.806426143413838,0.870858318071084,0.874411160923894,-0.00355284285280999,1,0,16,17,1
"ABCA11P",0,0,1,1,0,0,0,0,4.71621628957362,0.0399204895523372,1,0,0,0,0,0,0,0,0
"ABCA12",0,0,1,1,0,0,0,0,3.86974866176797,0.0461564375933442,0.261064002078712,0.679692856220228,0.720965361183655,-0.0412725049634266,0,0,0,0,0
"ABCA13",0,0,1,1,0,0,0,0,-9.39148253105124,0.0883400942056432,1,0,0,0,0,0,0,0,0
"ABCA17P",0,0,1,1,0,0,0,0,-0.372234825957359,0.254999600968726,0.0452062924238524,0.33569611434458,0.302213492329514,0.0334826220150663,1,0,7,8,1
"ABCA2",0,0,1,1,0,0,0,0,7.43147123791155,0.599546823774926,0.00508002880334403,0.258201532480269,0.218968961013231,0.0392325714670378,3,0,7,10,3
"ABCA3",0,0,1,1,0,0,0,0,4.05739502679424,0.93602330955902,0.0452062924238524,0.33569611434458,0.302213492329514,0.0334826220150663,1,0,7,8,1
"ABCA4",0,0,1,1,0,0,0,0,0,0.958524735360831,0.134448617035475,0.803642389646189,0.843709612699557,-0.0400672230533682,0,0,4,4,0
"ABCA5",0,0,1,1,0,0,0,0,4.56679818262679,0.871517881059398,0.0122133097778285,0.136852334104754,0.0762788806696935,0.0605734534350608,1,0,17,18,1
"ABCA6",0,0,1,1,0,0,0,0,5.59481443490602,0.420169708600328,0.806426143413838,0.870858318071084,0.874411160923894,-0.00355284285280999,1,0,4,5,1
"ABCA7",0,0,1,1,0,0,0,0,-8.44829382132096,0.0137748432793113,0.0417223386945276,0.673358396459056,0.642697807193582,0.0306605892654739,0,0,1,1,0
"ABCA8",0,0,1,1,0,0,0,0,5.92068250686597,0.45272226870122,0.982394429776814,0.876039825075482,0.875660347815744,0.000379477259737859,1,0,4,5,1
"ABCA9",0,0,1,1,0,0,0,0,6.37368864168353,0.21879341197436,0.863536279867995,0.823701506826565,0.820753426848402,0.00294807997816304,1,0,8,9,1
