"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042445","GO:0042445","hormone metabolic process","2/5","194/14866",0.00165098631240288,0.00165098631240288,0.0150990832458818,"RDH13/PAX8",2
"GO:0090596","GO:0090596","sensory organ morphogenesis","2/5","228/14866",0.0022716646248617,0.0022716646248617,0.0150990832458818,"RDH13/PAX8",2
"GO:0009642","GO:0009642","response to light intensity","1/5","10/14866",0.00335930900539816,0.00335930900539816,0.0150990832458818,"RDH13",1
"GO:2001053","GO:2001053","regulation of mesenchymal cell apoptotic process","1/5","10/14866",0.00335930900539816,0.00335930900539816,0.0150990832458818,"PAX8",1
"GO:0072017","GO:0072017","distal tubule development","1/5","11/14866",0.00369474273284676,0.00369474273284676,0.0150990832458818,"PAX8",1
"GO:0072173","GO:0072173","metanephric tubule morphogenesis","1/5","11/14866",0.00369474273284676,0.00369474273284676,0.0150990832458818,"PAX8",1
"GO:0097152","GO:0097152","mesenchymal cell apoptotic process","1/5","11/14866",0.00369474273284676,0.00369474273284676,0.0150990832458818,"PAX8",1
"GO:1902337","GO:1902337","regulation of apoptotic process involved in morphogenesis","1/5","11/14866",0.00369474273284676,0.00369474273284676,0.0150990832458818,"PAX8",1
"GO:0003337","GO:0003337","mesenchymal to epithelial transition involved in metanephros morphogenesis","1/5","12/14866",0.00403008613818745,0.00403008613818745,0.0150990832458818,"PAX8",1
"GO:0072044","GO:0072044","collecting duct development","1/5","12/14866",0.00403008613818745,0.00403008613818745,0.0150990832458818,"PAX8",1
"GO:0072182","GO:0072182","regulation of nephron tubule epithelial cell differentiation","1/5","12/14866",0.00403008613818745,0.00403008613818745,0.0150990832458818,"PAX8",1
"GO:1904748","GO:1904748","regulation of apoptotic process involved in development","1/5","12/14866",0.00403008613818745,0.00403008613818745,0.0150990832458818,"PAX8",1
"GO:0042574","GO:0042574","retinal metabolic process","1/5","13/14866",0.00436533923966242,0.00436533923966242,0.0150990832458818,"RDH13",1
"GO:0072216","GO:0072216","positive regulation of metanephros development","1/5","13/14866",0.00436533923966242,0.00436533923966242,0.0150990832458818,"PAX8",1
"GO:0032352","GO:0032352","positive regulation of hormone metabolic process","1/5","14/14866",0.00470050205551098,0.00470050205551098,0.0150990832458818,"PAX8",1
"GO:0071599","GO:0071599","otic vesicle development","1/5","14/14866",0.00470050205551098,0.00470050205551098,0.0150990832458818,"PAX8",1
"GO:0072160","GO:0072160","nephron tubule epithelial cell differentiation","1/5","14/14866",0.00470050205551098,0.00470050205551098,0.0150990832458818,"PAX8",1
"GO:0072283","GO:0072283","metanephric renal vesicle morphogenesis","1/5","15/14866",0.00503557460397075,0.00503557460397075,0.0150990832458818,"PAX8",1
"GO:0006590","GO:0006590","thyroid hormone generation","1/5","16/14866",0.00537055690327581,0.00537055690327581,0.0150990832458818,"PAX8",1
"GO:0071371","GO:0071371","cellular response to gonadotropin stimulus","1/5","16/14866",0.00537055690327581,0.00537055690327581,0.0150990832458818,"PAX8",1
"GO:0090185","GO:0090185","negative regulation of kidney development","1/5","16/14866",0.00537055690327581,0.00537055690327581,0.0150990832458818,"PAX8",1
"GO:0072079","GO:0072079","nephron tubule formation","1/5","17/14866",0.00570544897165848,0.00570544897165848,0.0150990832458818,"PAX8",1
"GO:0090190","GO:0090190","positive regulation of branching involved in ureteric bud morphogenesis","1/5","17/14866",0.00570544897165848,0.00570544897165848,0.0150990832458818,"PAX8",1
"GO:0072077","GO:0072077","renal vesicle morphogenesis","1/5","18/14866",0.00604025082734849,0.00604025082734849,0.0150990832458818,"PAX8",1
"GO:2000696","GO:2000696","regulation of epithelial cell differentiation involved in kidney development","1/5","18/14866",0.00604025082734849,0.00604025082734849,0.0150990832458818,"PAX8",1
"GO:0010842","GO:0010842","retina layer formation","1/5","19/14866",0.00637496248857339,0.00637496248857339,0.0150990832458818,"RDH13",1
"GO:0030878","GO:0030878","thyroid gland development","1/5","19/14866",0.00637496248857339,0.00637496248857339,0.0150990832458818,"PAX8",1
"GO:0042403","GO:0042403","thyroid hormone metabolic process","1/5","19/14866",0.00637496248857339,0.00637496248857339,0.0150990832458818,"PAX8",1
"GO:0048305","GO:0048305","immunoglobulin secretion","1/5","19/14866",0.00637496248857339,0.00637496248857339,0.0150990832458818,"LAX1",1
"GO:0060231","GO:0060231","mesenchymal to epithelial transition","1/5","19/14866",0.00637496248857339,0.00637496248857339,0.0150990832458818,"PAX8",1
"GO:0072087","GO:0072087","renal vesicle development","1/5","19/14866",0.00637496248857339,0.00637496248857339,0.0150990832458818,"PAX8",1
"GO:0072234","GO:0072234","metanephric nephron tubule development","1/5","19/14866",0.00637496248857339,0.00637496248857339,0.0150990832458818,"PAX8",1
"GO:0061213","GO:0061213","positive regulation of mesonephros development","1/5","20/14866",0.00670958397355725,0.00670958397355725,0.0150990832458818,"PAX8",1
"GO:0072243","GO:0072243","metanephric nephron epithelium development","1/5","21/14866",0.00704411530052307,0.00704411530052307,0.0150990832458818,"PAX8",1
"GO:0090189","GO:0090189","regulation of branching involved in ureteric bud morphogenesis","1/5","21/14866",0.00704411530052307,0.00704411530052307,0.0150990832458818,"PAX8",1
"GO:0060561","GO:0060561","apoptotic process involved in morphogenesis","1/5","22/14866",0.00737855648768992,0.00737855648768992,0.0150990832458818,"PAX8",1
"GO:0072170","GO:0072170","metanephric tubule development","1/5","22/14866",0.00737855648768992,0.00737855648768992,0.0150990832458818,"PAX8",1
"GO:0072215","GO:0072215","regulation of metanephros development","1/5","22/14866",0.00737855648768992,0.00737855648768992,0.0150990832458818,"PAX8",1
"GO:0061217","GO:0061217","regulation of mesonephros development","1/5","24/14866",0.00804716851549636,0.00804716851549636,0.0150990832458818,"PAX8",1
"GO:0072202","GO:0072202","cell differentiation involved in metanephros development","1/5","24/14866",0.00804716851549636,0.00804716851549636,0.0150990832458818,"PAX8",1
"GO:0000188","GO:0000188","inactivation of MAPK activity","1/5","25/14866",0.00838133939256314,0.00838133939256314,0.0150990832458818,"LAX1",1
"GO:0001958","GO:0001958","endochondral ossification","1/5","25/14866",0.00838133939256314,0.00838133939256314,0.0150990832458818,"MMP13",1
"GO:0036075","GO:0036075","replacement ossification","1/5","25/14866",0.00838133939256314,0.00838133939256314,0.0150990832458818,"MMP13",1
"GO:0072207","GO:0072207","metanephric epithelium development","1/5","25/14866",0.00838133939256314,0.00838133939256314,0.0150990832458818,"PAX8",1
"GO:0072273","GO:0072273","metanephric nephron morphogenesis","1/5","25/14866",0.00838133939256314,0.00838133939256314,0.0150990832458818,"PAX8",1
"GO:0010817","GO:0010817","regulation of hormone levels","2/5","448/14866",0.00853034451437528,0.00853034451437528,0.0150990832458818,"RDH13/PAX8",2
"GO:0034698","GO:0034698","response to gonadotropin","1/5","26/14866",0.00871542020268623,0.00871542020268623,0.0150990832458818,"PAX8",1
"GO:2000036","GO:2000036","regulation of stem cell population maintenance","1/5","26/14866",0.00871542020268623,0.00871542020268623,0.0150990832458818,"PAX8",1
"GO:1901615","GO:1901615","organic hydroxy compound metabolic process","2/5","486/14866",0.00998857258829613,0.00998857258829613,0.0163230724172433,"RDH13/PAX8",2
"GO:0003338","GO:0003338","metanephros morphogenesis","1/5","30/14866",0.0100508431378589,0.0100508431378589,0.0163230724172433,"PAX8",1
"GO:0010667","GO:0010667","negative regulation of cardiac muscle cell apoptotic process","1/5","30/14866",0.0100508431378589,0.0100508431378589,0.0163230724172433,"PAX8",1
"GO:0010664","GO:0010664","negative regulation of striated muscle cell apoptotic process","1/5","31/14866",0.0103844738863298,0.0103844738863298,0.0163230724172433,"PAX8",1
"GO:0042462","GO:0042462","eye photoreceptor cell development","1/5","32/14866",0.0107180146770657,0.0107180146770657,0.0163230724172433,"RDH13",1
"GO:1902742","GO:1902742","apoptotic process involved in development","1/5","32/14866",0.0107180146770657,0.0107180146770657,0.0163230724172433,"PAX8",1
"GO:0110111","GO:0110111","negative regulation of animal organ morphogenesis","1/5","33/14866",0.0110514655282598,0.0110514655282598,0.0163230724172433,"PAX8",1
"GO:1905332","GO:1905332","positive regulation of morphogenesis of an epithelium","1/5","33/14866",0.0110514655282598,0.0110514655282598,0.0163230724172433,"PAX8",1
"GO:0003417","GO:0003417","growth plate cartilage development","1/5","34/14866",0.0113848264581026,0.0113848264581026,0.0163230724172433,"MMP13",1
"GO:0010092","GO:0010092","specification of animal organ identity","1/5","34/14866",0.0113848264581026,0.0113848264581026,0.0163230724172433,"PAX8",1
"GO:0042572","GO:0042572","retinol metabolic process","1/5","36/14866",0.0120512786264836,0.0120512786264836,0.016610614978096,"RDH13",1
"GO:0072210","GO:0072210","metanephric nephron development","1/5","36/14866",0.0120512786264836,0.0120512786264836,0.016610614978096,"PAX8",1
"GO:0032350","GO:0032350","regulation of hormone metabolic process","1/5","37/14866",0.0123843699013906,0.0123843699013906,0.016610614978096,"PAX8",1
"GO:0090184","GO:0090184","positive regulation of kidney development","1/5","37/14866",0.0123843699013906,0.0123843699013906,0.016610614978096,"PAX8",1
"GO:0001754","GO:0001754","eye photoreceptor cell differentiation","1/5","41/14866",0.0137158366966451,0.0137158366966451,0.0170235836454825,"RDH13",1
"GO:0003416","GO:0003416","endochondral bone growth","1/5","41/14866",0.0137158366966451,0.0137158366966451,0.0170235836454825,"MMP13",1
"GO:0030574","GO:0030574","collagen catabolic process","1/5","41/14866",0.0137158366966451,0.0137158366966451,0.0170235836454825,"MMP13",1
"GO:0035850","GO:0035850","epithelial cell differentiation involved in kidney development","1/5","41/14866",0.0137158366966451,0.0137158366966451,0.0170235836454825,"PAX8",1
"GO:0042461","GO:0042461","photoreceptor cell development","1/5","41/14866",0.0137158366966451,0.0137158366966451,0.0170235836454825,"RDH13",1
"GO:0010665","GO:0010665","regulation of cardiac muscle cell apoptotic process","1/5","42/14866",0.0140484789102383,0.0140484789102383,0.0170508614615229,"PAX8",1
"GO:0010662","GO:0010662","regulation of striated muscle cell apoptotic process","1/5","43/14866",0.0143810313660835,0.0143810313660835,0.0170508614615229,"PAX8",1
"GO:0010656","GO:0010656","negative regulation of muscle cell apoptotic process","1/5","44/14866",0.0147134940823467,0.0147134940823467,0.0170508614615229,"PAX8",1
"GO:0098868","GO:0098868","bone growth","1/5","44/14866",0.0147134940823467,0.0147134940823467,0.0170508614615229,"MMP13",1
"GO:0010659","GO:0010659","cardiac muscle cell apoptotic process","1/5","45/14866",0.0150458670771914,0.0150458670771914,0.0170508614615229,"PAX8",1
"GO:0060351","GO:0060351","cartilage development involved in endochondral bone morphogenesis","1/5","45/14866",0.0150458670771914,0.0150458670771914,0.0170508614615229,"MMP13",1
"GO:0010658","GO:0010658","striated muscle cell apoptotic process","1/5","46/14866",0.0153781503687785,0.0153781503687785,0.0170508614615229,"PAX8",1
"GO:0060042","GO:0060042","retina morphogenesis in camera-type eye","1/5","46/14866",0.0153781503687785,0.0153781503687785,0.0170508614615229,"RDH13",1
"GO:1904645","GO:1904645","response to amyloid-beta","1/5","48/14866",0.0160424479148122,0.0160424479148122,0.0175533709871214,"MMP13",1
"GO:0061005","GO:0061005","cell differentiation involved in kidney development","1/5","51/14866",0.0170382219133157,0.0170382219133157,0.0184008138229931,"PAX8",1
"GO:0090183","GO:0090183","regulation of kidney development","1/5","52/14866",0.0173699673666018,0.0173699673666018,0.0185185886904392,"PAX8",1
"GO:0060688","GO:0060688","regulation of morphogenesis of a branching structure","1/5","53/14866",0.0177016232436888,0.0177016232436888,0.0186332876249356,"PAX8",1
"GO:0046530","GO:0046530","photoreceptor cell differentiation","1/5","54/14866",0.0180331895627183,0.0180331895627183,0.0187450259928256,"RDH13",1
"GO:0001658","GO:0001658","branching involved in ureteric bud morphogenesis","1/5","56/14866",0.0186960535991573,0.0186960535991573,0.0191941291011491,"PAX8",1
"GO:0030858","GO:0030858","positive regulation of epithelial cell differentiation","1/5","57/14866",0.0190273513528373,0.0190273513528373,0.0192960302551238,"PAX8",1
"GO:0006081","GO:0006081","cellular aldehyde metabolic process","1/5","58/14866",0.0193585596210011,0.0193585596210011,0.0193953863038565,"RDH13",1
"GO:0048645","GO:0048645","animal organ formation","1/5","60/14866",0.0200207077732929,0.0200207077732929,0.0198199989234353,"PAX8",1
"GO:0003407","GO:0003407","neural retina development","1/5","61/14866",0.0203516476936723,0.0203516476936723,0.019910590313314,"RDH13",1
"GO:0060675","GO:0060675","ureteric bud morphogenesis","1/5","62/14866",0.0206824982010365,0.0206824982010365,0.0199989884685665,"PAX8",1
"GO:0072171","GO:0072171","mesonephric tubule morphogenesis","1/5","63/14866",0.0210132593135057,0.0210132593135057,0.0200852690352928,"PAX8",1
"GO:0035019","GO:0035019","somatic stem cell population maintenance","1/5","66/14866",0.0220050064626991,0.0220050064626991,0.0205623093048313,"PAX8",1
"GO:0003281","GO:0003281","ventricular septum development","1/5","67/14866",0.0223354101767319,0.0223354101767319,0.0205623093048313,"PAX8",1
"GO:0043407","GO:0043407","negative regulation of MAP kinase activity","1/5","67/14866",0.0223354101767319,0.0223354101767319,0.0205623093048313,"LAX1",1
"GO:0060350","GO:0060350","endochondral bone morphogenesis","1/5","68/14866",0.0226657245864295,0.0226657245864295,0.0205623093048313,"MMP13",1
"GO:0022617","GO:0022617","extracellular matrix disassembly","1/5","69/14866",0.0229959497098968,0.0229959497098968,0.0205623093048313,"MMP13",1
"GO:0072078","GO:0072078","nephron tubule morphogenesis","1/5","69/14866",0.0229959497098968,0.0229959497098968,0.0205623093048313,"PAX8",1
"GO:0072088","GO:0072088","nephron epithelium morphogenesis","1/5","71/14866",0.0236561321705464,0.0236561321705464,0.02084601908382,"PAX8",1
"GO:0072028","GO:0072028","nephron morphogenesis","1/5","72/14866",0.0239860895439257,0.0239860895439257,0.02084601908382,"PAX8",1
"GO:0010660","GO:0010660","regulation of muscle cell apoptotic process","1/5","73/14866",0.0243159577034685,0.0243159577034685,0.02084601908382,"PAX8",1
"GO:0061333","GO:0061333","renal tubule morphogenesis","1/5","73/14866",0.0243159577034685,0.0243159577034685,0.02084601908382,"PAX8",1
"GO:0110110","GO:0110110","positive regulation of animal organ morphogenesis","1/5","75/14866",0.0249754264534133,0.0249754264534133,0.0211928967757213,"PAX8",1
"GO:0010657","GO:0010657","muscle cell apoptotic process","1/5","77/14866",0.0256345385650906,0.0256345385650906,0.0215324672689224,"PAX8",1
"GO:0034308","GO:0034308","primary alcohol metabolic process","1/5","78/14866",0.0259639609267903,0.0259639609267903,0.0215910832970151,"RDH13",1
"GO:0001656","GO:0001656","metanephros development","1/5","83/14866",0.0276097365170324,0.0276097365170324,0.0227323521088646,"PAX8",1
"GO:0060993","GO:0060993","kidney morphogenesis","1/5","85/14866",0.0282674235219588,0.0282674235219588,0.0228653294557192,"PAX8",1
"GO:0002377","GO:0002377","immunoglobulin production","1/5","86/14866",0.0285961335471526,0.0285961335471526,0.0228653294557192,"LAX1",1
"GO:0072080","GO:0072080","nephron tubule development","1/5","86/14866",0.0285961335471526,0.0285961335471526,0.0228653294557192,"PAX8",1
"GO:0061326","GO:0061326","renal tubule development","1/5","88/14866",0.0292532867333049,0.0292532867333049,0.0231453247304125,"PAX8",1
"GO:0018958","GO:0018958","phenol-containing compound metabolic process","1/5","90/14866",0.0299100842208518,0.0299100842208518,0.0231453247304125,"PAX8",1
"GO:0042472","GO:0042472","inner ear morphogenesis","1/5","90/14866",0.0299100842208518,0.0299100842208518,0.0231453247304125,"PAX8",1
"GO:0001523","GO:0001523","retinoid metabolic process","1/5","91/14866",0.0302383496227805,0.0302383496227805,0.0231453247304125,"RDH13",1
"GO:0001657","GO:0001657","ureteric bud development","1/5","92/14866",0.0305665261542111,0.0305665261542111,0.0231453247304125,"PAX8",1
"GO:0072163","GO:0072163","mesonephric epithelium development","1/5","93/14866",0.0308946138331898,0.0308946138331898,0.0231453247304125,"PAX8",1
"GO:0072164","GO:0072164","mesonephric tubule development","1/5","93/14866",0.0308946138331898,0.0308946138331898,0.0231453247304125,"PAX8",1
"GO:0032963","GO:0032963","collagen metabolic process","1/5","95/14866",0.0315505227059625,0.0315505227059625,0.0234256700542391,"MMP13",1
"GO:0001823","GO:0001823","mesonephros development","1/5","97/14866",0.0322060763854182,0.0322060763854182,0.0234928904381167,"PAX8",1
"GO:0016101","GO:0016101","diterpenoid metabolic process","1/5","97/14866",0.0322060763854182,0.0322060763854182,0.0234928904381167,"RDH13",1
"GO:0030282","GO:0030282","bone mineralization","1/5","98/14866",0.032533720072741,0.032533720072741,0.0235255275583207,"MMP13",1
"GO:0072009","GO:0072009","nephron epithelium development","1/5","99/14866",0.0328612750158368,0.0328612750158368,0.023557538350736,"PAX8",1
