"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032729","GO:0032729","positive regulation of interferon-gamma production","2/5","63/14528",0.000183526561451527,0.000183526561451527,0.000789381401307991,"HLA-DPB1/HLA-DPA1",2
"GO:0060333","GO:0060333","interferon-gamma-mediated signaling pathway","2/5","72/14528",0.000239893307625229,0.000239893307625229,0.000789381401307991,"HLA-DPB1/HLA-DPA1",2
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","2/5","87/14528",0.000350385090223863,0.000350385090223863,0.000789381401307991,"HLA-DPB1/HLA-DPA1",2
"GO:0042102","GO:0042102","positive regulation of T cell proliferation","2/5","87/14528",0.000350385090223863,0.000350385090223863,0.000789381401307991,"HLA-DPB1/HLA-DPA1",2
"GO:0002495","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","2/5","89/14528",0.000366674442996697,0.000366674442996697,0.000789381401307991,"HLA-DPB1/HLA-DPA1",2
"GO:0002504","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","2/5","90/14528",0.000374956165621296,0.000374956165621296,0.000789381401307991,"HLA-DPB1/HLA-DPA1",2
"GO:0032649","GO:0032649","regulation of interferon-gamma production","2/5","90/14528",0.000374956165621296,0.000374956165621296,0.000789381401307991,"HLA-DPB1/HLA-DPA1",2
"GO:0032609","GO:0032609","interferon-gamma production","2/5","101/14528",0.000472073316752777,0.000472073316752777,0.000869608741386695,"HLA-DPB1/HLA-DPA1",2
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","2/5","120/14528",0.000665695873548167,0.000665695873548167,0.000997375420890736,"HLA-DPB1/HLA-DPA1",2
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","2/5","121/14528",0.000676790464175857,0.000676790464175857,0.000997375420890736,"HLA-DPB1/HLA-DPA1",2
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","2/5","129/14528",0.000768788498358402,0.000768788498358402,0.00102636870469721,"HLA-DPB1/HLA-DPA1",2
"GO:0042129","GO:0042129","regulation of T cell proliferation","2/5","140/14528",0.000904668031572771,0.000904668031572771,0.00102636870469721,"HLA-DPB1/HLA-DPA1",2
"GO:0071346","GO:0071346","cellular response to interferon-gamma","2/5","143/14528",0.000943605646579394,0.000943605646579394,0.00102636870469721,"HLA-DPB1/HLA-DPA1",2
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","2/5","152/14528",0.00106523590591685,0.00106523590591685,0.00102636870469721,"HLA-DPB1/HLA-DPA1",2
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen","2/5","159/14528",0.00116481959178159,0.00116481959178159,0.00102636870469721,"HLA-DPB1/HLA-DPA1",2
"GO:0034341","GO:0034341","response to interferon-gamma","2/5","159/14528",0.00116481959178159,0.00116481959178159,0.00102636870469721,"HLA-DPB1/HLA-DPA1",2
"GO:0042098","GO:0042098","T cell proliferation","2/5","164/14528",0.00123861196231619,0.00123861196231619,0.00102636870469721,"HLA-DPB1/HLA-DPA1",2
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","2/5","165/14528",0.00125363606073731,0.00125363606073731,0.00102636870469721,"HLA-DPB1/HLA-DPA1",2
"GO:0050852","GO:0050852","T cell receptor signaling pathway","2/5","171/14528",0.00134563684349483,0.00134563684349483,0.001043707247032,"HLA-DPB1/HLA-DPA1",2
"GO:0050870","GO:0050870","positive regulation of T cell activation","2/5","185/14528",0.00157264292587816,0.00157264292587816,0.00107610963077154,"HLA-DPB1/HLA-DPA1",2
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","2/5","186/14528",0.00158951660711518,0.00158951660711518,0.00107610963077154,"HLA-DPB1/HLA-DPA1",2
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","2/5","187/14528",0.00160647794879466,0.00160647794879466,0.00107610963077154,"HLA-DPB1/HLA-DPA1",2
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","2/5","199/14528",0.00181683786320315,0.00181683786320315,0.00109236547584831,"HLA-DPB1/HLA-DPA1",2
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","2/5","200/14528",0.00183493536647395,0.00183493536647395,0.00109236547584831,"HLA-DPB1/HLA-DPA1",2
"GO:0019882","GO:0019882","antigen processing and presentation","2/5","201/14528",0.00185312000367124,0.00185312000367124,0.00109236547584831,"HLA-DPB1/HLA-DPA1",2
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","2/5","210/14528",0.0020206965722188,0.0020206965722188,0.00114533408951673,"HLA-DPB1/HLA-DPA1",2
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","2/5","232/14528",0.00245985764308839,0.00245985764308839,0.00127074032099889,"HLA-DPB1/HLA-DPA1",2
"GO:0046651","GO:0046651","lymphocyte proliferation","2/5","232/14528",0.00245985764308839,0.00245985764308839,0.00127074032099889,"HLA-DPB1/HLA-DPA1",2
"GO:0032943","GO:0032943","mononuclear cell proliferation","2/5","234/14528",0.00250184982287681,0.00250184982287681,0.00127074032099889,"HLA-DPB1/HLA-DPA1",2
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","2/5","238/14528",0.0025868642248906,0.0025868642248906,0.00127074032099889,"HLA-DPB1/HLA-DPA1",2
"GO:0070661","GO:0070661","leukocyte proliferation","2/5","254/14528",0.00294061203747417,0.00294061203747417,0.00139791404158365,"HLA-DPB1/HLA-DPA1",2
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","2/5","271/14528",0.00334034116386183,0.00334034116386183,0.00150254020129108,"HLA-DPB1/HLA-DPA1",2
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","2/5","272/14528",0.0033646168078911,0.0033646168078911,0.00150254020129108,"HLA-DPB1/HLA-DPA1",2
"GO:0050867","GO:0050867","positive regulation of cell activation","2/5","282/14528",0.00361201193556153,0.00361201193556153,0.00153145873865473,"HLA-DPB1/HLA-DPA1",2
"GO:0050863","GO:0050863","regulation of T cell activation","2/5","283/14528",0.00363721450430498,0.00363721450430498,0.00153145873865473,"HLA-DPB1/HLA-DPA1",2
"GO:0043652","GO:0043652","engulfment of apoptotic cell","1/5","11/14528",0.00378058410181259,0.00378058410181259,0.00154760752705779,"XKR6",1
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","2/5","297/14528",0.00399885834533035,0.00399885834533035,0.00159271740639047,"HLA-DPB1/HLA-DPA1",2
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","2/5","314/14528",0.00445999741603747,0.00445999741603747,0.00168528917205195,"HLA-DPB1/HLA-DPA1",2
"GO:0002757","GO:0002757","immune response-activating signal transduction","2/5","314/14528",0.00445999741603747,0.00445999741603747,0.00168528917205195,"HLA-DPB1/HLA-DPA1",2
"GO:0017121","GO:0017121","plasma membrane phospholipid scrambling","1/5","14/14528",0.00480966543946126,0.00480966543946126,0.00177198200401204,"XKR6",1
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","2/5","343/14528",0.00530184608533592,0.00530184608533592,0.00184823222538524,"HLA-DPB1/HLA-DPA1",2
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","2/5","345/14528",0.00536245197812035,0.00536245197812035,0.00184823222538524,"HLA-DPB1/HLA-DPA1",2
"GO:0002250","GO:0002250","adaptive immune response","2/5","346/14528",0.00539287760049908,0.00539287760049908,0.00184823222538524,"HLA-DPB1/HLA-DPA1",2
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","2/5","361/14528",0.00585904982136949,0.00585904982136949,0.00195000525286886,"HLA-DPB1/HLA-DPA1",2
"GO:0045785","GO:0045785","positive regulation of cell adhesion","2/5","364/14528",0.00595448032572455,0.00595448032572455,0.00195000525286886,"HLA-DPB1/HLA-DPA1",2
"GO:0051249","GO:0051249","regulation of lymphocyte activation","2/5","370/14528",0.00614752955592772,0.00614752955592772,0.0019694602696336,"HLA-DPB1/HLA-DPA1",2
"GO:0002253","GO:0002253","activation of immune response","2/5","387/14528",0.00671028536733632,0.00671028536733632,0.0021040088497807,"HLA-DPB1/HLA-DPA1",2
"GO:0001819","GO:0001819","positive regulation of cytokine production","2/5","399/14528",0.00712149867461675,0.00712149867461675,0.00218642503168058,"HLA-DPB1/HLA-DPA1",2
"GO:0042110","GO:0042110","T cell activation","2/5","409/14528",0.00747295896340747,0.00747295896340747,0.00224750645516014,"HLA-DPB1/HLA-DPA1",2
"GO:0002694","GO:0002694","regulation of leukocyte activation","2/5","436/14528",0.00846148937504737,0.00846148937504737,0.0024939126579087,"HLA-DPB1/HLA-DPA1",2
"GO:0050865","GO:0050865","regulation of cell activation","2/5","475/14528",0.00999020165168145,0.00999020165168145,0.00288674557530527,"HLA-DPB1/HLA-DPA1",2
