"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034502","GO:0034502","protein localization to chromosome","2/4","70/14528",0.000136458976265931,0.000136458976265931,0.00732569241006579,"PINX1/ESCO2",2
"GO:0000819","GO:0000819","sister chromatid segregation","2/4","158/14528",0.000695164821462654,0.000695164821462654,0.0186596873129449,"PINX1/ESCO2",2
"GO:0098813","GO:0098813","nuclear chromosome segregation","2/4","214/14528",0.00127079473311553,0.00127079473311553,0.0227405373294358,"PINX1/ESCO2",2
"GO:0007059","GO:0007059","chromosome segregation","2/4","263/14528",0.00191234834047828,0.00191234834047828,0.0256657277274717,"PINX1/ESCO2",2
"GO:0051974","GO:0051974","negative regulation of telomerase activity","1/4","11/14528",0.003025508405893,0.003025508405893,0.0319856108409862,"PINX1",1
"GO:1902570","GO:1902570","protein localization to nucleolus","1/4","13/14528",0.00357486238811022,0.00357486238811022,0.0319856108409862,"PINX1",1
"GO:0032211","GO:0032211","negative regulation of telomere maintenance via telomerase","1/4","17/14528",0.00467288923359743,0.00467288923359743,0.032782046243868,"PINX1",1
"GO:0002577","GO:0002577","regulation of antigen processing and presentation","1/4","18/14528",0.00494725409081387,0.00494725409081387,0.032782046243868,"HLA-DOA",1
"GO:0071168","GO:0071168","protein localization to chromatin","1/4","20/14528",0.0054958136350014,0.0054958136350014,0.032782046243868,"ESCO2",1
"GO:1904357","GO:1904357","negative regulation of telomere maintenance via telomere lengthening","1/4","23/14528",0.00631822764295364,0.00631822764295364,0.0339189062937511,"PINX1",1
"GO:0070198","GO:0070198","protein localization to chromosome, telomeric region","1/4","27/14528",0.00741398607301191,0.00741398607301191,0.0345486983286395,"PINX1",1
"GO:0032205","GO:0032205","negative regulation of telomere maintenance","1/4","32/14528",0.00878240941668962,0.00878240941668962,0.0345486983286395,"PINX1",1
"GO:2000279","GO:2000279","negative regulation of DNA biosynthetic process","1/4","32/14528",0.00878240941668962,0.00878240941668962,0.0345486983286395,"PINX1",1
"GO:0007080","GO:0007080","mitotic metaphase plate congression","1/4","40/14528",0.010968943109568,0.010968943109568,0.0345486983286395,"PINX1",1
"GO:0007062","GO:0007062","sister chromatid cohesion","1/4","44/14528",0.0120608524072591,0.0120608524072591,0.0345486983286395,"ESCO2",1
"GO:0051972","GO:0051972","regulation of telomerase activity","1/4","46/14528",0.0126064678875291,0.0126064678875291,0.0345486983286395,"PINX1",1
"GO:0001706","GO:0001706","endoderm formation","1/4","48/14528",0.0131518573386735,0.0131518573386735,0.0345486983286395,"SOX7",1
"GO:0032210","GO:0032210","regulation of telomere maintenance via telomerase","1/4","48/14528",0.0131518573386735,0.0131518573386735,0.0345486983286395,"PINX1",1
"GO:0051310","GO:0051310","metaphase plate congression","1/4","52/14528",0.0142419584033071,0.0142419584033071,0.0345486983286395,"PINX1",1
"GO:0043388","GO:0043388","positive regulation of DNA binding","1/4","54/14528",0.0147866701416348,0.0147866701416348,0.0345486983286395,"PINX1",1
"GO:1904356","GO:1904356","regulation of telomere maintenance via telomere lengthening","1/4","55/14528",0.0150589413396055,0.0150589413396055,0.0345486983286395,"PINX1",1
"GO:0007004","GO:0007004","telomere maintenance via telomerase","1/4","62/14528",0.0169632599244091,0.0169632599244091,0.0345486983286395,"PINX1",1
"GO:0006278","GO:0006278","RNA-dependent DNA biosynthetic process","1/4","63/14528",0.0172350798442419,0.0172350798442419,0.0345486983286395,"PINX1",1
"GO:0031397","GO:0031397","negative regulation of protein ubiquitination","1/4","65/14528",0.0177785505676604,0.0177785505676604,0.0345486983286395,"PINX1",1
"GO:0051303","GO:0051303","establishment of chromosome localization","1/4","67/14528",0.0183217958547136,0.0183217958547136,0.0345486983286395,"PINX1",1
