"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042119","GO:0042119","neutrophil activation","124/2398","434/14528",1.17928758395405e-10,1.17928758395405e-10,5.16672164226972e-07,"CD58/TNFRSF1B/S100A11/HRNR/S100A8/FCER1G/CHI3L1/PIGR/CDA/TMEM63A/PGM1/ALOX5/PLAU/TSPAN14/PGAM1/HSPA8/TOLLIP/CTSD/PSMC3/TCN1/MS4A3/FTH1/TBC1D10C/GSTP1/ALDH3B1/TCIRG1/NDUFC2/RHOF/MGST1/BIN2/CD63/RAB5B/ARHGAP9/PTPN6/ATP11A/RNASE3/LGALS3/SERPINA1/CYFIP1/RAB27A/ANXA2/PKM/ATP6V0C/ITGAL/MMP25/PYCARD/COTL1/CYBA/GALNS/APRT/ABR/CCL5/P2RX1/ORMDL3/JUP/VAT1/MPO/RAB37/CD68/TMC6/TRAPPC1/CNN2/SLC44A2/MAN2B1/GPI/GMFG/RAB4B/CEACAM6/LRG1/C5AR1/SIGLEC9/TARM1/STXBP2/PRTN3/ELANE/CFD/IL18RAP/CXCR2/CXCR1/TMBIM1/SLC11A1/QPCT/SIRPA/CD93/SLPI/CTSA/PREX1/CCT8/PFKL/ITGB2/SNAP29/MIF/TOM1/CYB5R3/ARSA/NIT2/GYG1/NBEAL2/IMPDH2/DNASE1L3/PSMD6/MANBA/S100P/TICAM2/CYSTM1/STK10/DOK3/HEXB/ARSB/HEBP2/FUCA2/DYNLT1/RNASET2/CSNK2B/HSP90AB1/RAC1/PDAP1/CTSB/GSDMD/DGAT1/CPNE3/AGPAT2/DPP7/B4GALT1",124
"GO:0036230","GO:0036230","granulocyte activation","124/2398","438/14528",2.24674899222115e-10,2.24674899222115e-10,5.16672164226972e-07,"CD58/TNFRSF1B/S100A11/HRNR/S100A8/FCER1G/CHI3L1/PIGR/CDA/TMEM63A/PGM1/ALOX5/PLAU/TSPAN14/PGAM1/HSPA8/TOLLIP/CTSD/PSMC3/TCN1/MS4A3/FTH1/TBC1D10C/GSTP1/ALDH3B1/TCIRG1/NDUFC2/RHOF/MGST1/BIN2/CD63/RAB5B/ARHGAP9/PTPN6/ATP11A/RNASE3/LGALS3/SERPINA1/CYFIP1/RAB27A/ANXA2/PKM/ATP6V0C/ITGAL/MMP25/PYCARD/COTL1/CYBA/GALNS/APRT/ABR/CCL5/P2RX1/ORMDL3/JUP/VAT1/MPO/RAB37/CD68/TMC6/TRAPPC1/CNN2/SLC44A2/MAN2B1/GPI/GMFG/RAB4B/CEACAM6/LRG1/C5AR1/SIGLEC9/TARM1/STXBP2/PRTN3/ELANE/CFD/IL18RAP/CXCR2/CXCR1/TMBIM1/SLC11A1/QPCT/SIRPA/CD93/SLPI/CTSA/PREX1/CCT8/PFKL/ITGB2/SNAP29/MIF/TOM1/CYB5R3/ARSA/NIT2/GYG1/NBEAL2/IMPDH2/DNASE1L3/PSMD6/MANBA/S100P/TICAM2/CYSTM1/STK10/DOK3/HEXB/ARSB/HEBP2/FUCA2/DYNLT1/RNASET2/CSNK2B/HSP90AB1/RAC1/PDAP1/CTSB/GSDMD/DGAT1/CPNE3/AGPAT2/DPP7/B4GALT1",124
"GO:0002283","GO:0002283","neutrophil activation involved in immune response","121/2398","426/14528",2.97770357012277e-10,2.97770357012277e-10,5.16672164226972e-07,"CD58/TNFRSF1B/S100A11/HRNR/S100A8/FCER1G/CHI3L1/PIGR/CDA/TMEM63A/PGM1/ALOX5/PLAU/TSPAN14/PGAM1/HSPA8/TOLLIP/CTSD/PSMC3/TCN1/MS4A3/FTH1/TBC1D10C/GSTP1/ALDH3B1/TCIRG1/NDUFC2/RHOF/MGST1/BIN2/CD63/RAB5B/ARHGAP9/PTPN6/ATP11A/RNASE3/LGALS3/SERPINA1/CYFIP1/RAB27A/ANXA2/PKM/ATP6V0C/ITGAL/MMP25/PYCARD/COTL1/CYBA/GALNS/APRT/ABR/P2RX1/ORMDL3/JUP/VAT1/MPO/RAB37/CD68/TMC6/TRAPPC1/CNN2/SLC44A2/MAN2B1/GPI/GMFG/RAB4B/CEACAM6/LRG1/C5AR1/SIGLEC9/TARM1/STXBP2/PRTN3/ELANE/CFD/CXCR2/CXCR1/TMBIM1/SLC11A1/QPCT/SIRPA/CD93/SLPI/CTSA/CCT8/PFKL/ITGB2/SNAP29/MIF/TOM1/CYB5R3/ARSA/NIT2/GYG1/NBEAL2/IMPDH2/DNASE1L3/PSMD6/MANBA/S100P/TICAM2/CYSTM1/STK10/DOK3/HEXB/ARSB/HEBP2/FUCA2/DYNLT1/RNASET2/CSNK2B/HSP90AB1/RAC1/PDAP1/CTSB/GSDMD/DGAT1/CPNE3/AGPAT2/DPP7/B4GALT1",121
"GO:0043312","GO:0043312","neutrophil degranulation","120/2398","423/14528",3.83842468047409e-10,3.83842468047409e-10,5.16672164226972e-07,"CD58/TNFRSF1B/S100A11/HRNR/S100A8/FCER1G/CHI3L1/PIGR/CDA/TMEM63A/PGM1/ALOX5/PLAU/TSPAN14/PGAM1/HSPA8/TOLLIP/CTSD/PSMC3/TCN1/MS4A3/FTH1/TBC1D10C/GSTP1/ALDH3B1/TCIRG1/NDUFC2/RHOF/MGST1/BIN2/CD63/RAB5B/ARHGAP9/PTPN6/ATP11A/RNASE3/LGALS3/SERPINA1/CYFIP1/RAB27A/ANXA2/PKM/ATP6V0C/ITGAL/MMP25/PYCARD/COTL1/CYBA/GALNS/APRT/ABR/P2RX1/ORMDL3/JUP/VAT1/MPO/RAB37/CD68/TMC6/TRAPPC1/CNN2/SLC44A2/MAN2B1/GPI/GMFG/RAB4B/CEACAM6/LRG1/C5AR1/SIGLEC9/TARM1/STXBP2/PRTN3/ELANE/CFD/CXCR2/CXCR1/TMBIM1/SLC11A1/QPCT/SIRPA/CD93/SLPI/CTSA/CCT8/PFKL/ITGB2/SNAP29/MIF/TOM1/CYB5R3/ARSA/NIT2/GYG1/NBEAL2/IMPDH2/PSMD6/MANBA/S100P/TICAM2/CYSTM1/STK10/DOK3/HEXB/ARSB/HEBP2/FUCA2/DYNLT1/RNASET2/CSNK2B/HSP90AB1/RAC1/PDAP1/CTSB/GSDMD/DGAT1/CPNE3/AGPAT2/DPP7/B4GALT1",120
"GO:0002446","GO:0002446","neutrophil mediated immunity","122/2398","437/14528",8.13553398785996e-10,8.13553398785996e-10,8.76068554692709e-07,"CD58/TNFRSF1B/S100A11/HRNR/S100A8/FCER1G/CHI3L1/PIGR/CDA/TMEM63A/PGM1/ALOX5/PLAU/TSPAN14/PGAM1/HSPA8/TOLLIP/CTSD/PSMC3/TCN1/MS4A3/FTH1/TBC1D10C/GSTP1/ALDH3B1/TCIRG1/NDUFC2/RHOF/MGST1/BIN2/CD63/RAB5B/ARHGAP9/PTPN6/ATP11A/RNASE3/LGALS3/SERPINA1/CYFIP1/RAB27A/ANXA2/PKM/ATP6V0C/ITGAL/MMP25/PYCARD/COTL1/CYBA/GALNS/APRT/ABR/P2RX1/ORMDL3/JUP/VAT1/MPO/RAB37/CD68/TMC6/TRAPPC1/CNN2/SLC44A2/MAN2B1/GPI/GMFG/RAB4B/CEACAM6/LRG1/C5AR1/SIGLEC9/TARM1/STXBP2/PRTN3/ELANE/CFD/CXCR2/CXCR1/TMBIM1/SLC11A1/QPCT/SIRPA/CD93/SLPI/CTSA/CCT8/PFKL/ITGB2/SNAP29/MIF/TOM1/CYB5R3/ARSA/NIT2/GYG1/NBEAL2/IMPDH2/DNASE1L3/PSMD6/JAGN1/MANBA/S100P/TICAM2/CYSTM1/STK10/DOK3/HEXB/ARSB/HEBP2/FUCA2/DYNLT1/RNASET2/CSNK2B/HSP90AB1/RAC1/PDAP1/CTSB/GSDMD/DGAT1/CPNE3/AGPAT2/DPP7/B4GALT1",122
"GO:0043299","GO:0043299","leukocyte degranulation","127/2398","464/14528",1.4234513606686e-09,1.4234513606686e-09,1.19872975342952e-06,"CD58/NPPA/TNFRSF1B/S100A11/HRNR/S100A8/FCER1G/CHI3L1/PIGR/CDA/TMEM63A/PGM1/ALOX5/PLAU/TSPAN14/PGAM1/HSPA8/TOLLIP/CTSD/PSMC3/TCN1/MS4A3/FTH1/TBC1D10C/GSTP1/ALDH3B1/TCIRG1/NDUFC2/RHOF/MGST1/BIN2/CD63/RAB5B/ARHGAP9/PTPN6/ATP11A/RNASE3/LGALS3/SERPINA1/CYFIP1/RAB27A/ANXA2/PKM/FES/ATP6V0C/LAT/CORO1A/ITGAL/MMP25/PYCARD/AP1G1/COTL1/CYBA/GALNS/APRT/ABR/P2RX1/ORMDL3/JUP/VAT1/MPO/RAB37/CD68/TMC6/TRAPPC1/CNN2/SLC44A2/MAN2B1/GPI/GMFG/RAB4B/CEACAM6/LRG1/C5AR1/SIGLEC9/TARM1/STXBP2/PRTN3/ELANE/CFD/CXCR2/CXCR1/TMBIM1/SLC11A1/QPCT/SIRPA/CD93/SLPI/CTSA/CCT8/PFKL/ITGB2/SNAP29/MIF/TOM1/CYB5R3/ARSA/NIT2/GYG1/NBEAL2/IMPDH2/PSMD6/MANBA/KIT/S100P/FER/TICAM2/CYSTM1/STK10/DOK3/HEXB/ARSB/HEBP2/FUCA2/DYNLT1/RNASET2/CSNK2B/HSP90AB1/RAC1/PDAP1/CTSB/GSDMD/DGAT1/CPNE3/AGPAT2/DPP7/B4GALT1",127
"GO:0002275","GO:0002275","myeloid cell activation involved in immune response","129/2398","474/14528",1.55846585734239e-09,1.55846585734239e-09,1.19872975342952e-06,"CD58/NPPA/TNFRSF1B/S100A11/HRNR/S100A8/SLAMF1/FCER1G/CHI3L1/PIGR/CDA/TMEM63A/PGM1/ALOX5/PLAU/TSPAN14/PGAM1/HSPA8/TOLLIP/CTSD/PSMC3/TCN1/MS4A3/FTH1/TBC1D10C/GSTP1/ALDH3B1/TCIRG1/NDUFC2/RHOF/MGST1/BIN2/CD63/RAB5B/ARHGAP9/PTPN6/ATP11A/RNASE3/LGALS3/SERPINA1/CYFIP1/RAB27A/ANXA2/PKM/FES/ATP6V0C/LAT/ITGAL/MMP25/PYCARD/COTL1/CYBA/GALNS/APRT/ABR/P2RX1/ORMDL3/JUP/VAT1/MPO/RAB37/CD68/TMC6/TRAPPC1/CNN2/SLC44A2/SBNO2/MAN2B1/GPI/GMFG/RAB4B/CEACAM6/LRG1/C5AR1/SIGLEC9/TARM1/STXBP2/PRTN3/ELANE/CFD/CXCR2/CXCR1/TMBIM1/SLC11A1/QPCT/SIRPA/CD93/SLPI/CTSA/CCT8/PFKL/ITGB2/SNAP29/MIF/TOM1/CYB5R3/ARSA/NIT2/GYG1/NBEAL2/TREX1/IMPDH2/DNASE1L3/PSMD6/MANBA/KIT/S100P/FER/TICAM2/CYSTM1/STK10/DOK3/HEXB/ARSB/HEBP2/FUCA2/DYNLT1/RNASET2/CSNK2B/HSP90AB1/RAC1/PDAP1/CTSB/GSDMD/DGAT1/CPNE3/AGPAT2/DPP7/B4GALT1",129
"GO:0002250","GO:0002250","adaptive immune response","99/2398","346/14528",8.26853519001082e-09,8.26853519001082e-09,5.5649417759086e-06,"TNFRSF1B/RORC/ZBTB7B/SEMA4A/CD1D/SLAMF6/SLAMF1/SLAMF7/FCER1G/CD247/DENND1B/LAX1/IL10/C4BPB/CR2/HLX/MBL2/PRF1/GATA3/HRAS/CD6/CLCF1/UNC93B1/TCIRG1/IL18BP/SWAP70/P2RX7/IL23A/LAG3/CD4/PTPN6/C1RL/C1R/ZBTB1/BATF/RAB27A/TNFRSF17/PRKCB/IL27/CD19/LAT/SPN/PYCARD/ATAD5/MIR21/CLEC10A/CD7/JAK3/IL12RB1/NFKBID/TGFB1/EBI3/CD79A/BCL3/GZMM/TARM1/IL18RAP/CTLA4/FZD5/SLC11A1/INPP5D/LOXL3/ZAP70/SLA2/CD40/LIME1/AIRE/IGLL1/TNFRSF13C/BTLA/RFTN1/DLG1/TREX1/CFI/HMHB1/CD74/IL12B/MEF2C/ERAP1/PRDM1/HFE/BTN3A2/TRIM27/GNL1/MICA/MICB/LTA/TNF/C2/C4B/HLA-DOB/TAP1/HLA-DMB/HLA-DPB1/HLA-DPA1/FAM49B/TSTA3/PAG1/PDCD1LG2",99
"GO:0042110","GO:0042110","T cell activation","112/2398","409/14528",1.30811579912188e-08,1.30811579912188e-08,7.82574539474671e-06,"TNFRSF4/TNFRSF18/CD2/TNFRSF1B/RORC/ZBTB7B/SEMA4A/CD1D/SLAMF6/FCER1G/LAX1/SOX13/IL10/HLX/RUNX3/LCK/IL2RA/DLG5/GATA3/CD6/CD5/CCDC88B/TCIRG1/LRRC32/P2RX7/IL23A/LAG3/CD4/PTPN6/LGALS3/ZBTB1/ZFP36L1/BATF/RAB27A/SMAD3/SOCS1/IL27/LAT/SPN/CORO1A/ITGAL/PYCARD/NLRC3/NOD2/CCL5/RARA/CCR7/MIR21/PRKAR1A/JMJD6/CD7/BCL2/RASAL3/JAK3/IL12RB1/NFKBID/TGFB1/EBI3/TMIGD2/BCL3/TARM1/TNFSF14/VAV1/NCK2/CASP8/CTLA4/FZD5/SLC11A1/LOXL3/ZAP70/SIRPA/SLA2/SRC/PREX1/SOD1/AIRE/PATZ1/LGALS1/GRAP2/TNFRSF13C/NCAPH2/BTLA/DLG1/TGFBR2/TREX1/PPP3CA/KIT/TCF7/CD74/IL12B/PTGER4/PRDM1/MYB/HFE/MICA/MICB/AIF1/HLA-DMB/HLA-DPB1/HLA-DPA1/CCND3/SRF/LFNG/RAC1/FAM49B/PRKDC/PAG1/TNFSF8/FUT7/NRARP/RPS6/PDCD1LG2",112
"GO:0002444","GO:0002444","myeloid leukocyte mediated immunity","127/2398","481/14528",1.52694360445143e-08,1.52694360445143e-08,8.22138582817797e-06,"CD58/NPPA/TNFRSF1B/S100A11/HRNR/S100A8/FCER1G/CHI3L1/PIGR/CDA/TMEM63A/PGM1/ALOX5/PLAU/TSPAN14/PGAM1/HSPA8/TOLLIP/CTSD/PSMC3/TCN1/MS4A3/FTH1/TBC1D10C/GSTP1/ALDH3B1/TCIRG1/NDUFC2/RHOF/MGST1/BIN2/CD63/RAB5B/ARHGAP9/PTPN6/ATP11A/RNASE3/LGALS3/SERPINA1/CYFIP1/RAB27A/ANXA2/PKM/FES/ATP6V0C/LAT/ITGAL/MMP25/PYCARD/COTL1/CYBA/GALNS/APRT/ABR/P2RX1/ORMDL3/JUP/VAT1/MPO/RAB37/CD68/TMC6/TRAPPC1/CNN2/SLC44A2/MAN2B1/GPI/GMFG/RAB4B/CEACAM6/LRG1/C5AR1/SIGLEC9/TARM1/STXBP2/PRTN3/ELANE/CFD/CXCR2/CXCR1/TMBIM1/SLC11A1/QPCT/SIRPA/CD93/SLPI/CTSA/CCT8/PFKL/ITGB2/SNAP29/MIF/TOM1/CYB5R3/ARSA/NIT2/GYG1/NBEAL2/IMPDH2/DNASE1L3/PSMD6/JAGN1/MANBA/KIT/S100P/FER/TICAM2/CYSTM1/STK10/DOK3/HEXB/ARSB/HEBP2/FUCA2/DYNLT1/RNASET2/CSNK2B/HSP90AB1/RAC1/PDAP1/CTSB/GSDMD/DGAT1/CPNE3/AGPAT2/DPP7/B4GALT1",127
