"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060562","GO:0060562","epithelial tube morphogenesis","38/730","295/14866",4.99756995488237e-08,4.99756995488237e-08,0.000219156594021473,"MTHFR/VANGL2/PAX2/FGF8/RET/GATA3/WT1/CFL1/DCHS1/PPP1CA/DEAF1/KDM2B/ACVRL1/FOXA1/FMN1/SPINT1/SOX8/SALL1/ESRP2/WNK4/NTN1/LAMA1/PAX8/WNT6/GBX2/SOX18/PLXNB2/CASR/TGFBR2/FGF2/CC2D2A/IRX1/GDNF/DDR1/FKBPL/HOXA5/GRHL2/NRARP",38
"GO:0001763","GO:0001763","morphogenesis of a branching structure","27/730","184/14866",3.27397730865816e-07,3.27397730865816e-07,0.000717862603572101,"VANGL2/PAX2/FGF8/WT1/DCHS1/PPP1CA/FOXA1/SPINT1/SOX8/SALL1/ESRP2/LAMA1/PAX8/DLX2/FZD5/WNT6/GBX2/CASR/MAP3K13/TGFBR2/FGF2/GDNF/DDR1/FKBPL/HOXA5/GRHL2/NRARP",27
"GO:0090596","GO:0090596","sensory organ morphogenesis","30/730","228/14866",8.16156530025532e-07,8.16156530025532e-07,0.000748993367926704,"VANGL2/FOXE3/PAX2/FGF8/GATA3/KDM2B/AQP5/HOXC13/C12orf57/DIO3/ALDH1A3/SOX8/SALL1/ABR/NTN1/TSHZ1/PAX8/FZD5/GBX2/OTX1/MEIS1/TRIOBP/ZIC1/THRB/TMIE/COL8A1/NEUROG1/TULP1/HOXA2/DLX6",30
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","25/730","171/14866",9.54325960308797e-07,9.54325960308797e-07,0.000748993367926704,"VANGL2/PAX2/FGF8/WT1/DCHS1/PPP1CA/FOXA1/SPINT1/SOX8/SALL1/ESRP2/LAMA1/PAX8/FZD5/WNT6/GBX2/CASR/TGFBR2/FGF2/GDNF/DDR1/FKBPL/HOXA5/GRHL2/NRARP",25
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","22/730","139/14866",1.09504330167346e-06,1.09504330167346e-06,0.000748993367926704,"VANGL2/PAX2/FGF8/WT1/DCHS1/PPP1CA/FOXA1/SOX8/SALL1/ESRP2/LAMA1/PAX8/WNT6/GBX2/CASR/TGFBR2/FGF2/GDNF/DDR1/FKBPL/HOXA5/NRARP",22
"GO:0007389","GO:0007389","pattern specification process","43/730","400/14866",1.14273215962406e-06,1.14273215962406e-06,0.000748993367926704,"VANGL2/PAX2/FGF8/CYP26C1/DBX1/WT1/DCHS1/RFX4/KDM2B/ACVRL1/HOXC13/FOXA1/MESP2/NR2F2/TSHZ1/APC2/PAX8/DLX2/FZD5/WNT6/GBX2/HES6/OTX1/FOXA2/SOX18/RIPPLY3/ZIC1/TGFBR2/FEZF2/CC2D2A/NEUROG1/CDX1/IRX1/GDNF/SYNGAP1/MDFI/HOXA2/HOXA3/HOXA5/HOXA6/HOXA10/LHX3/NRARP",43
"GO:0072006","GO:0072006","nephron development","21/730","129/14866",1.19558470876442e-06,1.19558470876442e-06,0.000748993367926704,"VANGL2/NID1/PAX2/FGF8/RET/GATA3/WT1/DCHS1/AQP11/FMN1/SOX8/SALL1/WNK4/PAX8/WNT6/MPV17/WWTR1/FGF2/IRX1/GDNF/ANGPT2",21
"GO:0060993","GO:0060993","kidney morphogenesis","16/730","85/14866",3.18948974908469e-06,3.18948974908469e-06,0.00166670677366023,"VANGL2/PAX2/FGF8/GATA3/WT1/DCHS1/FMN1/SOX8/SALL1/WNK4/PAX8/WNT6/WWTR1/FGF2/IRX1/GDNF",16
"GO:0072080","GO:0072080","nephron tubule development","16/730","86/14866",3.74282744704021e-06,3.74282744704021e-06,0.00166670677366023,"PAX2/FGF8/GATA3/WT1/DCHS1/AQP11/FMN1/SOX8/SALL1/WNK4/PAX8/WNT6/WWTR1/FGF2/IRX1/GDNF",16
"GO:0048568","GO:0048568","embryonic organ development","41/730","391/14866",3.80069955587426e-06,3.80069955587426e-06,0.00166670677366023,"VANGL2/TAL1/PAX2/FGF8/GATA3/ASCL2/CDKN1C/SCT/KDM2B/POLE/AKT1/ALDH1A3/SPINT1/NR2F2/SALL1/ABR/PLCD3/NTN1/TSHZ1/PAX8/DLX2/FZD5/GBX2/PKDCC/OTX1/SOX18/TRIOBP/ZIC1/TGFBR2/TMIE/CC2D2A/NEUROG1/GDNF/MDFI/HOXA2/HOXA3/HOXA5/HOXA6/DLX6/GRHL2/PAX5",41
