"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003002","GO:0003002","regionalization","197/5155","312/14236",1.54540312076571e-22,1.54540312076571e-22,7.81160609043888e-19,"ABI1/ACVR2A/ACVR2B/ALDH1A2/ALX1/ALX4/ASCL1/BARX1/BASP1/BHLHE40/BMP4/BMPR1A/BTG2/C3/CDX1/CDX2/CHSY1/COBL/CXXC4/CYP26B1/CYP26C1/DBX1/DKK1/DLL3/DLL4/DLX1/DLX2/DMRT2/DMRT3/DMRTA2/DPCD/DVL2/DYNC2H1/EED/EMX1/EMX2/EN1/EOMES/EP300/EVX1/FBXL15/FEZF1/FEZF2/FGF10/FGF8/FGFR2/FOXA1/FOXA2/FOXB1/FOXC1/FOXC2/FOXF1/FOXH1/FOXJ1/FZD5/GATA4/GBX2/GDF11/GDF3/GDNF/GLI1/GLI2/GLI3/GORAB/GPR161/GSC/GSX2/HES4/HES6/HES7/HEY2/HHIP/HIPK2/HNF1B/HOXA10/HOXA11/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXB3/HOXB4/HOXB8/HOXC10/HOXC11/HOXC13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD10/HOXD11/HOXD13/HOXD3/HOXD4/HOXD8/HOXD9/HSPB11/IFT122/IFT140/IFT172/INTU/IRX1/IRX3/ISL1/KDM2B/LDB1/LEF1/LHX1/LHX2/LHX3/LMX1B/LRP4/MAFB/MDFI/MEGF8/MEOX2/MESP1/MESP2/MSX1/MSX2/MTF2/NEUROD1/NEUROG1/NOG/NOTO/NR2F2/NRARP/NRP1/NTF4/OSR1/OTX1/OVOL2/PAX1/PAX2/PAX6/PAX7/PBX3/PCDH8/PCGF2/PLD6/PLXNA2/POGLUT1/PTCH1/RARG/RELN/RFX4/RING1/RIPPLY2/ROBO1/ROR2/RPGRIP1L/SEMA3F/SFRP1/SFRP2/SHH/SIX1/SIX2/SIX3/SKI/SMAD3/SMO/SOX1/SOX17/SP8/SPRY1/SRF/SUFU/TBR1/TBX1/TBX18/TBX19/TBX20/TBX3/TBX6/TCAP/TCF15/TDGF1/TGFBR1/TMED2/TMEM107/TSHZ1/TTC21B/VANGL2/VAX2/WLS/WNT1/WNT2/WNT3/WNT3A/WNT5A/WNT7A/WT1/ZBTB16/ZEB2",197
"GO:0007389","GO:0007389","pattern specification process","231/5155","387/14236",1.64614052538e-21,1.64614052538e-21,4.16040358046041e-18,"ABI1/ACVR2A/ACVR2B/ALDH1A2/ALX1/ALX4/APC2/ASCL1/BARX1/BASP1/BHLHE40/BMP4/BMPR1A/BTG2/C3/CC2D2A/CCDC39/CDX1/CDX2/CHSY1/COBL/CXXC4/CYP26B1/CYP26C1/DAND5/DBX1/DCHS1/DKK1/DLL3/DLL4/DLX1/DLX2/DMRT2/DMRT3/DMRTA2/DNAH11/DPCD/DVL2/DYNC2H1/EED/EMX1/EMX2/EN1/EOMES/EP300/ERBB4/EVX1/FBXL15/FEZF1/FEZF2/FGF10/FGF8/FGFR2/FOXA1/FOXA2/FOXB1/FOXC1/FOXC2/FOXF1/FOXH1/FOXJ1/FZD5/GATA4/GBX2/GDF11/GDF3/GDNF/GLI1/GLI2/GLI3/GORAB/GPR161/GRHL3/GSC/GSX2/HAND1/HAND2/HES4/HES6/HES7/HEY2/HHIP/HIF1A/HIPK2/HNF1B/HOXA10/HOXA11/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXB3/HOXB4/HOXB8/HOXC10/HOXC11/HOXC13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD10/HOXD11/HOXD12/HOXD13/HOXD3/HOXD4/HOXD8/HOXD9/HSPB11/IFT122/IFT140/IFT172/IHH/INTU/IRX1/IRX3/IRX4/ISL1/KDM2B/LBX1/LDB1/LEF1/LEFTY1/LHX1/LHX2/LHX3/LMX1B/LRP4/MAFB/MDFI/MEGF8/MEOX2/MESP1/MESP2/MKKS/MSX1/MSX2/MTF2/NEK8/NEUROD1/NEUROG1/NOG/NOTO/NPHP3/NR2F2/NRARP/NRP1/NTF4/OSR1/OTX1/OVOL2/PAX1/PAX2/PAX6/PAX7/PBX3/PCDH8/PCGF2/PLD6/PLXNA2/POGLUT1/PTCH1/RARG/RELN/RFNG/RFX3/RFX4/RING1/RIPPLY2/RIPPLY3/ROBO1/ROR2/RPGRIP1L/SEMA3F/SFRP1/SFRP2/SHH/SIM2/SIX1/SIX2/SIX3/SKI/SMAD3/SMAD5/SMO/SOX1/SOX17/SOX18/SP8/SPRY1/SRF/SUFU/SYNGAP1/TBR1/TBX1/TBX18/TBX19/TBX2/TBX20/TBX3/TBX5/TBX6/TCAP/TCF15/TDGF1/TGFBR1/TGFBR2/TMED2/TMEM107/TSHZ1/TTC21B/TTC8/UNCX/VANGL2/VAX2/WLS/WNT1/WNT2/WNT3/WNT3A/WNT5A/WNT6/WNT7A/WT1/ZBTB16/ZEB1/ZEB2/ZIC1",231
"GO:0021953","GO:0021953","central nervous system neuron differentiation","118/5155","163/14236",3.82830677050406e-21,3.82830677050406e-21,6.45036109191597e-18,"ABT1/AGTPBP1/ASCL1/B4GALT5/BCL11B/BTG2/C12orf57/CBLN1/CDH11/CDK5/CEND1/CHRNB2/CLN8/CSNK1D/CSNK1E/DBX1/DCLK2/DKK1/DLL4/DLX1/DLX2/DLX5/DMRT3/DYNC2H1/EMX1/EOMES/EPHA4/EPHB2/ERBB4/EVX1/FBXO45/FEZF2/FGF8/FGFR2/FZD1/GATA2/GBA2/GBX2/GDF7/GDPD5/GLI2/GLI3/GRID2/GSX1/GSX2/HERC1/HOXC10/HOXD10/HSP90AA1/HSP90AB1/ID4/IFT172/INHBA/ISL1/ISL2/KNDC1/LBX1/LDB1/LEP/LHX1/LHX3/LHX4/LHX5/LHX8/LMO4/LMX1A/MAPT/MNX1/NFE2L1/NFIB/NPY/NR2E1/NRP1/NTRK2/OLIG2/OLIG3/OTP/PAX6/PAX7/PHOX2A/PHOX2B/POU4F1/PROX1/PTCH1/PTEN/RAC3/RAPGEF2/ROBO1/RORA/SALL1/SALL3/SFRP1/SFRP2/SHH/SIN3A/SLC4A10/SLIT2/SMO/SOX1/SOX4/SPOCK1/SPTBN4/SUFU/SZT2/TAL1/TBR1/TBX20/UBB/UNCX/UQCRQ/WNT1/WNT2/WNT3/WNT3A/WNT5A/WNT7A/WNT9B/ZEB2",118
"GO:0045165","GO:0045165","cell fate commitment","156/5155","242/14236",2.24566435975033e-19,2.24566435975033e-19,2.83781059355818e-16,"APC2/ARHGEF2/ASCL1/ATOH1/BARHL2/BCL11B/BMP4/BMPR1A/CEBPB/CYLD/CYP26B1/DBX1/DHH/DKK1/DLL4/DLX1/DLX2/DMRT3/DMRTA2/EBF2/EOMES/ERBB4/ESRP1/ETV2/EVX1/EYA2/FEV/FEZF2/FGF10/FGF2/FGF8/FGFR2/FOXA1/FOXA2/FOXC2/FZD7/GAP43/GAS1/GATA2/GATA3/GATA6/GDF3/GDF7/GLI2/GLI3/GSC/GSX1/GSX2/HEY2/HNF1B/HOXA11/HOXA2/HOXC10/HOXD10/ID2/IHH/IL7/IRF4/ISL1/ISL2/JAG1/KDM6B/KLF4/LATS1/LBX1/LHX3/LMO4/MESP1/MGA/MITF/MNX1/MYOD1/NEUROD1/NEUROG1/NFE2L1/NOTCH3/NR2E1/NR2F2/NRG1/NRP1/NTF4/NTRK3/OLIG2/OLIG3/ONECUT1/ONECUT2/PAF1/PAX2/PAX6/PAX7/PDPN/PITX1/PML/POU3F2/POU4F1/PPARG/PRDM14/PROX1/PRRX1/PTCH1/PTCH2/PTF1A/RAB10/RAG2/RARA/ROR2/RORA/SFRP1/SFRP2/SHH/SIX1/SIX2/SMAD5/SMO/SOX1/SOX12/SOX17/SOX18/SOX2/SOX5/SOX6/SOX8/SOX9/STAT6/SUFU/TAL1/TBR1/TBX1/TBX15/TBX18/TBX19/TBX2/TBX20/TBX3/TBX4/TBX5/TBX6/TCF7L2/TENM4/TGFBR1/TLX3/WNT1/WNT10A/WNT10B/WNT11/WNT16/WNT2/WNT3/WNT3A/WNT5A/WNT5B/WNT6/WNT7A/WNT9B/WT1/ZNF521",156
"GO:0001708","GO:0001708","cell fate specification","73/5155","90/14236",2.50780154116585e-18,2.50780154116585e-18,2.53525536856387e-15,"APC2/ASCL1/ATOH1/BMPR1A/DBX1/DHH/DKK1/DMRT3/DMRTA2/EOMES/ESRP1/ETV2/EVX1/EYA2/FEV/FGF2/FOXA1/FOXA2/FZD7/GLI2/GLI3/GSC/GSX2/HNF1B/HOXA11/HOXC10/HOXD10/IHH/ISL1/ISL2/LBX1/LHX3/LMO4/MESP1/MGA/MNX1/NRP1/NTRK3/OLIG2/OLIG3/PAX2/PAX6/POU3F2/POU4F1/PRDM14/PTCH1/PTCH2/SFRP2/SHH/SIX1/SIX2/SMO/SOX1/SOX17/SOX18/SOX2/SOX6/SOX9/SUFU/TBR1/TBX1/TBX15/TBX18/TBX19/TBX2/TBX20/TBX3/TBX4/TBX5/TBX6/TENM4/TLX3/WNT3A",73
"GO:0009952","GO:0009952","anterior/posterior pattern specification","127/5155","197/14236",5.01761747201873e-16,5.01761747201873e-16,4.22712264923402e-13,"ABI1/ACVR2A/ACVR2B/ALDH1A2/ALX1/ALX4/BARX1/BASP1/BHLHE40/BMP4/BMPR1A/BTG2/CDX1/CDX2/COBL/CYP26C1/DKK1/DLL3/DMRT2/EMX2/EN1/EP300/FEZF1/FEZF2/FGF8/FOXA2/FOXB1/FOXC1/FOXC2/FOXF1/FOXH1/FZD5/GATA4/GBX2/GDF11/GDF3/GLI2/GLI3/HES4/HES6/HES7/HEY2/HIPK2/HNF1B/HOXA10/HOXA11/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXB3/HOXB4/HOXB8/HOXC10/HOXC11/HOXC13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD10/HOXD13/HOXD3/HOXD4/HOXD8/HOXD9/KDM2B/LDB1/LEF1/LHX1/MEOX2/MESP1/MESP2/MSX1/MSX2/NEUROD1/NEUROG1/NOG/NR2F2/NRARP/OSR1/OTX1/PAX1/PAX6/PBX3/PCDH8/PCGF2/PLD6/PLXNA2/POGLUT1/RARG/RING1/RIPPLY2/ROR2/SFRP1/SFRP2/SHH/SIX2/SIX3/SKI/SMAD3/SMO/SOX17/SRF/TBX1/TBX18/TBX19/TBX3/TBX6/TCAP/TCF15/TDGF1/TGFBR1/TMED2/TSHZ1/VANGL2/WLS/WNT1/WNT2/WNT3/WNT3A/WNT5A/WT1/ZBTB16/ZEB2",127
"GO:0048562","GO:0048562","embryonic organ morphogenesis","156/5155","257/14236",7.63364575588903e-16,7.63364575588903e-16,5.51229577741039e-13,"ALDH1A3/ALX1/ALX4/ATOH1/ATP8A2/BMP4/CCDC39/COL2A1/CTHRC1/DLX2/DLX5/DLX6/DVL1/DVL2/EFEMP1/EPHB2/FBN1/FGF10/FGF8/FGF9/FGFR2/FLVCR1/FOXC2/FOXE1/FOXF1/FOXF2/FOXH1/FOXL2/FRZB/FZD2/FZD5/FZD6/GATA2/GATA3/GATA4/GBX2/GLI1/GLI2/GLI3/GRHL2/GRHL3/GSC/HAND1/HAND2/HIF1A/HIPK2/HMX2/HMX3/HNF1B/HOXA1/HOXA11/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXB3/HOXB4/HOXB8/HOXC11/HOXC4/HOXC9/HOXD10/HOXD3/HOXD4/HOXD9/ID2/IFT140/IFT172/IHH/INSIG2/KCNQ4/KDM2B/LBX1/LHX1/LRIG1/LRIG3/MAFB/MAPK1/MDFI/MEGF8/MESP1/MKKS/MMP14/MMP16/MSX1/MYO3A/NEUROD1/NEUROG1/NOG/NOTO/NPHP3/NTN1/OSR1/OSR2/OTX1/OVOL2/PAX2/PAX5/PAX6/PCGF2/PDGFRA/PDZD7/POU4F3/PRKRA/PROX1/PRRX1/PTK7/RARG/ROR2/RYR2/SALL1/SHH/SHOX2/SIX1/SIX2/SIX3/SIX4/SLC39A1/SLC9A3R1/SMAD3/SMO/SOX17/SOX18/SOX9/SRF/SUFU/TBX1/TBX15/TBX2/TBX20/TBX3/TBX6/TCAP/TCF21/TEAD2/TFAP2A/TGFB3/TGFBR1/TGFBR2/TMED2/TRIOBP/TSHZ1/TWIST1/USH1C/VANGL2/VAX2/WNT1/WNT11/WNT16/WNT3A/WNT5A/WNT9B/YAP1/ZEB1/ZIC1",156
"GO:0030900","GO:0030900","forebrain development","189/5155","329/14236",1.91961130606027e-15,1.91961130606027e-15,1.14506537929638e-12,"ADCYAP1/AGTPBP1/AKNA/ALDH1A2/ALDH1A3/ALK/ANXA3/ASCL1/ASPM/ATAT1/ATOH1/ATP2B4/AVPR1A/BAD/BAX/BCAN/BCL11B/BMP4/BMPR1A/BNIP3/BTG2/C12orf57/CDH1/CDH2/CDK5/CDK5R1/CDK5R2/CHRNB2/CNTNAP2/CRTAC1/CSNK2A2/CXCL12/CXCR4/DAB1/DCLK2/DKK1/DLX1/DLX2/DLX5/DMRTA2/DNAJB1/DPCD/DYNC2H1/EFHC1/EMX1/EMX2/EOMES/EPHB2/ERBB4/EXT1/EZH1/FAT4/FBXO45/FEZ1/FEZF1/FEZF2/FGF10/FGF8/FGFR2/FOXB1/FOXP2/GATA2/GBX2/GDF7/GDPD5/GLI1/GLI2/GLI3/GNAO1/GSC/GSX1/GSX2/HAP1/HIF1A/HTR6/HTRA2/ID2/ID4/INHBA/ISL1/KCNC1/KCNC2/KDM2B/KDM6B/KIF5B/KIRREL3/KRAS/LAMB1/LEF1/LHX1/LHX2/LHX3/LHX5/LHX8/LMX1A/LPAR1/LRP8/MCPH1/MKKS/MSX1/NCOA1/NDE1/NEUROD1/NF1/NF2/NFIB/NOG/NOTCH3/NPY/NR2E1/NR2F2/NRG1/NRGN/NRP1/NTRK2/NUMBL/OLIG2/OTP/OTX1/OXTR/PAX5/PAX6/PEX13/PITX1/POU3F1/POU3F2/POU3F3/POU4F1/PRKG1/PROX1/PTEN/PTPRS/RAC3/RAPGEF2/RARA/RELN/RFX4/ROBO1/RPGRIP1L/RTN4R/RTN4RL2/SALL1/SALL3/SCT/SECISBP2/SEMA5A/SEMA7A/SHH/SIN3A/SIX3/SKI/SLC1A2/SLC2A1/SLC32A1/SLC4A10/SLC6A3/SLC8A3/SLIT2/SMO/SOX1/SOX2/SRC/SRF/SSTR1/SSTR2/SSTR4/SYNE2/SZT2/TBR1/TBX19/TBX3/TMEM108/TMEM14B/TOP2B/TRAPPC9/TSC1/TTC21B/TWSG1/UBB/UNCX/UQCRQ/VAX2/WNT1/WNT3A/WNT5A/WNT7A/XRCC1/ZDHHC16/ZEB2",189
"GO:0007409","GO:0007409","axonogenesis","226/5155","410/14236",2.03879820761851e-15,2.03879820761851e-15,1.14506537929638e-12,"ACTB/ADCY1/ADNP/AFG3L2/ALCAM/ALS2/APBB1/APBB2/APOE/ARHGDIA/ARTN/ATL1/ATOH1/ATP8A2/B4GALT5/BARHL2/BCL11B/BDNF/BOC/BRSK1/C12orf57/C9orf72/CCK/CDH11/CDH2/CDH4/CDK5/CDK5R1/CELSR3/CHL1/CHN1/CHRNB2/CNTN4/COBL/COL25A1/CRABP2/CRMP1/CTNNA2/CXCL12/CXCR4/CYFIP1/CYFIP2/DAB1/DAG1/DBNL/DLX5/DNM2/DOK1/DOK4/DOK5/DOK6/DPYSL2/DPYSL5/DRGX/DVL1/EFNA5/EFNB2/EFNB3/EPHA1/EPHA10/EPHA4/EPHA6/EPHA7/EPHB2/ERBB2/ETV1/EXT1/FBXO45/FEZ1/FEZF1/FEZF2/FGF8/FGFR2/FLOT1/FLRT2/FN1/FOXB1/GAP43/GATA3/GBX2/GDF7/GDNF/GFRA1/GLI2/GLI3/GOLGA4/GRB10/GRB7/HOXA2/HSP90AA1/HSP90AB1/IRS2/ISL1/ISL2/ISLR2/KIF13B/KIF5A/KIF5C/KLF7/LAMA1/LHX1/LHX2/LHX3/LHX4/LHX9/LIMK1/LMX1A/LPAR3/LRP4/LRTM2/LYPLA2/MACF1/MAG/MAP1A/MAP1B/MAP1S/MAP3K13/MAPK1/MAPT/MARK2/MATN2/MEGF8/NEFH/NEO1/NFIB/NGF/NGFR/NOG/NPTN/NR2E1/NRCAM/NRP1/NTN1/NTN4/NTNG1/NTRK1/NTRK2/NTRK3/NUMBL/OLFM1/PAK1/PARD3/PARD6B/PAX2/PAX6/PHOX2B/PIK3CB/PIK3R1/PLXNA2/PLXNC1/POU3F2/POU4F1/POU4F2/POU4F3/PPP3CB/PRKCA/PRKCQ/PTCH1/PTEN/PTPN11/PTPRM/PTPRS/RAB10/RAB3A/RAC2/RANBP9/RAP1GAP/RELN/RND2/ROBO1/ROBO3/RTN4R/SEMA3B/SEMA3E/SEMA3F/SEMA4B/SEMA4C/SEMA4F/SEMA4G/SEMA5A/SEMA5B/SEMA6A/SEMA7A/SHC1/SHH/SHOX2/SIN3A/SLIT2/SLIT3/SLITRK1/SLITRK3/SMO/SOS1/SPAST/SPTAN1/SPTB/SPTBN1/SPTBN4/SRC/SRF/STK11/STK25/STMN1/SYNGAP1/SZT2/TAOK2/TBR1/TIAM1/TNFRSF12A/TOP2B/TRIM46/TUBB2B/UCHL1/ULK2/USP33/VANGL2/VASP/VAX1/VAX2/VLDLR/VSTM2L/WNT3/WNT3A/WNT5A/WNT7A/ZEB2",226
"GO:0048568","GO:0048568","embryonic organ development","211/5155","381/14236",9.23920749836086e-15,9.23920749836086e-15,4.67017625338198e-12,"AKT1/ALDH1A2/ALDH1A3/ALX1/ALX4/ARID2/ASCL2/ATOH1/ATP8A2/BMP4/BMPR1A/CC2D2A/CCDC39/CDKN1C/CDX2/CEBPB/COBL/COL2A1/CTHRC1/DLX2/DLX5/DLX6/DVL1/DVL2/EFEMP1/EN1/EN2/EOMES/EPHB2/FBN1/FGF10/FGF8/FGF9/FGFR2/FLT3LG/FLVCR1/FOXC1/FOXC2/FOXE1/FOXF1/FOXF2/FOXH1/FOXL2/FRZB/FZD2/FZD5/FZD6/GATA2/GATA3/GATA4/GBX2/GDF3/GDNF/GLI1/GLI2/GLI3/GRHL2/GRHL3/GSC/HAND1/HAND2/HEY2/HIF1A/HIPK2/HMX2/HMX3/HNF1B/HOXA1/HOXA11/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXB3/HOXB4/HOXB8/HOXC11/HOXC4/HOXC9/HOXD10/HOXD3/HOXD4/HOXD9/ID2/IFT122/IFT140/IFT172/IGF2/IHH/INSIG2/JUNB/KCNQ4/KDM2B/KDR/KIT/KMT2A/KRT8/LBX1/LEF1/LHX1/LRIG1/LRIG3/MAFB/MAPK1/MDFI/MEGF8/MESP1/MKKS/MMP14/MMP16/MSX1/MYO3A/NCOA1/NES/NEUROD1/NEUROG1/NOG/NOTO/NPHP3/NR2F2/NTN1/OSR1/OSR2/OTX1/OVOL2/PAX2/PAX5/PAX6/PCGF2/PDGFC/PDGFRA/PDZD7/PHLDA2/PLCD1/PLCD3/POLE/POU4F3/PPP1R13L/PRKRA/PROX1/PRRX1/PTCH1/PTK7/RARA/RARG/RARRES2/ROR2/RSPO3/RYR2/SALL1/SCT/SHH/SHOX2/SIX1/SIX2/SIX3/SIX4/SLC39A1/SLC9A3R1/SMAD3/SMO/SOCS3/SOX17/SOX18/SOX9/SPINT1/SRF/STK3/STK4/SUFU/SYF2/TAL1/TBC1D23/TBX1/TBX15/TBX2/TBX20/TBX3/TBX6/TCAP/TCF21/TEAD2/TFAP2A/TGFB2/TGFB3/TGFBR1/TGFBR2/TMED2/TRIM28/TRIOBP/TSHZ1/TUBB2B/TWIST1/USH1C/VANGL2/VASH1/VAX2/WDR48/WNT1/WNT11/WNT16/WNT2/WNT3A/WNT5A/WNT9B/YAP1/ZEB1/ZFP36L1/ZFPM2/ZIC1",211
