"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003002","GO:0003002","regionalization","189/4508","312/14236",2.34944625573782e-26,2.34944625573782e-26,1.19599179923664e-22,"ACVR2A/ALDH1A2/ALX1/ALX4/ASCL1/BARX1/BASP1/BMP4/BMPR1A/BMPR1B/C3/CDX1/CDX2/CHSY1/COBL/CXXC4/CYP26B1/CYP26C1/DBX1/DKK1/DLL3/DLL4/DLX1/DLX2/DMRT2/DMRT3/DMRTA2/DPCD/DVL2/DYNC2H1/EED/EMX1/EMX2/EN1/EOMES/EP300/EVX1/FBXL15/FEZF1/FEZF2/FGF8/FOXA1/FOXA2/FOXC1/FOXC2/FOXF1/FOXH1/FOXJ1/FRS2/FZD5/GATA4/GBX2/GDF11/GDF3/GDNF/GLI2/GLI3/GORAB/GPR161/GREM2/GSC/GSX2/HES1/HES3/HES4/HES6/HES7/HEY1/HEY2/HEYL/HHIP/HNF1B/HOXA10/HOXA11/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXA9/HOXB3/HOXB4/HOXB8/HOXC10/HOXC11/HOXC13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD10/HOXD11/HOXD13/HOXD3/HOXD8/HOXD9/HSPB11/IFT122/IFT140/IFT172/INTU/IRX1/IRX3/ISL1/KDM2B/LDB1/LHX1/LHX2/LHX3/LMX1B/LRP4/MAFB/MDFI/MEF2C/MEGF8/MEOX2/MESP1/MESP2/MSX1/MSX2/MTF2/NEUROD1/NEUROG1/NOG/NOTO/NR2F2/NRARP/NRP1/NTF4/OSR1/OTX1/OVOL2/PAX1/PAX2/PAX6/PAX7/PBX3/PCDH8/PCGF2/PLD6/PLXNA2/POGLUT1/PTCH1/RARG/RFX4/RING1/RIPPLY2/RNF2/ROBO1/SFRP1/SFRP2/SHH/SIX1/SIX2/SIX3/SMAD6/SMO/SOX1/SOX17/SP8/SPRY1/SRF/SUFU/TBR1/TBX1/TBX18/TBX20/TBX3/TBX6/TCAP/TCF15/TDGF1/TGFBR1/TMED2/TMEM107/TRAF3IP1/TSHZ1/VANGL2/VAX2/WDR19/WNT1/WNT2/WNT3A/WNT5A/WNT7A/WT1/ZBTB16/ZEB2",189
"GO:0007389","GO:0007389","pattern specification process","221/4508","387/14236",1.17096312975921e-25,1.17096312975921e-25,2.98040931342924e-22,"ACVR2A/ALDH1A2/ALX1/ALX4/APC2/ASCL1/BARX1/BASP1/BMP4/BMPR1A/BMPR1B/C2CD3/C3/CC2D2A/CDX1/CDX2/CHSY1/COBL/CXXC4/CYP26B1/CYP26C1/DAND5/DBX1/DCHS1/DKK1/DLL3/DLL4/DLX1/DLX2/DMRT2/DMRT3/DMRTA2/DNAH11/DPCD/DVL2/DYNC2H1/EED/EMX1/EMX2/EN1/EOMES/EP300/ERBB4/EVX1/FBXL15/FEZF1/FEZF2/FGF8/FOXA1/FOXA2/FOXC1/FOXC2/FOXF1/FOXH1/FOXJ1/FRS2/FZD5/GATA4/GBX2/GDF11/GDF3/GDNF/GLI2/GLI3/GORAB/GPR161/GREM2/GRHL3/GSC/GSX2/HAND1/HAND2/HES1/HES3/HES4/HES6/HES7/HEY1/HEY2/HEYL/HHIP/HIF1A/HNF1B/HOXA10/HOXA11/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXA9/HOXB3/HOXB4/HOXB8/HOXC10/HOXC11/HOXC13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD10/HOXD11/HOXD12/HOXD13/HOXD3/HOXD8/HOXD9/HSPB11/IFT122/IFT140/IFT172/IHH/INTU/IRX1/IRX3/IRX4/ISL1/KDM2B/LBX1/LDB1/LEFTY1/LHX1/LHX2/LHX3/LMX1B/LRP4/MAFB/MDFI/MEF2C/MEGF8/MEOX2/MESP1/MESP2/MSX1/MSX2/MTF2/NEK8/NEUROD1/NEUROG1/NOG/NOTO/NPHP3/NR2F2/NRARP/NRP1/NTF4/OSR1/OTX1/OVOL2/PAX1/PAX2/PAX6/PAX7/PBX3/PCDH8/PCGF2/PLD6/PLXNA2/POGLUT1/PTCH1/RARG/RFNG/RFX4/RING1/RIPPLY2/RIPPLY3/RNF2/RNF207/ROBO1/SFRP1/SFRP2/SHH/SHROOM3/SIM2/SIX1/SIX2/SIX3/SMAD5/SMAD6/SMO/SOX1/SOX17/SOX18/SP8/SPRY1/SRF/SUFU/TBR1/TBX1/TBX18/TBX2/TBX20/TBX3/TBX5/TBX6/TCAP/TCF15/TDGF1/TGFBR1/TGFBR2/TMED2/TMEM107/TRAF3IP1/TSHZ1/UNCX/VANGL2/VAX2/WDR19/WNT1/WNT2/WNT3A/WNT5A/WNT6/WNT7A/WT1/ZBTB16/ZEB1/ZEB2/ZIC1",221
"GO:0048562","GO:0048562","embryonic organ morphogenesis","152/4508","257/14236",5.32001477505337e-20,5.32001477505337e-20,9.02722507093267e-17,"ALDH1A3/ALX1/ALX4/ATOH1/ATP8A2/BMP4/C2CD3/COL11A1/COL2A1/CTHRC1/DLX2/DLX5/DLX6/DVL1/DVL2/FGF8/FOXC2/FOXE1/FOXF1/FOXF2/FOXH1/FOXL2/FRS2/FRZB/FZD2/FZD3/FZD5/FZD6/GATA2/GATA3/GATA4/GBX2/GLI2/GLI3/GRHL2/GRHL3/GSC/HAND1/HAND2/HES1/HIF1A/HLX/HMX2/HMX3/HNF1B/HOXA1/HOXA11/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXB3/HOXB4/HOXB8/HOXC11/HOXC4/HOXC9/HOXD10/HOXD3/HOXD9/ID2/IFT140/IFT172/IHH/INSIG2/KCNQ4/KDM2B/LBX1/LHX1/LRIG1/LRIG3/MAFB/MDFI/MEF2C/MEGF8/MESP1/MFAP2/MMP14/MMP16/MSX1/MTHFD1L/MYO3A/MYO7A/NEUROD1/NEUROG1/NOG/NOTO/NPHP3/NTN1/OSR1/OSR2/OTX1/OVOL2/PAX2/PAX5/PAX6/PCGF2/PDGFRA/POU4F3/PRKRA/PROX1/PRRX1/PTK7/RARG/RBPMS2/RDH10/RNF207/RPL38/SALL1/SEC24B/SHH/SHOX2/SIX1/SIX2/SIX3/SIX4/SLC39A1/SLC9A3R1/SMO/SOBP/SOX17/SOX18/SOX9/SRF/SUFU/TBX1/TBX15/TBX2/TBX20/TBX3/TBX6/TCAP/TEAD2/TFAP2A/TGFB3/TGFBR1/TGFBR2/TMED2/TRIOBP/TSHZ1/TWIST1/VANGL2/VAX2/WDR19/WNT1/WNT11/WNT16/WNT3A/WNT5A/ZEB1/ZIC1",152
"GO:0048568","GO:0048568","embryonic organ development","203/4508","381/14236",7.32067585000915e-19,7.32067585000915e-19,9.31652326595902e-16,"AKT1/ALDH1A2/ALDH1A3/ALX1/ALX4/ARID2/ATOH1/ATP8A2/BMP4/BMPR1A/C2CD3/CC2D2A/CDKN1C/CDX2/CEBPA/CEBPB/COBL/COL11A1/COL2A1/CTHRC1/DLX2/DLX5/DLX6/DVL1/DVL2/EN1/EN2/EOMES/FGF8/FLT3LG/FOXC1/FOXC2/FOXE1/FOXF1/FOXF2/FOXH1/FOXL2/FRS2/FRZB/FZD2/FZD3/FZD5/FZD6/GATA2/GATA3/GATA4/GBX2/GDF3/GDNF/GLI2/GLI3/GRHL2/GRHL3/GSC/HAND1/HAND2/HES1/HEY1/HEY2/HIF1A/HLX/HMX2/HMX3/HNF1B/HOXA1/HOXA11/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXB3/HOXB4/HOXB8/HOXC11/HOXC4/HOXC9/HOXD10/HOXD3/HOXD9/ID2/IFT122/IFT140/IFT172/IGF2/IHH/INSIG2/KCNQ4/KDM2B/KDR/KIT/KRT8/LBX1/LHX1/LRIG1/LRIG3/MAFB/MDFI/MEF2C/MEGF8/MESP1/MFAP2/MMP14/MMP16/MSX1/MTHFD1L/MYO3A/MYO7A/NCOA1/NES/NEUROD1/NEUROG1/NOG/NOTO/NPHP3/NR2F2/NTN1/OSR1/OSR2/OTX1/OVOL2/PAX2/PAX5/PAX6/PCGF2/PDGFC/PDGFRA/PHLDA2/PLCD1/PLCD3/POU4F3/PPP1R13L/PRKRA/PROX1/PRRX1/PTCH1/PTK7/RARA/RARG/RARRES2/RBPMS2/RDH10/RNF207/RPL38/RSPO3/SALL1/SCT/SEC24B/SHH/SHOX2/SIX1/SIX2/SIX3/SIX4/SLC39A1/SLC9A3R1/SMO/SOBP/SOCS3/SOX17/SOX18/SOX9/SPINT1/SRF/STK3/STK4/SUFU/TAL1/TBC1D23/TBX1/TBX15/TBX2/TBX20/TBX3/TBX6/TCAP/TEAD2/TFAP2A/TGFB2/TGFB3/TGFBR1/TGFBR2/TMED2/TRAF3IP1/TRIOBP/TSHZ1/TUBB2B/TWIST1/VANGL2/VASH1/VAX2/WDR19/WDR48/WNT1/WNT11/WNT16/WNT2/WNT3A/WNT5A/ZEB1/ZFP36L1/ZFPM2/ZIC1",203
"GO:0001708","GO:0001708","cell fate specification","69/4508","90/14236",1.77036932204617e-18,1.77036932204617e-18,1.80242232450848e-15,"APC2/ASCL1/ATOH1/BMPR1A/DBX1/DHH/DKK1/DMRT3/DMRTA2/EOMES/ESRP1/ETV2/EVX1/FGF2/FOXA1/FOXA2/FZD7/GLI2/GLI3/GSC/GSX2/HNF1B/HOXA11/HOXC10/HOXD10/IHH/ISL1/ISL2/LBX1/LHX3/LMO4/MESP1/MGA/NRP1/NTRK3/OLIG2/OLIG3/PAX2/PAX6/POU3F2/POU4F1/PRDM14/PTCH1/PTCH2/SFRP2/SHH/SIX1/SIX2/SMO/SOX1/SOX17/SOX18/SOX2/SOX6/SOX9/SUFU/TBR1/TBX1/TBX15/TBX18/TBX2/TBX20/TBX3/TBX4/TBX5/TBX6/TENM4/TLX3/WNT3A",69
"GO:0009952","GO:0009952","anterior/posterior pattern specification","120/4508","197/14236",1.84081101576329e-17,1.84081101576329e-17,1.5617828196897e-14,"ACVR2A/ALDH1A2/ALX1/ALX4/BARX1/BASP1/BMP4/BMPR1A/CDX1/CDX2/COBL/CYP26C1/DKK1/DLL3/DMRT2/EMX2/EN1/EP300/FEZF1/FEZF2/FGF8/FOXA2/FOXC1/FOXC2/FOXF1/FOXH1/FRS2/FZD5/GATA4/GBX2/GDF11/GDF3/GLI2/GLI3/HES1/HES3/HES4/HES6/HES7/HEY1/HEY2/HEYL/HNF1B/HOXA10/HOXA11/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXA9/HOXB3/HOXB4/HOXB8/HOXC10/HOXC11/HOXC13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD10/HOXD13/HOXD3/HOXD8/HOXD9/KDM2B/LDB1/LHX1/MEOX2/MESP1/MESP2/MSX1/MSX2/NEUROD1/NEUROG1/NOG/NR2F2/NRARP/OSR1/OTX1/PAX1/PAX6/PBX3/PCDH8/PCGF2/PLD6/PLXNA2/POGLUT1/RARG/RING1/RIPPLY2/RNF2/SFRP1/SFRP2/SHH/SIX2/SIX3/SMO/SOX17/SRF/TBX1/TBX18/TBX3/TBX6/TCAP/TCF15/TDGF1/TGFBR1/TMED2/TSHZ1/VANGL2/WNT1/WNT2/WNT3A/WNT5A/WT1/ZBTB16/ZEB2",120
"GO:0045165","GO:0045165","cell fate commitment","140/4508","242/14236",2.32919972734052e-17,2.32919972734052e-17,1.6938360723938e-14,"APC2/ARHGEF2/ASCL1/ATOH1/BARHL2/BMP4/BMPR1A/CEBPB/CTR9/CYP26B1/DBX1/DHH/DKK1/DLL4/DLX1/DLX2/DMRT3/DMRTA2/EBF2/EOMES/ERBB4/ESRP1/ETV2/EVX1/FEZF2/FGF2/FGF8/FOXA1/FOXA2/FOXC2/FZD7/GAP43/GATA2/GATA3/GATA6/GDF3/GLI2/GLI3/GSC/GSX1/GSX2/HES1/HEY2/HNF1B/HOXA11/HOXA2/HOXC10/HOXD10/ID2/IHH/IL12B/IL7/IRF4/ISL1/ISL2/JAG1/KDM6B/KLF4/LATS1/LBX1/LHX3/LMO4/LOXL3/MEF2C/MESP1/MGA/MITF/MYOD1/NEUROD1/NEUROG1/NOTCH3/NR2E1/NR2F2/NRP1/NTF4/NTRK3/OLIG2/OLIG3/ONECUT1/ONECUT2/PAX2/PAX6/PAX7/PITX1/POU3F2/POU4F1/PPARG/PRDM14/PROX1/PRRX1/PTCH1/PTCH2/PTF1A/RAB10/RARA/RORA/SFRP1/SFRP2/SH3PXD2B/SHH/SIX1/SIX2/SMAD5/SMO/SOX1/SOX12/SOX17/SOX18/SOX2/SOX6/SOX8/SOX9/STAT6/SUFU/TAL1/TBR1/TBX1/TBX15/TBX18/TBX2/TBX20/TBX3/TBX4/TBX5/TBX6/TCF7L2/TENM4/TGFBR1/TLX3/WNT1/WNT10A/WNT10B/WNT11/WNT16/WNT2/WNT3A/WNT5A/WNT6/WNT7A/WT1",140
"GO:0060562","GO:0060562","epithelial tube morphogenesis","155/4508","287/14236",2.24278995767534e-15,2.24278995767534e-15,1.42712266254183e-12,"ADAMTS12/ALOX12/ALX1/BMP4/C2CD3/CASR/CC2D2A/CFL1/COBL/COL4A1/CTHRC1/CXCL10/CXCR4/DCHS1/DDR1/DLL4/DVL1/DVL2/EDNRA/EFNB2/ESRP2/ETV5/FAT4/FGF2/FGF8/FKBPL/FOXA1/FOXC2/FOXF1/FOXH1/FZD1/FZD2/FZD3/FZD6/GATA3/GATA4/GBX2/GDNF/GLI2/GLI3/GLMN/GREB1L/GRHL2/GRHL3/HAND1/HAND2/HES1/HHIP/HIF1A/HNF1B/HOXA11/HOXA5/HOXD11/IFT122/IFT172/IHH/IRX1/IRX3/KDM2B/KDM5B/KIF26B/KLHL3/KRAS/LAMA1/LBX1/LGR4/LGR5/LHX1/LHX2/LMO4/MEF2C/MEGF8/MESP1/MMP14/MSX2/MTHFD1L/MTHFR/MTSS1/NOG/NOTO/NPHP3/NRARP/NRP1/NTN1/OSR1/OVOL2/PAK1/PAX2/PFN1/PGF/PODXL/PRICKLE1/PRKD2/PROX1/PTCH1/PTK7/RARA/RARG/RASIP1/RDH10/RHOB/RNF207/RSPO2/SALL1/SDC4/SEC24B/SEMA3E/SEMA4C/SFRP1/SFRP2/SHH/SHROOM3/SIX1/SIX2/SIX4/SLIT2/SMO/SOX17/SOX18/SOX4/SOX8/SOX9/SPINT1/SPRY1/SRC/SRF/STARD13/STK3/STK4/SUFU/TBX1/TBX2/TBX20/TBX3/TBX6/TCAP/TEAD2/TGFB2/TGFBR2/TMED2/TRAF6/TSC1/TWIST1/VANGL2/VASP/VDR/WNK4/WNT1/WNT11/WNT2/WNT3A/WNT5A/WNT6/WT1/ZEB2",155
"GO:0007423","GO:0007423","sensory organ development","239/4508","494/14236",2.60745748825158e-15,2.60745748825158e-15,1.47481455124966e-12,"ALDH1A2/ALDH1A3/AQP5/ASCL1/ATOH1/ATP2B4/ATP8A2/ATP8B1/B9D1/BAX/BLOC1S3/BMP4/BMP6/BMPR1B/C12orf57/CASP2/CC2D2A/CCDC66/CDH23/CDK4/CDKN1B/CDKN1C/CEBPA/CELF4/CLN8/COL11A1/COL2A1/COL4A1/COL8A1/COL8A2/CPAMD8/CRB1/CRYGC/CRYGD/CTHRC1/CTNS/CYP1A1/CYP1B1/CYP26B1/DCHS1/DDR1/DIO3/DLL4/DLX1/DLX2/DLX5/DLX6/DVL1/DVL2/ESRP1/FAT1/FAT4/FGF20/FGF8/FOXC1/FOXC2/FOXE3/FOXF2/FOXL2/FOXP2/FRS2/FRZB/FSCN2/FZD2/FZD3/FZD5/FZD6/GABRB2/GATA2/GATA3/GBX2/GDF11/GDF3/GJB2/GLI2/GLI3/GNAT2/GNB1/GNG8/GPD2/GPM6A/GRHL2/GRHL3/GSC/HAND2/HES1/HEY2/HIF1A/HMX2/HMX3/HOXA1/HOXA2/HOXC13/HSF4/IFT122/IFT140/IFT88/IHH/INHBA/INSIG2/JAG1/JMJD6/KCNQ4/KDM2B/KDM5B/KIT/KLF4/LAMA1/LGR5/LHX1/LHX2/LHX3/LRIG1/LRIG3/MAFB/MCOLN3/MEGF11/MEIS1/MEIS2/MERTK/MFAP2/MFN2/MITF/MPV17/MSX1/MYO3A/MYO7A/NES/NEUROD1/NEUROG1/NF1/NF2/NOG/NPHP1/NPHP4/NR2E1/NRP1/NTF4/NTN1/NTRK3/OSR1/OSR2/OTX1/PAX2/PAX6/PCDH15/PDE6A/PDGFRA/PDGFRB/PFDN5/PITX3/POU4F2/POU4F3/PPP1R13L/PRDM16/PRKCI/PRKRA/PROX1/PROX2/PRRX1/PSAP/PTF1A/PTK7/PTPRM/RAB11FIP4/RAB3GAP1/RARA/RARG/RDH10/RING1/ROM1/ROR1/RORB/RPL38/SALL1/SALL2/SCO2/SDC4/SDK1/SDK2/SEC24B/SH3PXD2B/SHH/SIPA1L3/SIX1/SIX2/SIX3/SIX4/SLC17A7/SLC25A27/SLC26A5/SLC39A5/SLC9A3R1/SMARCA4/SOBP/SOX1/SOX2/SOX8/SOX9/SRF/TBX1/TBX2/TCAP/TCF15/TFAP2A/TFAP2B/TGFB2/TGFB3/TGFBR1/TGFBR2/TGIF2/THRB/TOPORS/TRAF3IP1/TRIOBP/TSHZ1/TSPAN12/TULP1/TWIST1/TWSG1/VANGL2/VAX1/VAX2/VSX1/WDR19/WNT1/WNT10A/WNT10B/WNT16/WNT2/WNT3A/WNT5A/WNT6/WNT7A/WT1/ZEB1/ZEB2/ZIC1/ZNF513",239
"GO:0001501","GO:0001501","skeletal system development","218/4508","454/14236",1.21075492511671e-13,1.21075492511671e-13,6.16337980827834e-11,"ACAN/ACP5/ACVR2A/ADAMTS12/ADAMTS4/ALX1/ALX4/ANKH/ANO6/ANXA6/BBX/BCAN/BGLAP/BMP3/BMP4/BMP6/BMPR1A/BMPR1B/CD44/CDH11/CDKN1C/CDX1/CHAD/CHADL/CHSY1/COCH/COL11A1/COL12A1/COL13A1/COL1A1/COL1A2/COL2A1/COL9A2/COMP/CYP26B1/DCHS1/DHRS3/DLL3/DLX1/DLX2/DLX5/DLX6/DMRT2/EIF2AK3/EN1/EP300/ESRRA/EVC/EXT1/FAT4/FGF18/FGF2/FGF8/FLI1/FOXC1/FOXC2/FRZB/GDF10/GDF11/GDF3/GDF5/GLI2/GLI3/GNA11/GRHL2/GSC/HAND1/HAND2/HAPLN2/HAPLN3/HAS2/HES7/HHIP/HIF1A/HMGA2/HOXA1/HOXA10/HOXA11/HOXA13/HOXA2/HOXA3/HOXA5/HOXA6/HOXA7/HOXA9/HOXB3/HOXB4/HOXB8/HOXC10/HOXC11/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXD1/HOXD10/HOXD12/HOXD13/HOXD3/HOXD8/HOXD9/HSPB11/HYAL2/IFITM5/IFT140/IFT172/IGF2/IHH/INSIG2/KIT/LEP/LHX1/LOX/LRRK1/LTBP3/MATN2/MATN3/MCPH1/MDFI/MEF2C/MEGF8/MEIS1/MGP/MMP14/MMP16/MSX1/MSX2/MTHFD1L/NAB2/NCAN/NEUROG1/NOG/NPR2/OSR1/OSR2/PAPSS2/PAX1/PAX5/PAX7/PCGF2/PDGFC/PDGFRA/PEX7/PITX1/PLXNB1/POC1A/PPARGC1B/PRDX1/PRKRA/PRRX1/PTHLH/PTPN6/RAB33B/RAI1/RARA/RARG/RASSF2/RDH10/RIPPLY2/RPL38/RSPO2/RYR1/SCIN/SFRP1/SFRP2/SH3PXD2B/SHH/SHOX2/SIX1/SIX2/SIX4/SLC39A1/SMAD5/SMPD3/SNAI2/SOX4/SOX6/SOX9/SP5/SPNS2/SRC/SRF/SUFU/TAL1/TAPT1/TBX1/TBX15/TBX3/TBX4/TCF15/TEK/TFAP2A/TGFB2/TGFB3/TGFBI/TGFBR1/TGFBR2/THBS3/TLL1/TRIM45/TWIST1/UNCX/VCAN/VDR/VWA1/VWA2/WASF2/WDR19/WDR48/WNT1/WNT10B/WNT11/WNT5A/WNT7A/ZBTB16/ZEB1/ZNF219",218
