"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071498","GO:0071498","cellular response to fluid shear stress","12/4508","19/14236",0.0046354211741924,0.0046354211741924,0.0476701686302912,"HAS2/KLF4/MAPK7/MEF2C/MIR126/MTSS1/NFE2L2/PTGS2/SOCS5/SRC/SREBF2/TFPI2",12
"GO:0062197","GO:0062197","cellular response to chemical stress","114/4508","296/14236",0.0068986647132142,0.0068986647132142,0.0632753770566219,"AGAP3/AKT1/ANKZF1/APEX1/AQP5/ARHGEF2/ARNTL/ATP13A2/ATP2A2/BAD/CAB39/CAPN3/CAV1/CBX8/CHD6/CHUK/CRYGD/CYP1B1/DAPK1/DYSF/EIF2AK3/ETV5/EZH2/FANCC/FAS/FOS/FOXO1/FOXO3/FZD1/GATA4/GJB2/GLRX2/GPR37/GPX2/GPX3/GPX7/GPX8/GSKIP/HIF1A/HNRNPD/HTRA2/IMPACT/KDM6B/KLF4/LANCL1/LETM1/LRRC8C/LRRC8D/MAP1LC3A/MAP3K5/MAPK7/MAPK8/MAPK9/MGST1/MIR132/MPV17/MSRB3/NFE2L2/NME8/NOL3/NQO1/OSER1/PAWR/PAX2/PCGF2/PCNA/PDE8A/PDGFRA/PLA2R1/PPARG/PPARGC1B/PRDX1/PRDX2/PRDX5/PRDX6/PRKAA1/PRKAA2/PRKCD/PRKRA/PSAP/PTGS2/RAD52/RCSD1/RHOB/SERPINB6/SESN2/SIGMAR1/SIRPA/SIRT2/SLC25A24/SMPD3/SNCA/SOD2/SRC/STAT6/STK39/SZT2/TMEM161A/TP53INP1/TRAF2/TREX1/TSC1/TXN/TXNRD1/UCP1/VNN1/WNT1/WNT16/XRCC6/YBX3/ZC3H12A/ZFP36L1/ZNF580/ZNF622",114
"GO:0034405","GO:0034405","response to fluid shear stress","18/4508","34/14236",0.00801510880735516,0.00801510880735516,0.0714555557053545,"ABCA1/AKT1/HAS2/KLF4/MAPK7/MEF2C/MIR126/MTSS1/NFE2L2/PDGFRB/PTGS2/SMAD6/SMAD7/SOCS5/SRC/SREBF2/TFPI2/TGFB3",18
"GO:0034616","GO:0034616","response to laminar fluid shear stress","9/4508","15/14236",0.0219128509158948,0.0219128509158948,0.140488594762385,"ABCA1/KLF4/MAPK7/MIR126/NFE2L2/SMAD6/SMAD7/SREBF2/TGFB3",9
"GO:0051403","GO:0051403","stress-activated MAPK cascade","91/4508","241/14236",0.0250080354660019,0.0250080354660019,0.154534864720249,"ADORA2B/AKT1/CASR/CHUK/DKK1/DTNBP1/DUSP1/DUSP19/DUSP3/DVL2/EIF2AK2/ERN1/F2RL1/FAS/FOXO1/FZD5/FZD7/FZD8/GADD45A/GADD45B/GADD45G/GPS1/HAND2/IGF1R/IRAK2/LEP/MAGI3/MAP2K4/MAP3K12/MAP3K13/MAP3K2/MAP3K3/MAP3K5/MAP3K6/MAP3K8/MAP3K9/MAP4K2/MAP4K4/MAP4K5/MAPK11/MAPK8/MAPK8IP3/MAPK9/MARVELD3/MECOM/MEN1/MINK1/MIR181D/MLKL/NCOR1/NOD1/NOD2/NPHS1/PAK1/PDCD4/PRDX1/PRMT1/PYCARD/RAP2A/RASGRP1/RASSF2/RELL1/SDCBP/SEMA4C/SFRP1/SFRP2/SH3RF2/SIRPA/SPAG9/STK3/SYK/TAB1/TAOK3/TGFB2/TIAM1/TLR3/TNIP2/TRAF2/TRAF4/TRAF6/UBA52/UBE2N/VANGL2/WNT16/WNT5A/WNT7A/ZC3H12A/ZEB2/ZFP36L1/ZMYND11/ZNF622",91
"GO:0006979","GO:0006979","response to oxidative stress","138/4508","380/14236",0.0284948011585916,0.0284948011585916,0.167389707168353,"ACOX2/AGAP3/AKT1/ANKZF1/APEX1/APOE/ARNTL/ATOX1/ATP13A2/ATP2A2/BAD/C19orf12/CBX8/CHD6/CHUK/CLN8/COL1A1/CRYGD/CYGB/CYP1B1/DAPK1/DHCR24/DUOX1/DUOX2/DUSP1/EGLN1/ETV5/EZH2/FANCC/FGF8/FKBP1B/FOS/FOXO1/FOXO3/FZD1/GATA4/GCLM/GJB2/GLRX2/GNAO1/GPR37/GPX2/GPX3/GPX7/GPX8/GSKIP/GSS/HIF1A/HNRNPD/HP/HTRA2/HYAL2/IDH1/IMPACT/KDM6B/KLF4/LANCL1/LDHA/MAP1LC3A/MAP3K5/MAPK7/MAPK8/MAPK9/MCTP1/MGST1/MICB/MIR132/MMP14/MPV17/MSRB3/MYEF2/NDUFS2/NFE2L2/NME8/NOL3/NQO1/NUDT1/OSER1/PAWR/PAX2/PCGF2/PCNA/PDE8A/PDGFRA/PDGFRB/PLA2R1/PNKP/PON2/PPARGC1B/PRDX1/PRDX2/PRDX5/PRDX6/PRKAA1/PRKAA2/PRKCD/PRKRA/PSAP/PSIP1/PTGS1/PTGS2/PXDN/RAD52/RBPMS/RHOB/SESN2/SESN3/SIGMAR1/SIRPA/SIRT2/SLC25A24/SMPD3/SNCA/SOD2/SRC/STAT6/STC2/STX4/SZT2/TMEM161A/TP53INP1/TRAF2/TREX1/TSC1/TXN/TXN2/TXNRD1/UCN/UCP1/VNN1/WNT1/WNT16/WRN/XPA/XRCC1/ZC3H12A/ZNF580/ZNF622",138
"GO:0070302","GO:0070302","regulation of stress-activated protein kinase signaling cascade","77/4508","202/14236",0.0294755141824181,0.0294755141824181,0.169033784247718,"AKT1/DKK1/DTNBP1/DUSP1/DUSP19/DUSP3/DVL2/EIF2AK2/ERN1/F2RL1/FAS/FOXO1/FZD5/FZD7/FZD8/GADD45A/GADD45B/GADD45G/HAND2/IGF1R/LEP/LYN/MAGI3/MAP2K4/MAP3K12/MAP3K13/MAP3K2/MAP3K3/MAP3K5/MAP3K6/MAP3K9/MAP4K2/MAP4K4/MAP4K5/MAPK8IP3/MARVELD3/MECOM/MEN1/MINK1/MIR181D/MLKL/NCOR1/NOD1/NOD2/PAK1/PDCD4/PRDX1/PRMT1/PYCARD/RAP2A/RASGRP1/RASSF2/RELL1/SDCBP/SEMA4C/SFRP1/SFRP2/SH3RF2/SIRPA/SPAG9/STK3/SYK/TAOK3/TGFB2/TIAM1/TLR3/TRAF2/TRAF4/TRAF6/VANGL2/WNT16/WNT5A/WNT7A/ZC3H12A/ZEB2/ZMYND11/ZNF622",77
"GO:0034063","GO:0034063","stress granule assembly","10/4508","18/14236",0.03052443236641,0.03052443236641,0.171486457277693,"BICD1/C9orf72/CIRBP/G3BP1/G3BP2/GRB7/PRKAA1/PRKAA2/PUM2/STYXL1",10
"GO:0034599","GO:0034599","cellular response to oxidative stress","94/4508","252/14236",0.0318581752221403,0.0318581752221403,0.177823332611116,"AGAP3/AKT1/ANKZF1/APEX1/ARNTL/ATP13A2/ATP2A2/CBX8/CHD6/CHUK/CRYGD/CYP1B1/DAPK1/ETV5/EZH2/FANCC/FOS/FOXO1/FOXO3/FZD1/GATA4/GJB2/GLRX2/GPR37/GPX2/GPX3/GPX7/GPX8/GSKIP/HIF1A/HNRNPD/HTRA2/IMPACT/KDM6B/KLF4/LANCL1/MAP1LC3A/MAP3K5/MAPK7/MAPK8/MAPK9/MGST1/MIR132/MPV17/MSRB3/NFE2L2/NME8/NOL3/NQO1/OSER1/PAWR/PAX2/PCGF2/PCNA/PDE8A/PDGFRA/PLA2R1/PPARGC1B/PRDX1/PRDX2/PRDX5/PRDX6/PRKAA1/PRKAA2/PRKCD/PRKRA/PSAP/RAD52/RHOB/SESN2/SIGMAR1/SIRPA/SIRT2/SLC25A24/SMPD3/SNCA/SOD2/SRC/STAT6/SZT2/TMEM161A/TP53INP1/TRAF2/TREX1/TSC1/TXN/TXNRD1/UCP1/VNN1/WNT1/WNT16/ZC3H12A/ZNF580/ZNF622",94
"GO:0032872","GO:0032872","regulation of stress-activated MAPK cascade","76/4508","200/14236",0.0326596917160476,0.0326596917160476,0.179541058473123,"AKT1/DKK1/DTNBP1/DUSP1/DUSP19/DUSP3/DVL2/EIF2AK2/ERN1/F2RL1/FAS/FOXO1/FZD5/FZD7/FZD8/GADD45A/GADD45B/GADD45G/HAND2/IGF1R/LEP/MAGI3/MAP2K4/MAP3K12/MAP3K13/MAP3K2/MAP3K3/MAP3K5/MAP3K6/MAP3K9/MAP4K2/MAP4K4/MAP4K5/MAPK8IP3/MARVELD3/MECOM/MEN1/MINK1/MIR181D/MLKL/NCOR1/NOD1/NOD2/PAK1/PDCD4/PRDX1/PRMT1/PYCARD/RAP2A/RASGRP1/RASSF2/RELL1/SDCBP/SEMA4C/SFRP1/SFRP2/SH3RF2/SIRPA/SPAG9/STK3/SYK/TAOK3/TGFB2/TIAM1/TLR3/TRAF2/TRAF4/TRAF6/VANGL2/WNT16/WNT5A/WNT7A/ZC3H12A/ZEB2/ZMYND11/ZNF622",76
