"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003299","GO:0003299","muscle hypertrophy in response to stress","3/450","29/14236",0.0624899249228744,0.0624899249228744,0.999998714041564,"MIR199A1/MLIP/MYH6",3
"GO:0014898","GO:0014898","cardiac muscle hypertrophy in response to stress","3/450","29/14236",0.0624899249228744,0.0624899249228744,0.999998714041564,"MIR199A1/MLIP/MYH6",3
"GO:1903242","GO:1903242","regulation of cardiac muscle hypertrophy in response to stress","2/450","16/14236",0.0893766223575537,0.0893766223575537,0.999998714041564,"MIR199A1/MLIP",2
"GO:1990169","GO:1990169","stress response to copper ion","1/450","12/14236",0.319954800312651,0.319954800312651,0.999998714041564,"MT4",1
"GO:0097501","GO:0097501","stress response to metal ion","1/450","13/14236",0.341469166163277,0.341469166163277,0.999998714041564,"MT4",1
"GO:1903202","GO:1903202","negative regulation of oxidative stress-induced cell death","2/450","42/14236",0.384929024700324,0.384929024700324,0.999998714041564,"CTNNB1/INS",2
"GO:1900408","GO:1900408","negative regulation of cellular response to oxidative stress","2/450","43/14236",0.396193524323958,0.396193524323958,0.999998714041564,"CTNNB1/INS",2
"GO:1902176","GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","1/450","16/14236",0.402022100352194,0.402022100352194,0.999998714041564,"INS",1
"GO:1903204","GO:1903204","negative regulation of oxidative stress-induced neuron death","1/450","16/14236",0.402022100352194,0.402022100352194,0.999998714041564,"CTNNB1",1
"GO:1902883","GO:1902883","negative regulation of response to oxidative stress","2/450","45/14236",0.418429847214644,0.418429847214644,0.999998714041564,"CTNNB1/INS",2
"GO:1903203","GO:1903203","regulation of oxidative stress-induced neuron death","1/450","21/14236",0.490848684911806,0.490848684911806,0.999998714041564,"CTNNB1",1
"GO:0036475","GO:0036475","neuron death in response to oxidative stress","1/450","22/14236",0.506966735688429,0.506966735688429,0.999998714041564,"CTNNB1",1
"GO:1902175","GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","1/450","22/14236",0.506966735688429,0.506966735688429,0.999998714041564,"INS",1
"GO:1903201","GO:1903201","regulation of oxidative stress-induced cell death","2/450","55/14236",0.52268239668303,0.52268239668303,0.999998714041564,"CTNNB1/INS",2
"GO:1900407","GO:1900407","regulation of cellular response to oxidative stress","2/450","63/14236",0.596585900998844,0.596585900998844,0.999998714041564,"CTNNB1/INS",2
"GO:1902882","GO:1902882","regulation of response to oxidative stress","2/450","70/14236",0.653940790561693,0.653940790561693,0.999998714041564,"CTNNB1/INS",2
"GO:0036473","GO:0036473","cell death in response to oxidative stress","2/450","71/14236",0.661581933497363,0.661581933497363,0.999998714041564,"CTNNB1/INS",2
"GO:0008631","GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress","1/450","37/14236",0.695773841355001,0.695773841355001,0.999998714041564,"INS",1
"GO:0051496","GO:0051496","positive regulation of stress fiber assembly","1/450","47/14236",0.779562735718723,0.779562735718723,0.999998714041564,"SYNPO2L",1
"GO:0034599","GO:0034599","cellular response to oxidative stress","5/450","252/14236",0.904079322005892,0.904079322005892,0.999998714041564,"CCNA2/CTNNB1/GPX5/INS/PRKD1",5
"GO:0051492","GO:0051492","regulation of stress fiber assembly","1/450","73/14236",0.904710399953779,0.904710399953779,0.999998714041564,"SYNPO2L",1
"GO:0043149","GO:0043149","stress fiber assembly","1/450","86/14236",0.937386087758013,0.937386087758013,0.999998714041564,"SYNPO2L",1
"GO:0032874","GO:0032874","positive regulation of stress-activated MAPK cascade","2/450","147/14236",0.94921137613277,0.94921137613277,0.999998714041564,"FGD2/SLAMF1",2
"GO:0070304","GO:0070304","positive regulation of stress-activated protein kinase signaling cascade","2/450","148/14236",0.950553257124475,0.950553257124475,0.999998714041564,"FGD2/SLAMF1",2
"GO:0006979","GO:0006979","response to oxidative stress","7/450","380/14236",0.958847931403319,0.958847931403319,0.999998714041564,"CCNA2/CTNNB1/GPX5/HAO1/INS/NEIL1/PRKD1",7
"GO:0062197","GO:0062197","cellular response to chemical stress","5/450","296/14236",0.959755666282431,0.959755666282431,0.999998714041564,"CCNA2/CTNNB1/GPX5/INS/PRKD1",5
"GO:0031098","GO:0031098","stress-activated protein kinase signaling cascade","4/450","266/14236",0.970872949660417,0.970872949660417,0.999998714041564,"FGD2/GFRAL/SLAMF1/TAB2",4
"GO:0051403","GO:0051403","stress-activated MAPK cascade","3/450","241/14236",0.983397936370261,0.983397936370261,0.999998714041564,"FGD2/SLAMF1/TAB2",3
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","3/450","247/14236",0.985739633240964,0.985739633240964,0.999998714041564,"CFTR/EXTL1/UBXN8",3
"GO:0032872","GO:0032872","regulation of stress-activated MAPK cascade","2/450","200/14236",0.988190429396136,0.988190429396136,0.999998714041564,"FGD2/SLAMF1",2
"GO:0070302","GO:0070302","regulation of stress-activated protein kinase signaling cascade","2/450","202/14236",0.988837995132545,0.988837995132545,0.999998714041564,"FGD2/SLAMF1",2
