"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043299","GO:0043299","leukocyte degranulation","241/5599","442/13811",1.16002625952341e-09,1.16002625952341e-09,2.4096632028975e-06,"ABR/ACLY/ADAM10/ADORA2B/AGL/AGPAT2/ALAD/ALDH3B1/ALDOA/ANPEP/ANXA2/AOC1/AP1G1/AP1M1/APRT/ARHGAP9/ARL8A/ARSA/ARSB/ATAD3B/ATG7/ATP11A/ATP11B/ATP6V0C/ATP8B4/B4GALT1/BIN2/BRI3/C5AR1/C6orf120/CALML5/CAMP/CANT1/CAPN1/CCR2/CCT8/CD300A/CD44/CD55/CD58/CD59/CD63/CD68/CD93/CDA/CEACAM3/CEACAM6/CEP290/CFD/CHI3L1/CHIT1/CLEC5A/CNN2/COMMD9/CORO1A/COTL1/CREG1/CSNK2B/CTSA/CTSB/CTSC/CTSD/CXCR1/CXCR2/CYB5R3/CYBA/CYSTM1/DBNL/DEFA4/DEGS1/DGAT1/DNAJC5/DOCK2/DOK3/DPP7/DYNLT1/EEF1A1/EEF2/ELANE/EPX/FCAR/FCER1G/FCN1/FER/FES/FOLR3/FPR1/FPR2/FTH1/FUCA1/FUCA2/GAA/GAB2/GALNS/GDI2/GM2A/GMFG/GPI/GSDMD/GSTP1/GYG1/HEBP2/HEXB/HK3/HMOX1/HMOX2/HRNR/HSP90AB1/HSPA1B/HSPA8/IDH1/IL4R/IMPDH1/IMPDH2/ITGAL/ITGAX/ITGB2/JUP/KIT/KRT1/LAMTOR1/LAMTOR2/LAMTOR3/LAT/LAT2/LCN2/LGALS3/LILRB2/LILRB3/LPCAT1/LRG1/LYZ/MAN2B1/MANBA/MAPK1/METTL7A/MGST1/MIF/MMP25/MNDA/MPO/MS4A3/MVP/NBEAL2/NDUFC2/NFKB1/NME2/NPC2/NPPA/OLR1/OSTF1/P2RX1/PADI2/PDAP1/PDXK/PFKL/PGAM1/PGM1/PIGR/PKM/PLAU/PLAUR/PRAM1/PRDX6/PRG3/PRKCD/PRTN3/PSMB1/PSMC3/PSMD12/PSMD14/PSMD6/PTAFR/PTGES2/PTPN6/PTPRB/PTPRJ/PYCARD/QPCT/RAB24/RAB27A/RAB37/RAB3A/RAB4B/RAB5B/RABGEF1/RAC1/RAP2B/RASGRP1/RHOF/RNASE3/RNASET2/S100A11/S100A12/S100A13/S100A8/S100A9/S100P/SERPINA1/SERPINB6/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SLC11A1/SLC27A2/SLC44A2/SLCO4C1/SLPI/SNAP29/SNX4/SPHK2/SRP14/STK10/STK11IP/STOM/STXBP2/SYK/SYNGR1/TARM1/TBC1D10C/TCIRG1/TCN1/TICAM2/TMBIM1/TMC6/TMEM179B/TMEM63A/TNFAIP6/TNFRSF1B/TOLLIP/TOM1/TRAPPC1/TSPAN14/TUBB/TUBB4B/UNC13D/VAMP2/VAMP8/VAT1/VCL",241
"GO:0043312","GO:0043312","neutrophil degranulation","222/5599","404/13811",2.14360672429042e-09,2.14360672429042e-09,2.4096632028975e-06,"ABR/ACLY/ADAM10/AGL/AGPAT2/ALAD/ALDH3B1/ALDOA/ANPEP/ANXA2/AOC1/AP1M1/APRT/ARHGAP9/ARL8A/ARSA/ARSB/ATAD3B/ATG7/ATP11A/ATP11B/ATP6V0C/ATP8B4/B4GALT1/BIN2/BRI3/C5AR1/C6orf120/CALML5/CAMP/CANT1/CAPN1/CCT8/CD300A/CD44/CD55/CD58/CD59/CD63/CD68/CD93/CDA/CEACAM3/CEACAM6/CEP290/CFD/CHI3L1/CHIT1/CLEC5A/CNN2/COMMD9/COTL1/CREG1/CSNK2B/CTSA/CTSB/CTSC/CTSD/CXCR1/CXCR2/CYB5R3/CYBA/CYSTM1/DBNL/DEFA4/DEGS1/DGAT1/DNAJC5/DOCK2/DOK3/DPP7/DYNLT1/EEF1A1/EEF2/ELANE/EPX/FCAR/FCER1G/FCN1/FOLR3/FPR1/FPR2/FTH1/FUCA1/FUCA2/GAA/GALNS/GDI2/GM2A/GMFG/GPI/GSDMD/GSTP1/GYG1/HEBP2/HEXB/HK3/HMOX2/HRNR/HSP90AB1/HSPA1B/HSPA8/IDH1/IMPDH1/IMPDH2/ITGAL/ITGAX/ITGB2/JUP/KRT1/LAMTOR1/LAMTOR2/LAMTOR3/LCN2/LGALS3/LILRB2/LILRB3/LPCAT1/LRG1/LYZ/MAN2B1/MANBA/MAPK1/METTL7A/MGST1/MIF/MMP25/MNDA/MPO/MS4A3/MVP/NBEAL2/NDUFC2/NFKB1/NME2/NPC2/OLR1/OSTF1/P2RX1/PADI2/PDAP1/PDXK/PFKL/PGAM1/PGM1/PIGR/PKM/PLAU/PLAUR/PRAM1/PRDX6/PRG3/PRKCD/PRTN3/PSMB1/PSMC3/PSMD12/PSMD14/PSMD6/PTAFR/PTGES2/PTPN6/PTPRB/PTPRJ/PYCARD/QPCT/RAB24/RAB27A/RAB37/RAB3A/RAB4B/RAB5B/RAC1/RAP2B/RHOF/RNASE3/RNASET2/S100A11/S100A12/S100A8/S100A9/S100P/SERPINA1/SERPINB6/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SLC11A1/SLC27A2/SLC44A2/SLCO4C1/SLPI/SNAP29/SRP14/STK10/STK11IP/STOM/STXBP2/SYK/SYNGR1/TARM1/TBC1D10C/TCIRG1/TCN1/TICAM2/TMBIM1/TMC6/TMEM179B/TMEM63A/TNFAIP6/TNFRSF1B/TOLLIP/TOM1/TRAPPC1/TSPAN14/TUBB/TUBB4B/UNC13D/VAMP8/VAT1/VCL",222
"GO:0036230","GO:0036230","granulocyte activation","229/5599","419/13811",2.28201461753041e-09,2.28201461753041e-09,2.4096632028975e-06,"ABR/ACLY/ADAM10/AGL/AGPAT2/ALAD/ALDH3B1/ALDOA/ANPEP/ANXA2/AOC1/AP1M1/APRT/ARHGAP9/ARL8A/ARSA/ARSB/ATAD3B/ATG7/ATP11A/ATP11B/ATP6V0C/ATP8B4/B4GALT1/BIN2/BRI3/C5AR1/C6orf120/CALML5/CAMP/CANT1/CAPN1/CCL5/CCR2/CCT8/CD300A/CD44/CD55/CD58/CD59/CD63/CD68/CD93/CDA/CEACAM3/CEACAM6/CEP290/CFD/CHI3L1/CHIT1/CLEC5A/CNN2/COMMD9/COTL1/CREG1/CSNK2B/CTSA/CTSB/CTSC/CTSD/CXCL6/CXCR1/CXCR2/CYB5R3/CYBA/CYSTM1/DBNL/DEFA4/DEGS1/DGAT1/DNAJC5/DNASE1L3/DOCK2/DOK3/DPP7/DYNLT1/EEF1A1/EEF2/ELANE/EPX/FCAR/FCER1G/FCN1/FOLR3/FPR1/FPR2/FTH1/FUCA1/FUCA2/GAA/GALNS/GDI2/GM2A/GMFG/GPI/GSDMD/GSTP1/GYG1/HEBP2/HEXB/HK3/HMOX2/HRNR/HSP90AB1/HSPA1B/HSPA8/IDH1/IL18RAP/IMPDH1/IMPDH2/ITGAL/ITGAX/ITGB2/JUP/KRT1/LAMTOR1/LAMTOR2/LAMTOR3/LCN2/LGALS3/LILRB2/LILRB3/LPCAT1/LRG1/LYZ/MAN2B1/MANBA/MAPK1/METTL7A/MGST1/MIF/MMP25/MNDA/MPO/MS4A3/MVP/NBEAL2/NDUFC2/NFKB1/NME2/NPC2/OLR1/OSTF1/P2RX1/PADI2/PDAP1/PDXK/PFKL/PGAM1/PGM1/PIGR/PKM/PLAU/PLAUR/PRAM1/PRDX6/PREX1/PRG3/PRKCD/PRTN3/PSMB1/PSMC3/PSMD12/PSMD14/PSMD6/PTAFR/PTGES2/PTPN6/PTPRB/PTPRJ/PYCARD/QPCT/RAB24/RAB27A/RAB37/RAB3A/RAB4B/RAB5B/RAC1/RAP2B/RHOF/RNASE3/RNASET2/S100A11/S100A12/S100A8/S100A9/S100P/SERPINA1/SERPINB6/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SLC11A1/SLC27A2/SLC44A2/SLCO4C1/SLPI/SNAP29/SRP14/STK10/STK11IP/STOM/STXBP2/SYK/SYNGR1/TARM1/TBC1D10C/TCIRG1/TCN1/TICAM2/TMBIM1/TMC6/TMEM179B/TMEM63A/TNFAIP6/TNFRSF1B/TOLLIP/TOM1/TRAPPC1/TSPAN14/TUBB/TUBB4B/UNC13D/VAMP2/VAMP8/VAT1/VCL",229
"GO:0002275","GO:0002275","myeloid cell activation involved in immune response","244/5599","451/13811",2.39809406093228e-09,2.39809406093228e-09,2.4096632028975e-06,"ABR/ACLY/ADAM10/ADORA2B/AGL/AGPAT2/ALAD/ALDH3B1/ALDOA/ANPEP/ANXA2/AOC1/AP1M1/APRT/ARHGAP9/ARL8A/ARSA/ARSB/ATAD3B/ATG7/ATP11A/ATP11B/ATP6V0C/ATP8B4/B4GALT1/BIN2/BRI3/C5AR1/C6orf120/CALML5/CAMP/CANT1/CAPN1/CCR2/CCT8/CD300A/CD44/CD55/CD58/CD59/CD63/CD68/CD93/CDA/CEACAM3/CEACAM6/CEP290/CFD/CHI3L1/CHIT1/CLEC5A/CNN2/COMMD9/COTL1/CREG1/CSNK2B/CTSA/CTSB/CTSC/CTSD/CXCR1/CXCR2/CYB5R3/CYBA/CYSTM1/DBNL/DEFA4/DEGS1/DGAT1/DNAJC5/DNASE1L3/DOCK2/DOK3/DPP7/DYNLT1/EEF1A1/EEF2/ELANE/EPX/FCAR/FCER1G/FCN1/FER/FES/FOLR3/FPR1/FPR2/FTH1/FUCA1/FUCA2/GAA/GAB2/GALNS/GDI2/GM2A/GMFG/GPI/GSDMD/GSTP1/GYG1/HEBP2/HEXB/HK3/HMOX1/HMOX2/HRNR/HSP90AB1/HSPA1B/HSPA8/IDH1/IL4R/IMPDH1/IMPDH2/ITGAL/ITGAX/ITGB2/JUP/KIT/KRT1/LAMTOR1/LAMTOR2/LAMTOR3/LAT/LAT2/LCN2/LGALS3/LILRB2/LILRB3/LPCAT1/LRG1/LYZ/MAN2B1/MANBA/MAPK1/METTL7A/MGST1/MIF/MMP25/MNDA/MPO/MS4A3/MVP/NBEAL2/NDUFC2/NFKB1/NME2/NPC2/NPPA/OLR1/OSTF1/P2RX1/PADI2/PDAP1/PDXK/PFKL/PGAM1/PGM1/PIGR/PKM/PLAU/PLAUR/PRAM1/PRDX6/PRG3/PRKCD/PRTN3/PSMB1/PSMC3/PSMD12/PSMD14/PSMD6/PTAFR/PTGES2/PTPN6/PTPRB/PTPRJ/PYCARD/QPCT/RAB24/RAB27A/RAB37/RAB3A/RAB4B/RAB5B/RABGEF1/RAC1/RAP2B/RASGRP1/RHOF/RNASE3/RNASET2/S100A11/S100A12/S100A13/S100A8/S100A9/S100P/SBNO2/SERPINA1/SERPINB6/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SLAMF1/SLC11A1/SLC27A2/SLC44A2/SLCO4C1/SLPI/SNAP29/SNX4/SPHK2/SRP14/STK10/STK11IP/STOM/STXBP2/SYK/SYNGR1/TARM1/TBC1D10C/TCIRG1/TCN1/TICAM2/TMBIM1/TMC6/TMEM179B/TMEM63A/TNFAIP6/TNFRSF1B/TOLLIP/TOM1/TRAPPC1/TREM2/TREX1/TSPAN14/TUBB/TUBB4B/UNC13D/VAMP2/VAMP8/VAT1/VCL",244
"GO:0042119","GO:0042119","neutrophil activation","227/5599","415/13811",2.43521699086607e-09,2.43521699086607e-09,2.4096632028975e-06,"ABR/ACLY/ADAM10/AGL/AGPAT2/ALAD/ALDH3B1/ALDOA/ANPEP/ANXA2/AOC1/AP1M1/APRT/ARHGAP9/ARL8A/ARSA/ARSB/ATAD3B/ATG7/ATP11A/ATP11B/ATP6V0C/ATP8B4/B4GALT1/BIN2/BRI3/C5AR1/C6orf120/CALML5/CAMP/CANT1/CAPN1/CCL5/CCT8/CD300A/CD44/CD55/CD58/CD59/CD63/CD68/CD93/CDA/CEACAM3/CEACAM6/CEP290/CFD/CHI3L1/CHIT1/CLEC5A/CNN2/COMMD9/COTL1/CREG1/CSNK2B/CTSA/CTSB/CTSC/CTSD/CXCL6/CXCR1/CXCR2/CYB5R3/CYBA/CYSTM1/DBNL/DEFA4/DEGS1/DGAT1/DNAJC5/DNASE1L3/DOCK2/DOK3/DPP7/DYNLT1/EEF1A1/EEF2/ELANE/EPX/FCAR/FCER1G/FCN1/FOLR3/FPR1/FPR2/FTH1/FUCA1/FUCA2/GAA/GALNS/GDI2/GM2A/GMFG/GPI/GSDMD/GSTP1/GYG1/HEBP2/HEXB/HK3/HMOX2/HRNR/HSP90AB1/HSPA1B/HSPA8/IDH1/IL18RAP/IMPDH1/IMPDH2/ITGAL/ITGAX/ITGB2/JUP/KRT1/LAMTOR1/LAMTOR2/LAMTOR3/LCN2/LGALS3/LILRB2/LILRB3/LPCAT1/LRG1/LYZ/MAN2B1/MANBA/MAPK1/METTL7A/MGST1/MIF/MMP25/MNDA/MPO/MS4A3/MVP/NBEAL2/NDUFC2/NFKB1/NME2/NPC2/OLR1/OSTF1/P2RX1/PADI2/PDAP1/PDXK/PFKL/PGAM1/PGM1/PIGR/PKM/PLAU/PLAUR/PRAM1/PRDX6/PREX1/PRG3/PRKCD/PRTN3/PSMB1/PSMC3/PSMD12/PSMD14/PSMD6/PTAFR/PTGES2/PTPN6/PTPRB/PTPRJ/PYCARD/QPCT/RAB24/RAB27A/RAB37/RAB3A/RAB4B/RAB5B/RAC1/RAP2B/RHOF/RNASE3/RNASET2/S100A11/S100A12/S100A8/S100A9/S100P/SERPINA1/SERPINB6/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SLC11A1/SLC27A2/SLC44A2/SLCO4C1/SLPI/SNAP29/SRP14/STK10/STK11IP/STOM/STXBP2/SYK/SYNGR1/TARM1/TBC1D10C/TCIRG1/TCN1/TICAM2/TMBIM1/TMC6/TMEM179B/TMEM63A/TNFAIP6/TNFRSF1B/TOLLIP/TOM1/TRAPPC1/TSPAN14/TUBB/TUBB4B/UNC13D/VAMP8/VAT1/VCL",227
"GO:0002283","GO:0002283","neutrophil activation involved in immune response","223/5599","407/13811",2.76998803205678e-09,2.76998803205678e-09,2.4096632028975e-06,"ABR/ACLY/ADAM10/AGL/AGPAT2/ALAD/ALDH3B1/ALDOA/ANPEP/ANXA2/AOC1/AP1M1/APRT/ARHGAP9/ARL8A/ARSA/ARSB/ATAD3B/ATG7/ATP11A/ATP11B/ATP6V0C/ATP8B4/B4GALT1/BIN2/BRI3/C5AR1/C6orf120/CALML5/CAMP/CANT1/CAPN1/CCT8/CD300A/CD44/CD55/CD58/CD59/CD63/CD68/CD93/CDA/CEACAM3/CEACAM6/CEP290/CFD/CHI3L1/CHIT1/CLEC5A/CNN2/COMMD9/COTL1/CREG1/CSNK2B/CTSA/CTSB/CTSC/CTSD/CXCR1/CXCR2/CYB5R3/CYBA/CYSTM1/DBNL/DEFA4/DEGS1/DGAT1/DNAJC5/DNASE1L3/DOCK2/DOK3/DPP7/DYNLT1/EEF1A1/EEF2/ELANE/EPX/FCAR/FCER1G/FCN1/FOLR3/FPR1/FPR2/FTH1/FUCA1/FUCA2/GAA/GALNS/GDI2/GM2A/GMFG/GPI/GSDMD/GSTP1/GYG1/HEBP2/HEXB/HK3/HMOX2/HRNR/HSP90AB1/HSPA1B/HSPA8/IDH1/IMPDH1/IMPDH2/ITGAL/ITGAX/ITGB2/JUP/KRT1/LAMTOR1/LAMTOR2/LAMTOR3/LCN2/LGALS3/LILRB2/LILRB3/LPCAT1/LRG1/LYZ/MAN2B1/MANBA/MAPK1/METTL7A/MGST1/MIF/MMP25/MNDA/MPO/MS4A3/MVP/NBEAL2/NDUFC2/NFKB1/NME2/NPC2/OLR1/OSTF1/P2RX1/PADI2/PDAP1/PDXK/PFKL/PGAM1/PGM1/PIGR/PKM/PLAU/PLAUR/PRAM1/PRDX6/PRG3/PRKCD/PRTN3/PSMB1/PSMC3/PSMD12/PSMD14/PSMD6/PTAFR/PTGES2/PTPN6/PTPRB/PTPRJ/PYCARD/QPCT/RAB24/RAB27A/RAB37/RAB3A/RAB4B/RAB5B/RAC1/RAP2B/RHOF/RNASE3/RNASET2/S100A11/S100A12/S100A8/S100A9/S100P/SERPINA1/SERPINB6/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SLC11A1/SLC27A2/SLC44A2/SLCO4C1/SLPI/SNAP29/SRP14/STK10/STK11IP/STOM/STXBP2/SYK/SYNGR1/TARM1/TBC1D10C/TCIRG1/TCN1/TICAM2/TMBIM1/TMC6/TMEM179B/TMEM63A/TNFAIP6/TNFRSF1B/TOLLIP/TOM1/TRAPPC1/TSPAN14/TUBB/TUBB4B/UNC13D/VAMP8/VAT1/VCL",223
"GO:0002446","GO:0002446","neutrophil mediated immunity","228/5599","418/13811",3.12668493644261e-09,3.12668493644261e-09,2.4096632028975e-06,"ABR/ACE/ACLY/ADAM10/ADAM17/AGL/AGPAT2/ALAD/ALDH3B1/ALDOA/ANPEP/ANXA2/AOC1/AP1M1/APRT/ARHGAP9/ARL8A/ARSA/ARSB/ATAD3B/ATG7/ATP11A/ATP11B/ATP6V0C/ATP8B4/B4GALT1/BIN2/BRI3/C5AR1/C6orf120/CALML5/CAMP/CANT1/CAPN1/CCT8/CD300A/CD44/CD55/CD58/CD59/CD63/CD68/CD93/CDA/CEACAM3/CEACAM6/CEP290/CFD/CHI3L1/CHIT1/CLEC5A/CNN2/COMMD9/COTL1/CREG1/CSNK2B/CTSA/CTSB/CTSC/CTSD/CXCL6/CXCR1/CXCR2/CYB5R3/CYBA/CYSTM1/DBNL/DEFA4/DEGS1/DGAT1/DNAJC5/DNASE1L3/DOCK2/DOK3/DPP7/DYNLT1/EEF1A1/EEF2/ELANE/EPX/FCAR/FCER1G/FCN1/FOLR3/FPR1/FPR2/FTH1/FUCA1/FUCA2/GAA/GALNS/GDI2/GM2A/GMFG/GPI/GSDMD/GSTP1/GYG1/HEBP2/HEXB/HK3/HMOX2/HRNR/HSP90AB1/HSPA1B/HSPA8/IDH1/IMPDH1/IMPDH2/ITGAL/ITGAX/ITGB2/JAGN1/JUP/KRT1/LAMTOR1/LAMTOR2/LAMTOR3/LCN2/LGALS3/LILRB2/LILRB3/LPCAT1/LRG1/LYZ/MAN2B1/MANBA/MAPK1/METTL7A/MGST1/MIF/MMP25/MNDA/MPO/MS4A3/MVP/NBEAL2/NDUFC2/NFKB1/NME2/NPC2/OLR1/OSTF1/P2RX1/PADI2/PDAP1/PDXK/PFKL/PGAM1/PGM1/PIGR/PKM/PLAU/PLAUR/PRAM1/PRDX6/PRG3/PRKCD/PRTN3/PSMB1/PSMC3/PSMD12/PSMD14/PSMD6/PTAFR/PTGES2/PTPN6/PTPRB/PTPRJ/PYCARD/QPCT/RAB24/RAB27A/RAB37/RAB3A/RAB4B/RAB5B/RAC1/RAP2B/RHOF/RNASE3/RNASET2/S100A11/S100A12/S100A8/S100A9/S100P/SERPINA1/SERPINB6/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SLC11A1/SLC27A2/SLC44A2/SLCO4C1/SLPI/SNAP29/SRP14/STK10/STK11IP/STOM/STXBP2/SYK/SYNGR1/TARM1/TBC1D10C/TCIRG1/TCN1/TICAM2/TMBIM1/TMC6/TMEM179B/TMEM63A/TNFAIP6/TNFRSF1B/TOLLIP/TOM1/TRAPPC1/TSPAN14/TUBB/TUBB4B/UNC13D/VAMP8/VAT1/VCL/WDR1",228
"GO:0002444","GO:0002444","myeloid leukocyte mediated immunity","247/5599","459/13811",3.69101015512864e-09,3.69101015512864e-09,2.48900355855714e-06,"ABR/ACE/ACLY/ADAM10/ADAM17/ADORA2B/AGL/AGPAT2/ALAD/ALDH3B1/ALDOA/ANPEP/ANXA2/AOC1/AP1M1/APRT/ARHGAP9/ARL8A/ARSA/ARSB/ATAD3B/ATG7/ATP11A/ATP11B/ATP6V0C/ATP8B4/B4GALT1/BIN2/BRI3/C5AR1/C6orf120/CALML5/CAMP/CANT1/CAPN1/CCR2/CCT8/CD300A/CD44/CD55/CD58/CD59/CD63/CD68/CD93/CDA/CEACAM3/CEACAM6/CEP290/CFD/CHI3L1/CHIT1/CLEC5A/CNN2/COMMD9/COTL1/CREG1/CSNK2B/CTSA/CTSB/CTSC/CTSD/CXCL6/CXCR1/CXCR2/CYB5R3/CYBA/CYSTM1/DBNL/DDX58/DEFA4/DEGS1/DGAT1/DNAJC5/DNASE1L3/DOCK2/DOK3/DPP7/DYNLT1/EEF1A1/EEF2/ELANE/EPX/FCAR/FCER1G/FCN1/FER/FES/FOLR3/FPR1/FPR2/FTH1/FUCA1/FUCA2/GAA/GAB2/GALNS/GDI2/GM2A/GMFG/GPI/GSDMD/GSTP1/GYG1/HEBP2/HEXB/HK3/HMOX1/HMOX2/HRNR/HSP90AB1/HSPA1B/HSPA8/IDH1/IL4R/IMPDH1/IMPDH2/ITGAL/ITGAX/ITGB2/JAGN1/JUP/KIT/KRT1/LAMTOR1/LAMTOR2/LAMTOR3/LAT/LAT2/LCN2/LGALS3/LILRB2/LILRB3/LPCAT1/LRG1/LYZ/MAN2B1/MANBA/MAPK1/METTL7A/MGST1/MIF/MMP25/MNDA/MPO/MS4A3/MVP/NBEAL2/NDUFC2/NFKB1/NME2/NPC2/NPPA/OLR1/OSTF1/P2RX1/PADI2/PDAP1/PDXK/PFKL/PGAM1/PGM1/PIGR/PKM/PLAU/PLAUR/PRAM1/PRDX6/PRG3/PRKCD/PRTN3/PSMB1/PSMC3/PSMD12/PSMD14/PSMD6/PTAFR/PTGES2/PTPN6/PTPRB/PTPRJ/PYCARD/QPCT/RAB24/RAB27A/RAB37/RAB3A/RAB4B/RAB5B/RABGEF1/RAC1/RAP2B/RASGRP1/RHOF/RNASE3/RNASET2/S100A11/S100A12/S100A13/S100A8/S100A9/S100P/SERPINA1/SERPINB6/SIGLEC14/SIGLEC5/SIGLEC9/SIRPA/SLC11A1/SLC27A2/SLC44A2/SLCO4C1/SLPI/SNAP29/SNX4/SPHK2/SRP14/STAP1/STK10/STK11IP/STOM/STXBP2/SYK/SYNGR1/TARM1/TBC1D10C/TCIRG1/TCN1/TICAM2/TMBIM1/TMC6/TMEM179B/TMEM63A/TNFAIP6/TNFRSF1B/TOLLIP/TOM1/TRAPPC1/TSPAN14/TUBB/TUBB4B/UNC13D/VAMP2/VAMP8/VAT1/VCL/WDR1",247
"GO:0002250","GO:0002250","adaptive immune response","182/5599","330/13811",4.2302982336165e-08,4.2302982336165e-08,2.53570508155375e-05,"ADAM17/ADCY7/AGER/AIRE/ATAD5/BATF/BTLA/BTN3A2/C17orf99/C1QA/C1QB/C1QBP/C1QC/C1R/C1RL/C2/C4B/C4BPB/C8G/CCR2/CCR6/CD19/CD1C/CD1E/CD209/CD226/CD247/CD27/CD3D/CD3E/CD3G/CD4/CD40/CD46/CD48/CD55/CD6/CD7/CD74/CD79A/CD86/CFI/CLC/CLCF1/CLEC10A/CLU/CR2/CSK/CTLA4/CTSC/DBNL/DENND1B/DLG1/DUSP10/EBI3/EIF2AK4/ERAP1/EXOSC6/FAM49B/FCAMR/FCER1G/FCER2/FGA/FGB/FZD5/GNL1/GZMM/HFE/HLA-B/HLA-C/HLA-DMB/HLA-DOB/HLA-DRA/HLX/HMHB1/HRAS/HSPD1/ICAM1/IFNA8/IGLL1/IL10/IL12B/IL12RB1/IL18BP/IL18RAP/IL23A/IL23R/IL27/IL4R/IL6R/INPP5D/JAK3/KDELR1/LAG3/LAMP3/LAT/LAT2/LAX1/LILRA6/LILRB2/LILRB3/LILRB5/LIME1/LOXL3/LTA/LY9/MALT1/MBL2/MEF2C/MICA/MICB/MIR21/MLH1/MSH2/MSH6/NFKBID/OTUB1/P2RX7/PAG1/PARP3/PAXIP1/PDCD1LG2/POU2F2/PRDM1/PRF1/PRKCB/PRKCD/PRR7/PTK2B/PTPN6/PVR/PYCARD/RAB27A/RAG1/RC3H1/RELB/RIPK3/RORC/RSAD2/SEMA4A/SH2D1B/SIT1/SLA2/SLAMF1/SLAMF6/SLAMF7/SLC11A1/SMAD7/SPN/STX7/SWAP70/SYK/TAP1/TAP2/TARM1/TBX21/TCIRG1/TEC/TFEB/TFRC/TGFB1/TNF/TNFRSF11A/TNFRSF13C/TNFRSF14/TNFRSF17/TNFRSF1B/TNFSF13/TP53BP1/TRAF2/TRAF6/TREX1/TRIM27/TSC1/TSTA3/UNC13D/UNC93B1/ZAP70/ZBTB1/ZBTB7B/ZC3H12A/ZNF683",182
"GO:0002697","GO:0002697","regulation of immune effector process","176/5599","324/13811",2.82782141301316e-07,2.82782141301316e-07,0.000152553523596763,"A2M/ABR/ADORA2B/AGER/AP1G1/APOA2/APPL1/APPL2/ARRB2/ATAD5/BIRC2/C17orf99/C1QA/C1QB/C1QBP/C1QC/C1R/C2/C4B/C4BPB/C5AR1/C5AR2/C8G/CCR2/CD19/CD1C/CD1E/CD226/CD300A/CD40/CD46/CD55/CD59/CD74/CD86/CD96/CFB/CFI/CLC/CLCF1/CLU/CPB2/CR2/CRK/CRTAM/CUEDC2/CXCL6/DDX58/DHX58/DHX9/DNASE1L3/DUSP10/EIF2AK4/ELMOD2/EXOSC6/FAM49B/FCER1G/FCER2/FER/FES/FFAR2/FFAR3/FZD5/GAB2/GPATCH3/GPI/HFE/HK1/HLA-B/HLA-C/HLA-DMB/HLX/HMOX1/HSPD1/ICAM1/IFNL1/IL10/IL12B/IL12RB1/IL18RAP/IL23A/IL23R/IL27/IL2RA/IL4R/IL5/INS/ITCH/ITGB2/JAK3/LAG3/LEP/LGALS3/LOXL3/LTA/MALT1/MICA/MICB/MIF/MIR21/MLH1/MSH2/MYB/MYO18A/MZB1/NCR1/NCR3/NFKBID/NLRX1/NOD2/NOS2/NPLOC4/NPPA/P2RX7/PARP3/PAXIP1/PGC/PGLYRP4/PRAM1/PRKDC/PROS1/PTAFR/PTPN6/PTPRJ/PVR/PYCARD/RABGEF1/RARA/RASGRP1/RC3H1/RIPK3/RNF216/RNF26/RPS19/RSAD2/SEMA7A/SH2D1B/SLAMF6/SLAMF8/SMAD7/SNX4/SPHK2/STAP1/STX7/STXBP2/SYK/TARBP2/TBX21/TFRC/TGFB1/TGFB3/TLR9/TMBIM6/TNF/TNFRSF14/TNFRSF1B/TNFRSF4/TNFSF13/TP53BP1/TRAF2/TRAF3/TRAF6/TREX1/TRIM15/TRIM38/TRIM44/TSPAN32/UNC13D/VAMP8/VAV1/XBP1/ZBTB1/ZBTB7B/ZC3H12A/ZCCHC3/ZNF683",176
