"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007389","GO:0007389","pattern specification process","43/352","382/13811",1.66383354246375e-16,1.66383354246375e-16,4.70076760839232e-13,"ALX1/ASCL1/AXIN2/CYP26B1/DBX1/DKK1/EMX2/FEZF1/FEZF2/FGF10/FOXF1/GBX2/GREM2/HOXA11/HOXA9/HOXC11/HOXC13/HOXC5/HOXC6/HOXC9/HOXD12/HOXD13/IFT57/IHH/IRX4/MAFB/MSX2/MYF5/PAX1/PAX6/PAX7/RELN/RFX4/ROBO1/SFRP1/SOX1/SOX17/TBX20/TBX3/TBX5/WNT2/WNT7A/ZIC1",43
"GO:0003002","GO:0003002","regionalization","38/352","308/13811",5.25917154495964e-16,5.25917154495964e-16,7.4292718035114e-13,"ALX1/ASCL1/AXIN2/CYP26B1/DBX1/DKK1/EMX2/FEZF1/FEZF2/FGF10/FOXF1/GBX2/GREM2/HOXA11/HOXA9/HOXC11/HOXC13/HOXC5/HOXC6/HOXC9/HOXD13/IFT57/MAFB/MSX2/MYF5/PAX1/PAX6/PAX7/RELN/RFX4/ROBO1/SFRP1/SOX1/SOX17/TBX20/TBX3/WNT2/WNT7A",38
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","23/352","145/13811",2.01987079393344e-12,2.01987079393344e-12,1.90222217926925e-09,"CADM1/CDH11/CDH13/CDH2/CDH7/CDH8/DCHS2/DSC3/FAT1/IGSF21/IGSF9B/PCDH15/PCDH17/PCDH9/PCDHA3/PCDHAC2/PCDHB15/PCDHB16/PCDHB2/PCDHB3/PCDHGA1/PTPRT/ROBO1",23
"GO:0045165","GO:0045165","cell fate commitment","29/352","242/13811",3.77430584777367e-12,3.77430584777367e-12,2.6658518145854e-09,"ASCL1/CYP26B1/DBX1/DKK1/EBF2/EYA2/FEZF2/FGF10/GAP43/HOXA11/IHH/MYF5/MYOD1/PAX6/PAX7/PDPN/PRRX1/PTF1A/SFRP1/SOX1/SOX17/SOX2/SOX9/TBX20/TBX3/TBX5/WNT2/WNT7A/ZNF521",29
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","27/352","228/13811",2.84023504912193e-11,2.84023504912193e-11,1.60488228880911e-08,"CADM1/CBLN1/CDH11/CDH13/CDH2/CDH7/CDH8/DCHS2/DSC3/FAT1/IGSF21/IGSF9B/LRFN5/LRRC4C/PCDH15/PCDH17/PCDH9/PCDHA3/PCDHAC2/PCDHB15/PCDHB16/PCDHB2/PCDHB3/PCDHGA1/PTPRT/ROBO1/SLITRK3",27
"GO:0009952","GO:0009952","anterior/posterior pattern specification","24/352","195/13811",1.65641789160035e-10,1.65641789160035e-10,7.79969407202692e-08,"ALX1/AXIN2/DKK1/EMX2/FEZF1/FEZF2/FOXF1/GBX2/HOXA11/HOXA9/HOXC11/HOXC13/HOXC5/HOXC6/HOXC9/HOXD13/MSX2/MYF5/PAX1/PAX6/SFRP1/SOX17/TBX3/WNT2",24
"GO:0021953","GO:0021953","central nervous system neuron differentiation","21/352","161/13811",8.07241605292441e-10,8.07241605292441e-10,3.25809995278934e-07,"ASCL1/CBLN1/CDH11/DBX1/DKK1/DLX5/DRD1/FEZF2/GBX2/LHX5/LMX1A/NFIB/PAX6/PAX7/ROBO1/SFRP1/SLIT2/SOX1/TBX20/WNT2/WNT7A",21
"GO:0048562","GO:0048562","embryonic organ morphogenesis","26/352","255/13811",1.79940927868254e-09,1.79940927868254e-09,6.07415199125266e-07,"ALX1/DLX5/EFEMP1/FGF10/FOXF1/FOXF2/FRZB/GBX2/HOXA11/HOXC11/HOXC9/IFT57/IHH/LRIG3/MAFB/MYF5/MYO3A/PAX6/PRRX1/SOX17/SOX9/TBX20/TBX3/TCF21/YAP1/ZIC1",26
"GO:0050808","GO:0050808","synapse organization","30/352","333/13811",1.93494782135657e-09,1.93494782135657e-09,6.07415199125266e-07,"CBLN1/CDH2/CDH8/COL4A1/CTNNA2/DKK1/DRD1/ERC2/GABRA1/GAP43/IGSF21/IGSF9B/ITSN1/LMX1A/LRFN5/LRRC4B/LRRC4C/LRRTM1/MAGI2/PCDH17/PCDHB16/PCDHB2/PCDHB3/PDZRN3/RELN/SHISA6/SLITRK3/SYBU/TMEM108/WNT7A",30
"GO:0035107","GO:0035107","appendage morphogenesis","18/352","131/13811",5.76599658161839e-09,5.76599658161839e-09,1.48095070096304e-06,"ALX1/CYP26B1/DKK1/DLX5/FGF10/HOXA11/HOXA9/HOXC11/HOXD12/HOXD13/IHH/MSX2/PRRX1/SOX9/TBX3/TBX5/TFAP2B/WNT7A",18
"GO:0035108","GO:0035108","limb morphogenesis","18/352","131/13811",5.76599658161839e-09,5.76599658161839e-09,1.48095070096304e-06,"ALX1/CYP26B1/DKK1/DLX5/FGF10/HOXA11/HOXA9/HOXC11/HOXD12/HOXD13/IHH/MSX2/PRRX1/SOX9/TBX3/TBX5/TFAP2B/WNT7A",18
"GO:0048736","GO:0048736","appendage development","19/352","156/13811",1.65153772502552e-08,1.65153772502552e-08,3.43880280866663e-06,"ALX1/CYP26B1/DKK1/DLX5/FGF10/HOXA11/HOXA9/HOXC11/HOXC13/HOXD12/HOXD13/IHH/MSX2/PRRX1/SOX9/TBX3/TBX5/TFAP2B/WNT7A",19
"GO:0060173","GO:0060173","limb development","19/352","156/13811",1.65153772502552e-08,1.65153772502552e-08,3.43880280866663e-06,"ALX1/CYP26B1/DKK1/DLX5/FGF10/HOXA11/HOXA9/HOXC11/HOXC13/HOXD12/HOXD13/IHH/MSX2/PRRX1/SOX9/TBX3/TBX5/TFAP2B/WNT7A",19
"GO:0030900","GO:0030900","forebrain development","28/352","324/13811",1.70402672709636e-08,1.70402672709636e-08,3.43880280866663e-06,"ASCL1/CDH2/CRTAC1/DKK1/DLX5/DRD1/EGFR/EMX2/FEZF1/FEZF2/FGF10/GBX2/GSK3B/LHX5/LMX1A/NFIB/PAX6/RELN/RFX4/ROBO1/SLC6A3/SLIT2/SOX1/SOX2/SSTR1/TBX3/TMEM108/WNT7A",28
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","16/352","111/13811",2.04275129303105e-08,2.04275129303105e-08,3.84753997929498e-06,"CBLN1/FGF14/GABRA1/GABRA5/GABRA6/GLRA1/GLRA3/GRIK3/GRIN2A/GRIN3A/GSK3B/IGSF9B/NETO1/RELN/TMEM108/WNT7A",16
"GO:0001708","GO:0001708","cell fate specification","14/352","90/13811",5.90896978099329e-08,5.90896978099329e-08,1.0433996639596e-05,"ASCL1/DBX1/DKK1/EYA2/HOXA11/IHH/PAX6/SOX1/SOX17/SOX2/SOX9/TBX20/TBX3/TBX5",14
"GO:0090596","GO:0090596","sensory organ morphogenesis","22/352","224/13811",6.48182620212056e-08,6.48182620212056e-08,1.07722733910165e-05,"CYP26B1/DLX5/EFEMP1/FAT1/FGF10/FOXF2/FRZB/GBX2/HCN1/HOXC13/IHH/LRIG3/MAFB/MYO3A/PAX6/PRRX1/PTF1A/SOX1/SOX9/TFAP2B/WNT2/ZIC1",22
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","29/352","371/13811",8.54687864201278e-08,8.54687864201278e-08,1.3415100745709e-05,"CBLN1/CDH11/CDH2/DKK1/DRD1/EGFR/FGF14/GRIK3/GRIN2A/GRIN3A/GRM3/GSK3B/HTR1B/IGSF9B/LAMA2/LRRC4C/LRRTM1/NETO1/NPY5R/NTF3/PCDH17/RELN/SCGN/SHISA6/SORCS3/SYBU/TAC1/TMEM108/WNT7A",29
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","29/352","372/13811",9.05694596019354e-08,9.05694596019354e-08,1.3467503023357e-05,"CBLN1/CDH11/CDH2/DKK1/DRD1/EGFR/FGF14/GRIK3/GRIN2A/GRIN3A/GRM3/GSK3B/HTR1B/IGSF9B/LAMA2/LRRC4C/LRRTM1/NETO1/NPY5R/NTF3/PCDH17/RELN/SCGN/SHISA6/SORCS3/SYBU/TAC1/TMEM108/WNT7A",29
