"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903242","GO:1903242","regulation of cardiac muscle hypertrophy in response to stress","5/1348","16/14277",0.0134146784538599,0.0134146784538599,0.787289706575209,"MIR199A1/MIR25/MIR34B/MIR34C/SMAD3",5
"GO:0034063","GO:0034063","stress granule assembly","5/1348","18/14277",0.0224621298883177,0.0224621298883177,0.859933171185384,"BICD1/GRB7/MAPT/RPS23/STYXL1",5
"GO:0070059","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","8/1348","53/14277",0.122849772574756,0.122849772574756,0.985613530348603,"BAK1/BBC3/BOK/BRSK2/HSPA1A/OPA1/PML/TXNDC12",8
"GO:0003299","GO:0003299","muscle hypertrophy in response to stress","5/1348","29/14277",0.132813453756784,0.132813453756784,0.985613530348603,"MIR199A1/MIR25/MIR34B/MIR34C/SMAD3",5
"GO:0014898","GO:0014898","cardiac muscle hypertrophy in response to stress","5/1348","29/14277",0.132813453756784,0.132813453756784,0.985613530348603,"MIR199A1/MIR25/MIR34B/MIR34C/SMAD3",5
"GO:0006979","GO:0006979","response to oxidative stress","42/1348","380/14277",0.158568696884146,0.158568696884146,0.985613530348603,"ANKRD2/ARL6IP5/BAK1/CCL19/CCS/CD38/CDK2/CFLAR/ERCC2/FABP1/FOSL1/GCLC/GPR37L1/GSTP1/HMOX1/HMOX2/HSPA1A/HYAL2/KCNC2/KLF2/MAPT/MCTP1/MIR103A2/MIR133A2/MTF1/MYEF2/NDUFS8/NEIL1/NUDT1/NUDT2/OXSR1/PCGF2/PDE8A/PDK2/PLK3/PML/PNKP/PSEN1/PYCR2/SNCA/UCP1/WNT16",42
"GO:1902236","GO:1902236","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","3/1348","16/14277",0.187220155761235,0.187220155761235,0.985613530348603,"HSPA1A/OPA1/TXNDC12",3
"GO:1902235","GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","4/1348","28/14277",0.269263951105218,0.269263951105218,0.985613530348603,"BOK/HSPA1A/OPA1/TXNDC12",4
"GO:0043619","GO:0043619","regulation of transcription from RNA polymerase II promoter in response to oxidative stress","2/1348","11/14277",0.278858737890238,0.278858737890238,0.985613530348603,"ANKRD2/HMOX1",2
"GO:0097501","GO:0097501","stress response to metal ion","2/1348","13/14277",0.35119616341294,0.35119616341294,0.985613530348603,"MT1DP/SLC30A1",2
"GO:0034599","GO:0034599","cellular response to oxidative stress","24/1348","252/14277",0.514068914565881,0.514068914565881,0.985613530348603,"ANKRD2/ARL6IP5/CCS/CDK2/CFLAR/FABP1/GPR37L1/GSTP1/HMOX1/HSPA1A/KCNC2/KLF2/MAPT/MIR103A2/MIR133A2/NUDT2/PCGF2/PDE8A/PDK2/PML/PYCR2/SNCA/UCP1/WNT16",24
"GO:0051497","GO:0051497","negative regulation of stress fiber assembly","2/1348","20/14277",0.575696769197573,0.575696769197573,0.985613530348603,"PPP1R9A/TACSTD2",2
"GO:1902883","GO:1902883","negative regulation of response to oxidative stress","4/1348","45/14277",0.625266415362791,0.625266415362791,0.985613530348603,"GPR37L1/MCTP1/MIR133A2/PDE8A",4
"GO:0051409","GO:0051409","response to nitrosative stress","1/1348","10/14277",0.629202350289402,0.629202350289402,0.985613530348603,"GCLC",1
"GO:1902237","GO:1902237","positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","1/1348","10/14277",0.629202350289402,0.629202350289402,0.985613530348603,"BOK",1
"GO:0009651","GO:0009651","response to salt stress","2/1348","23/14277",0.653032998912808,0.653032998912808,0.985613530348603,"BDKRB2/TH",2
"GO:0047484","GO:0047484","regulation of response to osmotic stress","1/1348","11/14277",0.664236711529318,0.664236711529318,0.985613530348603,"BDKRB2",1
"GO:0062197","GO:0062197","cellular response to chemical stress","26/1348","296/14277",0.681364618004933,0.681364618004933,0.985613530348603,"ANKRD2/ARL6IP5/BDKRB2/CCS/CDK2/CFLAR/FABP1/GPR37L1/GSTP1/HMOX1/HSPA1A/KCNC2/KLF2/MAPT/MIR103A2/MIR133A2/NUDT2/OXSR1/PCGF2/PDE8A/PDK2/PML/PYCR2/SNCA/UCP1/WNT16",26
"GO:1905897","GO:1905897","regulation of response to endoplasmic reticulum stress","6/1348","72/14277",0.685452131754887,0.685452131754887,0.985613530348603,"BAK1/BOK/BRSK2/HSPA1A/OPA1/TXNDC12",6
"GO:0097201","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","1/1348","12/14277",0.695963117870162,0.695963117870162,0.985613530348603,"HSPA1A",1
"GO:1990169","GO:1990169","stress response to copper ion","1/1348","12/14277",0.695963117870162,0.695963117870162,0.985613530348603,"MT1DP",1
"GO:1903573","GO:1903573","negative regulation of response to endoplasmic reticulum stress","3/1348","38/14277",0.709450603769135,0.709450603769135,0.985613530348603,"HSPA1A/OPA1/TXNDC12",3
"GO:0043149","GO:0043149","stress fiber assembly","7/1348","86/14277",0.714290044895714,0.714290044895714,0.985613530348603,"APOA1/ITGB5/PPP1R9A/ROCK2/SMAD3/TACSTD2/TNFAIP1",7
"GO:0032874","GO:0032874","positive regulation of stress-activated MAPK cascade","12/1348","147/14277",0.743336351909728,0.743336351909728,0.985613530348603,"AGER/ARL6IP5/AXIN1/CCL19/FZD8/IL26/MAP3K11/MAP3K12/NOD2/SYK/TLR9/WNT16",12
"GO:0033555","GO:0033555","multicellular organismal response to stress","5/1348","65/14277",0.747005563493992,0.747005563493992,0.985613530348603,"DPP4/GJA4/NPAS2/VDAC1/VDAC3",5
