"","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","percent_hyper","DM"
"AC018470.1",27,2,38,67,40.2985074626866,29
"SP9",27,2,38,67,40.2985074626866,29
"SLC25A3",25,9,184,218,11.4678899082569,34
"AC009336.1",23,1,24,48,47.9166666666667,24
"HAND1",23,1,50,74,31.0810810810811,24
"HOXD10",23,1,24,48,47.9166666666667,24
"HOXD11",23,1,29,53,43.3962264150943,24
"DHFRL1",22,12,124,158,13.9240506329114,34
"NSUN3",22,12,124,158,13.9240506329114,34
"HOXC-AS1",21,0,46,67,31.3432835820896,21
"HOXC-AS2",21,0,46,67,31.3432835820896,21
"HOXC6",21,0,49,70,30,21
"HOXC9",21,0,46,67,31.3432835820896,21
"OTP",21,0,38,59,35.5932203389831,21
"RP11-1007G5.2",21,2,93,116,18.1034482758621,23
"GTF2A1",20,4,112,136,14.7058823529412,24
"HNMT",20,9,102,131,15.2671755725191,29
"AC010883.5",19,1,68,88,21.5909090909091,20
"HOXD12",19,0,24,43,44.1860465116279,19
"HOXD13",19,0,22,41,46.3414634146341,19
"AC142528.1",18,6,142,166,10.8433734939759,24
"ADI1",18,6,142,166,10.8433734939759,24
"MED13L",18,3,77,98,18.3673469387755,21
"PRKCH",18,2,96,116,15.5172413793103,20
"ARL5B",17,10,122,149,11.4093959731544,27
"ARL5B-AS1",17,10,122,149,11.4093959731544,27
"ETS1",17,2,96,115,14.7826086956522,19
"MARCH9",17,1,43,61,27.8688524590164,18
"MLLT10",17,2,40,59,28.8135593220339,19
"MSL2",17,3,93,113,15.0442477876106,20
"PLEKHB2",17,2,155,174,9.77011494252874,19
"THAP2",17,16,204,237,7.17299578059072,33
"TMPO",17,5,86,108,15.7407407407407,22
"TMPO-AS1",17,5,86,108,15.7407407407407,22
"ZFC3H1",17,16,204,237,7.17299578059072,33
"APAF1",16,6,110,132,12.1212121212121,22
"C14orf28",16,8,57,81,19.7530864197531,24
"CDK4",16,1,37,54,29.6296296296296,17
"DLX1",16,1,24,41,39.0243902439024,17
"HOXD3",16,0,38,54,29.6296296296296,16
"HTATIP2",16,3,90,109,14.6788990825688,19
"IKBIP",16,6,110,132,12.1212121212121,22
"RP11-857B24.1",16,8,57,81,19.7530864197531,24
"SKIDA1",16,3,45,64,25,19
"ZFP36L2",16,0,53,69,23.1884057971014,16
"AC007405.8",15,1,25,41,36.5853658536585,16
"AC008060.8",15,1,35,51,29.4117647058824,16
"AC009487.4",15,0,13,28,53.5714285714286,15
"AC009487.5",15,0,13,28,53.5714285714286,15
"EN2",15,1,35,51,29.4117647058824,16
"GAD1",15,1,25,41,36.5853658536585,16
"HOXA10-AS",15,1,16,32,46.875,16
"HOXA9",15,1,16,32,46.875,16
"HOXD-AS2",15,0,33,48,31.25,15
"LINC00461",15,3,59,77,19.4805194805195,18
"MIR196B",15,1,16,32,46.875,16
"MRPL22",15,5,89,109,13.7614678899083,20
"NGLY1",15,5,123,143,10.4895104895105,20
"OXSM",15,5,123,143,10.4895104895105,20
"RAB28",15,2,142,159,9.43396226415094,17
"RNU2-38P",15,0,73,88,17.0454545454545,15
"SLC4A10",15,0,13,28,53.5714285714286,15
"ZRANB2",15,9,91,115,13.0434782608696,24
"AC104801.1",14,1,29,44,31.8181818181818,15
"C1orf109",14,2,74,90,15.5555555555556,16
"CBX3",14,2,54,70,20,16
"CDCA8",14,2,74,90,15.5555555555556,16
"CTC-467M3.1",14,2,45,61,22.9508196721311,16
"DLX2",14,1,29,44,31.8181818181818,15
"EIF1B",14,4,68,86,16.2790697674419,18
"EVX1",14,0,25,39,35.8974358974359,14
"EVX1-AS",14,0,25,39,35.8974358974359,14
"FAM114A2",14,1,62,77,18.1818181818182,15
"FAM168B",14,3,112,129,10.8527131782946,17
"HNRNPA2B1",14,2,54,70,20,16
"HOXD9",14,0,25,39,35.8974358974359,14
"ITGA6",14,0,28,42,33.3333333333333,14
"LHX1",14,1,29,44,31.8181818181818,15
"MFAP3",14,1,62,77,18.1818181818182,15
"MSMO1",14,3,100,117,11.965811965812,17
"RAPGEF2",14,4,48,66,21.2121212121212,18
"RP11-445F12.1",14,1,29,44,31.8181818181818,15
"SMUG1",14,0,27,41,34.1463414634146,14
