"","Non_responder","Responder","delta"
"AR",-0.299411595547964,0.292509894921901,-0.591921490469864
"ARNTL",0.00461052172873753,-0.113200606719863,0.117811128448601
"ATF1",-0.216775090944743,0.127588733249452,-0.344363824194195
"ATF2",0.182380027265097,-0.140413595350739,0.322793622615835
"ATF4",0.0670150586903105,-0.175034050696401,0.242049109386712
"ATF6",0.0594515602266508,-0.354750833891788,0.414202394118439
"BACH1",-0.0737809904169111,0.0457044955573908,-0.119485485974302
"CDX2",-0.0210021819650355,0.288161499535531,-0.309163681500566
"CEBPA",-0.136741868799577,0.582998868335603,-0.719740737135179
"CEBPB",-0.221642535975618,0.116847089701307,-0.338489625676925
"CEBPD",-0.13437856858685,0.249333228977338,-0.383711797564188
"CREB1",0.0280831068742569,-0.192350882058759,0.220433988933016
"CTCF",-0.192251055706308,0.346756577134881,-0.539007632841189
"E2F1",-0.975403582167787,0.564760086680953,-1.54016366884874
"E2F2",-1.01380673767206,0.745969293305029,-1.75977603097709
"E2F3",-0.281476895196283,-0.0413795390460144,-0.240097356150268
"E2F4",-1.43904379824524,0.922834819354925,-2.36187861760017
"EGR1",-0.014101584108894,-0.0339950461165718,0.0198934620076778
"ELK1",0.390450055110138,-0.409462171996025,0.799912227106163
"EPAS1",-0.108013968459829,0.0596805774648512,-0.167694545924681
"ERG",0.0783789886539468,0.015625973246307,0.0627530154076398
"ESR1",0.111033876871655,-0.0920954161875789,0.203129293059234
"ESR2",-0.140785938248747,0.445232691060689,-0.586018629309435
"ETS1",0.0622845189355867,-0.330773813629195,0.393058332564782
"ETS2",0.100345329530644,0.0993328269077116,0.00101250262293263
"ETV4",0.0530280632086639,0.311438365497463,-0.258410302288799
"FLI1",-0.571083283218618,0.599215322011262,-1.17029860522988
"FOS",0.133595721492566,-0.364185838897224,0.497781560389789
"FOSL1",0.0455675113176269,0.0523866507367583,-0.00681913941913137
"FOSL2",-0.136721976459951,0.269849505746731,-0.406571482206681
"FOXA1",-0.0380633100537831,0.085822448802708,-0.123885758856491
"FOXA2",0.179541503906329,-0.418457884797856,0.597999388704185
"FOXL2",0.242425337260678,-0.0871954468614484,0.329620784122127
"FOXM1",-0.478988494141741,0.353313797974236,-0.832302292115977
"FOXO1",0.143085356358934,0.0596821212985667,0.0834032350603674
"FOXO3",-0.352417690977175,0.184257140811488,-0.536674831788663
"FOXO4",-0.0791781815691005,0.403239117076641,-0.482417298645742
"FOXP1",-0.23677562638052,1.04539679713174,-1.28217242351226
"GATA1",-0.032120670546816,0.445287275170136,-0.477407945716952
"GATA2",-0.252794708092193,0.0658379954658238,-0.318632703558017
"GATA3",0.47483723223254,-0.305680821834602,0.780518054067142
"GLI2",-0.0152854359056919,-0.152812058239127,0.137526622333435
"HIF1A",-0.444564640529846,0.676128320569496,-1.12069296109934
"HNF1A",0.164718877405531,0.651315321269898,-0.486596443864366
"HNF4A",0.179782641496915,0.25868235086262,-0.0788997093657051
"HSF1",-0.623774563737177,0.773364508394563,-1.39713907213174
"IRF1",-0.192886932349614,0.0435315890192934,-0.236418521368908
