"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030889","GO:0030889","negative regulation of B cell proliferation","1/4","13/14866",0.00349368117582738,0.00349368117582738,0.0461519584603296,"CTLA4",1
"GO:0032011","GO:0032011","ARF protein signal transduction","1/4","17/14866",0.00456681593915709,0.00456681593915709,0.0461519584603296,"FBXO8",1
"GO:0032012","GO:0032012","regulation of ARF protein signal transduction","1/4","17/14866",0.00456681593915709,0.00456681593915709,0.0461519584603296,"FBXO8",1
"GO:0050869","GO:0050869","negative regulation of B cell activation","1/4","26/14866",0.00697819999004579,0.00697819999004579,0.0461519584603296,"CTLA4",1
"GO:0045589","GO:0045589","regulation of regulatory T cell differentiation","1/4","29/14866",0.00778102024599336,0.00778102024599336,0.0461519584603296,"CTLA4",1
"GO:0045066","GO:0045066","regulatory T cell differentiation","1/4","31/14866",0.00831596324581163,0.00831596324581163,0.0461519584603296,"CTLA4",1
"GO:0045581","GO:0045581","negative regulation of T cell differentiation","1/4","44/14866",0.0117878221792307,0.0117878221792307,0.0461519584603296,"CTLA4",1
"GO:0016266","GO:0016266","O-glycan processing","1/4","47/14866",0.0125877240742772,0.0125877240742772,0.0461519584603296,"GALNT7",1
"GO:0042130","GO:0042130","negative regulation of T cell proliferation","1/4","51/14866",0.0136535044274998,0.0136535044274998,0.0461519584603296,"CTLA4",1
"GO:0031295","GO:0031295","T cell costimulation","1/4","52/14866",0.0139198146524266,0.0139198146524266,0.0461519584603296,"CTLA4",1
"GO:0031294","GO:0031294","lymphocyte costimulation","1/4","53/14866",0.0141860709465668,0.0141860709465668,0.0461519584603296,"CTLA4",1
"GO:0045620","GO:0045620","negative regulation of lymphocyte differentiation","1/4","54/14866",0.0144522733172017,0.0144522733172017,0.0461519584603296,"CTLA4",1
"GO:0030888","GO:0030888","regulation of B cell proliferation","1/4","56/14866",0.0149845163170792,0.0149845163170792,0.0461519584603296,"CTLA4",1
"GO:0050853","GO:0050853","B cell receptor signaling pathway","1/4","56/14866",0.0149845163170792,0.0149845163170792,0.0461519584603296,"CTLA4",1
"GO:0032945","GO:0032945","negative regulation of mononuclear cell proliferation","1/4","61/14866",0.0163141806650468,0.0163141806650468,0.0461519584603296,"CTLA4",1
"GO:0050672","GO:0050672","negative regulation of lymphocyte proliferation","1/4","61/14866",0.0163141806650468,0.0163141806650468,0.0461519584603296,"CTLA4",1
"GO:0070664","GO:0070664","negative regulation of leukocyte proliferation","1/4","66/14866",0.0176424983812269,0.0176424983812269,0.0469738346992419,"CTLA4",1
"GO:0042100","GO:0042100","B cell proliferation","1/4","82/14866",0.0218840762994861,0.0218840762994861,0.0546548370024484,"CTLA4",1
"GO:0006493","GO:0006493","protein O-linked glycosylation","1/4","86/14866",0.0229423211138184,0.0229423211138184,0.0546548370024484,"GALNT7",1
"GO:1902106","GO:1902106","negative regulation of leukocyte differentiation","1/4","98/14866",0.026111903801211,0.026111903801211,0.0564355139546803,"CTLA4",1
"GO:0050868","GO:0050868","negative regulation of T cell activation","1/4","101/14866",0.0269030930652102,0.0269030930652102,0.0564355139546803,"CTLA4",1
"GO:0050864","GO:0050864","regulation of B cell activation","1/4","103/14866",0.0274302846896004,0.0274302846896004,0.0564355139546803,"CTLA4",1
"GO:1903038","GO:1903038","negative regulation of leukocyte cell-cell adhesion","1/4","116/14866",0.0308518107365122,0.0308518107365122,0.057461937076699,"CTLA4",1
"GO:0045580","GO:0045580","regulation of T cell differentiation","1/4","129/14866",0.0342643010690374,0.0342643010690374,0.057461937076699,"CTLA4",1
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation","1/4","131/14866",0.0347884986100382,0.0347884986100382,0.057461937076699,"CTLA4",1
"GO:0050777","GO:0050777","negative regulation of immune response","1/4","134/14866",0.0355743947617019,0.0355743947617019,0.057461937076699,"CTLA4",1
"GO:1903707","GO:1903707","negative regulation of hemopoiesis","1/4","136/14866",0.0360980588407451,0.0360980588407451,0.057461937076699,"CTLA4",1
"GO:0042129","GO:0042129","regulation of T cell proliferation","1/4","143/14866",0.0379292038906867,0.0379292038906867,0.057461937076699,"CTLA4",1
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","1/4","154/14866",0.0408014447477976,0.0408014447477976,0.057461937076699,"CTLA4",1
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","1/4","156/14866",0.041322978598279,0.041322978598279,0.057461937076699,"CTLA4",1
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","1/4","165/14866",0.043667249541587,0.043667249541587,0.057461937076699,"CTLA4",1
"GO:0042098","GO:0042098","T cell proliferation","1/4","167/14866",0.0441876142326876,0.0441876142326876,0.057461937076699,"CTLA4",1
"GO:0050852","GO:0050852","T cell receptor signaling pathway","1/4","174/14866",0.0460072184869369,0.0460072184869369,0.057461937076699,"CTLA4",1
"GO:0050866","GO:0050866","negative regulation of cell activation","1/4","178/14866",0.0470458251741357,0.0470458251741357,0.057461937076699,"CTLA4",1
"GO:0050870","GO:0050870","positive regulation of T cell activation","1/4","187/14866",0.0493795894189195,0.0493795894189195,0.057461937076699,"CTLA4",1
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","1/4","190/14866",0.0501565574340099,0.0501565574340099,0.057461937076699,"CTLA4",1
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","1/4","191/14866",0.0504154409015942,0.0504154409015942,0.057461937076699,"CTLA4",1
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","1/4","202/14866",0.053259667689497,0.053259667689497,0.057461937076699,"CTLA4",1
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","1/4","204/14866",0.0537761125789581,0.0537761125789581,0.057461937076699,"CTLA4",1
"GO:0006486","GO:0006486","protein glycosylation","1/4","206/14866",0.0542923461498865,0.0542923461498865,0.057461937076699,"GALNT7",1
"GO:0043413","GO:0043413","macromolecule glycosylation","1/4","206/14866",0.0542923461498865,0.0542923461498865,0.057461937076699,"GALNT7",1
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction","1/4","210/14866",0.0553241795667495,0.0553241795667495,0.057461937076699,"FBXO8",1
"GO:0042113","GO:0042113","B cell activation","1/4","212/14866",0.0558397795279649,0.0558397795279649,0.057461937076699,"CTLA4",1
"GO:0070085","GO:0070085","glycosylation","1/4","213/14866",0.0560975003469827,0.0560975003469827,0.057461937076699,"GALNT7",1
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","1/4","217/14866",0.0571278560471833,0.0571278560471833,0.057461937076699,"CTLA4",1
"GO:0030217","GO:0030217","T cell differentiation","1/4","226/14866",0.0594430720195742,0.0594430720195742,0.0579918007287084,"CTLA4",1
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","1/4","234/14866",0.0614974599681403,0.0614974599681403,0.0579918007287084,"CTLA4",1
"GO:0046651","GO:0046651","lymphocyte proliferation","1/4","242/14866",0.0635484806434482,0.0635484806434482,0.0579918007287084,"CTLA4",1
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","1/4","242/14866",0.0635484806434482,0.0635484806434482,0.0579918007287084,"CTLA4",1
"GO:0032943","GO:0032943","mononuclear cell proliferation","1/4","244/14866",0.0640607101072942,0.0640607101072942,0.0579918007287084,"CTLA4",1
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","1/4","251/14866",0.0658518585431275,0.0658518585431275,0.0584327134013532,"CTLA4",1
"GO:0007162","GO:0007162","negative regulation of cell adhesion","1/4","256/14866",0.0671296753959733,0.0671296753959733,0.0584327134013532,"CTLA4",1
"GO:0070661","GO:0070661","leukocyte proliferation","1/4","267/14866",0.0699362576492215,0.0699362576492215,0.0589438841633559,"CTLA4",1
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","1/4","276/14866",0.072227837898441,0.072227837898441,0.0589438841633559,"CTLA4",1
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","1/4","279/14866",0.0729907561073226,0.0729907561073226,0.0589438841633559,"CTLA4",1
"GO:0009101","GO:0009101","glycoprotein biosynthetic process","1/4","286/14866",0.0747690687622854,0.0747690687622854,0.0589438841633559,"GALNT7",1
"GO:0050867","GO:0050867","positive regulation of cell activation","1/4","287/14866",0.0750229044087153,0.0750229044087153,0.0589438841633559,"CTLA4",1
"GO:0050863","GO:0050863","regulation of T cell activation","1/4","289/14866",0.0755304190093234,0.0755304190093234,0.0589438841633559,"CTLA4",1
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","1/4","301/14866",0.0785711222389696,0.0785711222389696,0.0602270564760577,"FBXO8",1
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","1/4","306/14866",0.0798358655612857,0.0798358655612857,0.0602270564760577,"CTLA4",1
"GO:0030098","GO:0030098","lymphocyte differentiation","1/4","323/14866",0.0841262560568885,0.0841262560568885,0.0608035229016596,"CTLA4",1
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","1/4","325/14866",0.0846300196666122,0.0846300196666122,0.0608035229016596,"CTLA4",1
"GO:0002757","GO:0002757","immune response-activating signal transduction","1/4","325/14866",0.0846300196666122,0.0846300196666122,0.0608035229016596,"CTLA4",1
"GO:0009100","GO:0009100","glycoprotein metabolic process","1/4","350/14866",0.0909095463776044,0.0909095463776044,0.0625007420256903,"GALNT7",1
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","1/4","354/14866",0.0919112643600258,0.0919112643600258,0.0625007420256903,"CTLA4",1
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","1/4","356/14866",0.0924118127980836,0.0924118127980836,0.0625007420256903,"CTLA4",1
"GO:0002250","GO:0002250","adaptive immune response","1/4","358/14866",0.0929121542767924,0.0929121542767924,0.0625007420256903,"CTLA4",1
"GO:0045785","GO:0045785","positive regulation of cell adhesion","1/4","368/14866",0.0954107592767467,0.0954107592767467,0.0625007420256903,"CTLA4",1
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","1/4","369/14866",0.0956603355605714,0.0956603355605714,0.0625007420256903,"CTLA4",1
"GO:0002683","GO:0002683","negative regulation of immune system process","1/4","373/14866",0.0966581242955443,0.0966581242955443,0.0625007420256903,"CTLA4",1
"GO:0051249","GO:0051249","regulation of lymphocyte activation","1/4","379/14866",0.0981532589807032,0.0981532589807032,0.0625736121003741,"CTLA4",1
"GO:0007265","GO:0007265","Ras protein signal transduction","1/4","398/14866",0.102875610194622,0.102875610194622,0.0639411179082886,"FBXO8",1
"GO:0002253","GO:0002253","activation of immune response","1/4","399/14866",0.103123640161391,0.103123640161391,0.0639411179082886,"CTLA4",1
"GO:1903706","GO:1903706","regulation of hemopoiesis","1/4","412/14866",0.106343351859636,0.106343351859636,0.0650464314361928,"CTLA4",1
