"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050907","GO:0050907","detection of chemical stimulus involved in sensory perception","181/3952","333/14866",1.9605914222895e-27,1.9605914222895e-27,1.16733613283117e-23,"OR10T2/OR10K2/OR10K1/OR10R2/OR6P1/OR10X1/OR6K2/OR6N2/OR10J3/OR10J1/OR2G2/OR13G1/OR6F1/OR14A2/OR14A16/OR11L1/OR2W3/OR2T8/OR2AJ1/OR2L5/OR2L2/OR2L3/OR2M2/OR2M4/OR14C36/OR2T4/OR2T1/OR2T11/OR14I1/PKD2L1/OR13A1/OR6T1/OR10G4/OR10G7/OR10D3/OR8D1/OR8D2/OR8B3/OR8B4/OR8B8/OR8B12/OR8A1/OR52K1/OR52M1/OR52I2/OR52I1/OR51E2/OR4S1/OR51G2/OR52J3/OR52E2/OR52A1/OR51V1/OR51B4/OR51B2/OR51J1/OR4P4/OR4S2/OR5W2/OR8J3/OR8K5/OR5T2/OR5T3/OR5R1/OR5AL1/OR5M9/OR5M3/OR5M10/OR5M1/OR9G1/OR9G4/OR52N4/OR9Q1/OR6Q1/OR52N5/OR1S1/OR52N1/OR5B17/OR5B3/OR5B2/OR5B21/OR52N2/OR52E6/OR52E8/OR52E4/OR5AN1/OR5A1/OR4D6/OR4D10/OR4D9/OR52L1/OR56A1/OR56B4/OR52B2/OR52W1/OR2AG2/OR5P3/TAS2R8/TAS2R9/TAS2R10/TAS2R13/TAS2R50/TAS2R14/TAS2R42/OR10AD1/OR8S1/OR6C76/OR6C2/OR6C68/OR6C4/OR2AP1/OR10P1/OR4K2/OR4K1/OR4K14/OR4K13/OR4L1/OR4N5/OR11H6/OR6S1/OR6J1/OR1F1/OR2C1/OR1D2/OR1G1/OR1A2/OR1E2/OR4D2/OR7C2/OR1I1/OR10H5/OR1M1/OR7G2/OR7G1/OR7D2/OR7E24/OR6B2/OR6B3/RTP1/RTP4/RTP2/RTP3/GNAT1/OR5K4/OR5K3/OR5K2/OR2Y1/OR2V1/OR2B2/OR2B6/OR2W1/OR2B3/OR2J1/OR2J3/OR14J1/OR12D2/OR2H1/OR11A1/OR2H2/TAS2R3/TAS2R4/TAS2R38/OR9A2/OR6V1/PIP/TAS2R39/TAS2R40/TAS2R60/TAS2R41/GNAT3/AZGP1/OR13C3/OR13C9/OR13D1/OR2K2/OR1J1/OR1J2/OR5C1/OR1K1/OR13J1/OR2S2",181
"GO:0009593","GO:0009593","detection of chemical stimulus","191/3952","366/14866",5.74207348074263e-26,5.74207348074263e-26,1.70941527521708e-22,"CASQ2/OR10T2/OR10K2/OR10K1/OR10R2/OR6P1/OR10X1/OR6K2/OR6N2/OR10J3/OR10J1/OR2G2/OR13G1/OR6F1/OR14A2/OR14A16/OR11L1/OR2W3/OR2T8/OR2AJ1/OR2L5/OR2L2/OR2L3/OR2M2/OR2M4/OR14C36/OR2T4/OR2T1/OR2T11/OR14I1/PKD2L1/OR13A1/OR6T1/OR10G4/OR10G7/OR10D3/OR8D1/OR8D2/OR8B3/OR8B4/OR8B8/OR8B12/OR8A1/STIM1/OR52K1/OR52M1/OR52I2/OR52I1/OR51E2/OR4S1/OR51G2/OR52J3/OR52E2/OR52A1/OR51V1/OR51B4/OR51B2/OR51J1/OR4P4/OR4S2/OR5W2/OR8J3/OR8K5/OR5T2/OR5T3/OR5R1/OR5AL1/OR5M9/OR5M3/OR5M10/OR5M1/OR9G1/OR9G4/OR52N4/OR9Q1/OR6Q1/OR52N5/OR1S1/OR52N1/OR5B17/OR5B3/OR5B2/OR5B21/OR52N2/OR52E6/OR52E8/OR52E4/OR5AN1/OR5A1/OR4D6/OR4D10/OR4D9/OR52L1/OR56A1/OR56B4/OR52B2/OR52W1/OR2AG2/OR5P3/CLEC7A/TAS2R8/TAS2R9/TAS2R10/TAS2R13/TAS2R50/TAS2R14/TAS2R42/OR10AD1/OR8S1/OR6C76/OR6C2/OR6C68/OR6C4/OR2AP1/OR10P1/OR4K2/OR4K1/OR4K14/OR4K13/OR4L1/OR4N5/OR11H6/OR6S1/OR6J1/OR1F1/OR2C1/OR1D2/OR1G1/OR1A2/OR1E2/OR4D2/OR7C2/OR1I1/OR10H5/OR1M1/OR7G2/OR7G1/OR7D2/OR7E24/OR6B2/OR6B3/LBP/KCNMB2/RTP1/RTP4/RTP2/RTP3/GNAT1/OR5K4/OR5K3/OR5K2/TLR1/TLR6/UGT2A1/OR2Y1/OR2V1/OR2B2/OR2B6/OR2W1/OR2B3/OR2J1/OR2J3/OR14J1/OR12D2/OR2H1/OR11A1/OR2H2/TAS2R3/TAS2R4/TAS2R38/OR9A2/OR6V1/PIP/TAS2R39/TAS2R40/TAS2R60/TAS2R41/GCK/GNAT3/AZGP1/LY96/OR13C3/OR13C9/OR13D1/OR2K2/OR1J1/OR1J2/OR5C1/OR1K1/OR13J1/OR2S2",191
"GO:0050911","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","158/3952","294/14866",2.1098705483087e-23,2.1098705483087e-23,4.18738974821e-20,"OR10T2/OR10K2/OR10K1/OR10R2/OR6P1/OR10X1/OR6K2/OR6N2/OR10J3/OR10J1/OR2G2/OR13G1/OR6F1/OR14A2/OR14A16/OR11L1/OR2W3/OR2T8/OR2AJ1/OR2L5/OR2L2/OR2L3/OR2M2/OR2M4/OR14C36/OR2T4/OR2T1/OR2T11/OR14I1/OR13A1/OR6T1/OR10G4/OR10G7/OR10D3/OR8D1/OR8D2/OR8B3/OR8B4/OR8B8/OR8B12/OR8A1/OR52K1/OR52M1/OR52I2/OR52I1/OR51E2/OR4S1/OR51G2/OR52J3/OR52E2/OR52A1/OR51V1/OR51B4/OR51B2/OR51J1/OR4P4/OR4S2/OR5W2/OR8J3/OR8K5/OR5T2/OR5T3/OR5R1/OR5AL1/OR5M9/OR5M3/OR5M10/OR5M1/OR9G1/OR9G4/OR52N4/OR9Q1/OR6Q1/OR52N5/OR1S1/OR52N1/OR5B17/OR5B3/OR5B2/OR5B21/OR52N2/OR52E6/OR52E8/OR52E4/OR5AN1/OR5A1/OR4D6/OR4D10/OR4D9/OR52L1/OR56A1/OR56B4/OR52B2/OR52W1/OR2AG2/OR5P3/OR10AD1/OR8S1/OR6C76/OR6C2/OR6C68/OR6C4/OR2AP1/OR10P1/OR4K2/OR4K1/OR4K14/OR4K13/OR4L1/OR4N5/OR11H6/OR6S1/OR6J1/OR1F1/OR2C1/OR1D2/OR1G1/OR1A2/OR1E2/OR4D2/OR7C2/OR1I1/OR10H5/OR1M1/OR7G2/OR7G1/OR7D2/OR7E24/OR6B2/OR6B3/OR5K4/OR5K3/OR5K2/OR2Y1/OR2V1/OR2B2/OR2B6/OR2W1/OR2B3/OR2J1/OR2J3/OR14J1/OR12D2/OR2H1/OR11A1/OR2H2/OR9A2/OR6V1/OR13C3/OR13C9/OR13D1/OR2K2/OR1J1/OR1J2/OR5C1/OR1K1/OR13J1/OR2S2",158
"GO:0050906","GO:0050906","detection of stimulus involved in sensory perception","190/3952","379/14866",3.91467816197544e-23,3.91467816197544e-23,5.82699844410044e-20,"OR10T2/OR10K2/OR10K1/OR10R2/OR6P1/OR10X1/OR6K2/OR6N2/OR10J3/OR10J1/OR2G2/OR13G1/OR6F1/OR14A2/OR14A16/OR11L1/OR2W3/OR2T8/OR2AJ1/OR2L5/OR2L2/OR2L3/OR2M2/OR2M4/OR14C36/OR2T4/OR2T1/OR2T11/OR14I1/RPE65/PKD2L1/OR13A1/BACE1/OR6T1/OR10G4/OR10G7/OR10D3/OR8D1/OR8D2/OR8B3/OR8B4/OR8B8/OR8B12/OR8A1/CHRNA10/OR52K1/OR52M1/OR52I2/OR52I1/OR51E2/OR4S1/OR51G2/OR52J3/OR52E2/OR52A1/OR51V1/OR51B4/OR51B2/OR51J1/OR4P4/OR4S2/OR5W2/OR8J3/OR8K5/OR5T2/OR5T3/OR5R1/OR5AL1/OR5M9/OR5M3/OR5M10/OR5M1/OR9G1/OR9G4/OR52N4/OR9Q1/OR6Q1/OR52N5/OR1S1/OR52N1/OR5B17/OR5B3/OR5B2/OR5B21/OR52N2/OR52E6/OR52E8/OR52E4/OR5AN1/OR5A1/OR4D6/OR4D10/OR4D9/OR52L1/OR56A1/OR56B4/OR52B2/OR52W1/OR2AG2/OR5P3/TAS2R8/TAS2R9/TAS2R10/TAS2R13/TAS2R50/TAS2R14/TAS2R42/CACNA2D4/OR10AD1/OR8S1/OR6C76/OR6C2/OR6C68/OR6C4/OR2AP1/OR10P1/OR4K2/OR4K1/OR4K14/OR4K13/OR4L1/OR4N5/OR11H6/OR6S1/OR6J1/OR1F1/OR2C1/OR1D2/OR1G1/OR1A2/OR1E2/OR4D2/OR7C2/OR1I1/OR10H5/OR1M1/OR7G2/OR7G1/OR7D2/OR7E24/OR6B2/OR6B3/RTP1/RTP4/RTP2/RTP3/GNAT1/CCDC66/OR5K4/OR5K3/OR5K2/CHRNA9/OR2Y1/OR2V1/OR2B2/OR2B6/OR2W1/OR2B3/OR2J1/OR2J3/OR14J1/OR12D2/OR2H1/OR11A1/OR2H2/EYS/GJA10/TAS2R3/TAS2R4/TAS2R38/OR9A2/OR6V1/PIP/TAS2R39/TAS2R40/TAS2R60/TAS2R41/GNAT3/AZGP1/OR13C3/OR13C9/OR13D1/OR2K2/OR1J1/OR1J2/OR5C1/OR1K1/OR13J1/OR2S2/TMC1",190
"GO:0007606","GO:0007606","sensory perception of chemical stimulus","186/3952","377/14866",1.16311206392126e-21,1.16311206392126e-21,1.38503384571744e-18,"OR10T2/OR10K2/OR10K1/OR10R2/OR6P1/OR10X1/OR6K2/OR6N2/OR10J3/OR10J1/OR2G2/OR13G1/OR6F1/OR14A2/OR14A16/OR11L1/OR2W3/OR2T8/OR2AJ1/OR2L5/OR2L2/OR2L3/OR2M2/OR2M4/OR14C36/OR2T4/OR2T1/OR2T11/OR14I1/GJB4/PKD2L1/OR13A1/OR6T1/OR10G4/OR10G7/OR10D3/OR8D1/OR8D2/OR8B3/OR8B4/OR8B8/OR8B12/OR8A1/OR52K1/OR52M1/OR52I2/OR52I1/OR51E2/OR4S1/OR51G2/OR52J3/OR52E2/OR52A1/OR51V1/OR51B4/OR51B2/OR51J1/OR4P4/OR4S2/OR5W2/OR8J3/OR8K5/OR5T2/OR5T3/OR5R1/OR5AL1/OR5M9/OR5M3/OR5M10/OR5M1/OR9G1/OR9G4/OR52N4/OR9Q1/OR6Q1/OR52N5/OR1S1/OR52N1/OR5B17/OR5B3/OR5B2/OR5B21/OR52N2/OR52E6/OR52E8/OR52E4/OR5AN1/OR5A1/OR4D6/OR4D10/OR4D9/OR52L1/OR56A1/OR56B4/OR52B2/OR52W1/OR2AG2/OR5P3/TAS2R8/TAS2R9/TAS2R10/TAS2R13/TAS2R50/TAS2R14/TAS2R42/OR10AD1/OR8S1/OR6C76/OR6C2/OR6C68/OR6C4/OR2AP1/OR10P1/OR4K2/OR4K1/OR4K14/OR4K13/OR4L1/OR4N5/OR11H6/OR6S1/OR6J1/OR1F1/OR2C1/OR1D2/OR1G1/OR1A2/OR1E2/OR4D2/BEST2/OR7C2/OR1I1/OR10H5/OR1M1/OR7G2/OR7G1/OR7D2/OR7E24/UBR3/OR6B2/OR6B3/RTP1/RTP4/RTP2/RTP3/GNAT1/OR5K4/OR5K3/OR5K2/UGT2A1/OR2Y1/OR2V1/TAAR5/OR2B2/OR2B6/OR2W1/OR2B3/OR2J1/OR2J3/OR14J1/OR12D2/OR2H1/OR11A1/OR2H2/TAS2R3/TAS2R4/TAS2R38/OR9A2/OR6V1/PIP/TAS2R39/TAS2R40/TAS2R60/TAS2R41/GNAT3/AZGP1/OR13C3/OR13C9/OR13D1/OR2K2/OR1J1/OR1J2/OR5C1/OR1K1/OR13J1/OR2S2",186
"GO:0007608","GO:0007608","sensory perception of smell","162/3952","318/14866",8.49835587061185e-21,8.49835587061185e-21,8.43320180893716e-18,"OR10T2/OR10K2/OR10K1/OR10R2/OR6P1/OR10X1/OR6K2/OR6N2/OR10J3/OR10J1/OR2G2/OR13G1/OR6F1/OR14A2/OR14A16/OR11L1/OR2W3/OR2T8/OR2AJ1/OR2L5/OR2L2/OR2L3/OR2M2/OR2M4/OR14C36/OR2T4/OR2T1/OR2T11/OR14I1/GJB4/OR13A1/OR6T1/OR10G4/OR10G7/OR10D3/OR8D1/OR8D2/OR8B3/OR8B4/OR8B8/OR8B12/OR8A1/OR52K1/OR52M1/OR52I2/OR52I1/OR51E2/OR4S1/OR51G2/OR52J3/OR52E2/OR52A1/OR51V1/OR51B4/OR51B2/OR51J1/OR4P4/OR4S2/OR5W2/OR8J3/OR8K5/OR5T2/OR5T3/OR5R1/OR5AL1/OR5M9/OR5M3/OR5M10/OR5M1/OR9G1/OR9G4/OR52N4/OR9Q1/OR6Q1/OR52N5/OR1S1/OR52N1/OR5B17/OR5B3/OR5B2/OR5B21/OR52N2/OR52E6/OR52E8/OR52E4/OR5AN1/OR5A1/OR4D6/OR4D10/OR4D9/OR52L1/OR56A1/OR56B4/OR52B2/OR52W1/OR2AG2/OR5P3/OR10AD1/OR8S1/OR6C76/OR6C2/OR6C68/OR6C4/OR2AP1/OR10P1/OR4K2/OR4K1/OR4K14/OR4K13/OR4L1/OR4N5/OR11H6/OR6S1/OR6J1/OR1F1/OR2C1/OR1D2/OR1G1/OR1A2/OR1E2/OR4D2/BEST2/OR7C2/OR1I1/OR10H5/OR1M1/OR7G2/OR7G1/OR7D2/OR7E24/UBR3/OR6B2/OR6B3/OR5K4/OR5K3/OR5K2/UGT2A1/OR2Y1/OR2V1/OR2B2/OR2B6/OR2W1/OR2B3/OR2J1/OR2J3/OR14J1/OR12D2/OR2H1/OR11A1/OR2H2/OR9A2/OR6V1/OR13C3/OR13C9/OR13D1/OR2K2/OR1J1/OR1J2/OR5C1/OR1K1/OR13J1/OR2S2",162
"GO:0042742","GO:0042742","defense response to bacterium","92/3952","198/14866",1.23469867052594e-09,1.23469867052594e-09,1.05019941204449e-06,"LCE3A/S100A12/S100A8/S100A7/S100A14/IL6R/SYT11/CRP/FCER1G/MR1/MIR181B1/PLA2G2A/IL10/LYST/IL22RA1/IL23R/GBP2/GBP7/DMBT1/LYZL1/MBL2/C10orf99/TIRAP/RAG2/F2/PRG2/STAB2/KLRK1/KLRC4-KLRK1/PLA2G1B/LALBA/KRT6A/LACRT/DCD/LYZ/CLEC4E/RNASE6/RNASE3/CEBPE/CTSG/SPN/HP/CYBA/NOS2/SEH1L/KLK3/KLK5/FPR2/GALP/SLC11A1/CCL20/NLRC4/RAB1A/GNLY/DEFB116/DEFB119/DEFB121/DEFB123/BPIFA2/BPIFA1/ROMO1/LBP/SEMG2/DEFB125/IGLL5/LYZL4/CAMP/TMF1/FOXP1/FGB/FGA/TLR3/RBPJ/TLR6/ANKRD17/PPBP/LEAP2/HAVCR2/DROSHA/DEFB114/DEFB110/SERPINE1/IL6/DEFB136/DEFB134/DEFB1/DEFA6/DEFA4/DEFA5/RIPK2/MIR181B2/IFNE",92
"GO:0031424","GO:0031424","keratinization","64/3952","129/14866",1.79571401948521e-08,1.79571401948521e-08,1.33646015900187e-05,"TCHH/RPTN/HRNR/FLG/LCE5A/LCE3D/LCE3A/LCE2B/LCE2C/LCE4A/LCE1F/LCE1D/LCE6A/IVL/SPRR1A/SPRR3/SPRR2G/TMEM79/CELA2A/LIPK/LIPM/KRT81/KRT83/KRT85/KRT84/KRT82/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT73/KRT2/KRT1/KRT76/KRT3/KRT4/KRT78/KRT79/TGM1/TGM5/KRT25/KRT26/KRT27/KRT28/KRT12/KRT20/KRT23/KRT39/KRT40/KRT33A/KRT33B/KRT31/KRT37/KRT38/KRT35/DSC1/DSG4/KLK5/TGM3/PI3/CSTA/SPINK6",64
"GO:0070268","GO:0070268","cornification","54/3952","104/14866",3.18723911294065e-08,3.18723911294065e-08,2.10853574204985e-05,"TCHH/RPTN/FLG/LCE3D/IVL/SPRR1A/SPRR3/SPRR2G/TMEM79/CELA2A/LIPK/LIPM/KRT81/KRT83/KRT85/KRT84/KRT82/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT73/KRT2/KRT1/KRT76/KRT3/KRT4/KRT78/KRT79/TGM1/TGM5/KRT25/KRT26/KRT27/KRT28/KRT12/KRT20/KRT23/KRT39/KRT40/KRT33A/KRT33B/KRT31/KRT37/KRT38/KRT35/DSC1/DSG4/KLK5/PI3/CSTA/SPINK6",54
"GO:0001580","GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste","22/3952","31/14866",3.08612989532433e-07,3.08612989532433e-07,0.000183748173967611,"TAS2R8/TAS2R9/TAS2R10/TAS2R13/TAS2R50/TAS2R14/TAS2R42/RTP1/RTP4/RTP2/RTP3/GNAT1/TAS2R3/TAS2R4/TAS2R38/PIP/TAS2R39/TAS2R40/TAS2R60/TAS2R41/GNAT3/AZGP1",22
