"","p.value_activities","Non_reponder.mean of x","Responder.mean of y"
"AR",0.325931367862717,-0.309670457015912,0.257385136139497
"ARNTL",0.419798592896506,0.44409755425351,-0.0116658108274666
"ATF1",0.0291969739411753,-0.449959949339265,0.317188784958962
"ATF2",0.519262322922953,0.266174455351119,-0.0540109650143733
"ATF4",0.642225792518356,-0.048712852877694,-0.237571627987396
"ATF6",0.617069632802541,0.19122899704797,-0.126174244035786
"BACH1",0.772298146783608,-0.124165521377441,0.0314147048702036
"CDX2",0.669479605710056,-0.0584055901348723,0.179193742418099
"CEBPA",0.500189298164788,0.0204348057854343,0.590054120195881
"CEBPB",0.534675524582486,-0.240302953597071,0.10470223299217
"CEBPD",0.309656360416393,-0.12476652873929,0.262715939325438
"CREB1",0.779667504138764,-0.0746776310282987,0.0714922177186154
"CTCF",0.534271288882553,-0.138747586452789,0.24462789418392
"E2F1",0.127332656769652,-1.0929831080964,0.617225700293909
"E2F2",0.351637027565972,-0.683851641322859,0.522924861656512
"E2F3",0.805166400546771,-0.265945592587451,-0.0826950921435016
"E2F4",0.23680997430141,-1.14412177517842,0.773916694891479
"EGR1",0.658599260896014,0.147592116792466,-0.0851183763504846
"ELK1",0.0597841181415842,0.617672478801995,-0.495829164484373
"EPAS1",0.290904885370722,-0.4573020975837,0.0095047161454597
"ERG",0.830482138599482,0.0178716323499131,-0.044112309505543
"ESR1",0.726818040381598,0.0970005550162914,-0.103477664324384
"ESR2",0.298128535190957,-0.0476361960901471,0.48437417607151
"ETS1",0.995162408278615,-0.212051198041957,-0.216023089559139
"ETS2",0.902378230174225,0.206219877760081,0.128083718113674
"ETV4",0.232581941810814,-0.0220772611093423,0.353746167833851
"FLI1",0.00776229829113064,-0.649016829310494,0.77023868306886
"FOS",0.874210839096071,-0.161798358121378,-0.259474950605355
"FOSL1",0.995673251584945,0.0289861012766937,0.0317658793875234
"FOSL2",0.420752999885476,-0.116852679553197,0.226353703495307
"FOXA1",0.542632698640122,-0.110026315716343,0.0961324821335395
"FOXA2",0.32569936999432,0.254410198426683,-0.197251000916452
"FOXL2",0.618758209847184,0.0821592025860327,-0.110445282813516
"FOXM1",0.446764743411421,-0.396249727197012,0.254069964059302
"FOXO1",0.923830747969182,0.119616005496388,0.178714192999062
"FOXO3",0.217420433568121,-0.505580423067585,0.158438996341455
"FOXO4",0.220822868708995,0.0184516548944408,0.502782323692794
"FOXP1",0.621474971055479,0.258876384920931,0.678943652239145
"GATA1",0.27278077264513,0.0281223858513127,0.478177691539186
"GATA2",0.326852330822292,-0.419671071478616,0.0853146026940031
"GATA3",0.396089999787603,0.503252632717571,-0.10729616650005
"GLI2",0.859653234810829,-0.0556532269936533,-0.134753941067351
"HIF1A",0.241084665426625,-0.406409285299825,0.468527962499864
"HNF1A",0.355060897516884,0.28408541284087,0.587295445959627
"HNF4A",0.359686526259651,0.510397010767598,0.0738062497302007
"HSF1",0.0579605941307103,-0.4911645567954,0.668391356638652
"IRF1",0.255186230942949,-0.258586168837503,0.306207803636281
"IRF9",0.32330888420066,0.135082636049769,-0.58181393643467
"JUN",0.872854779053381,-0.114728967446083,-0.0222503900481535
"JUND",0.775379738746239,0.232039484063381,0.101354788605937
"KLF4",0.0380523112973129,0.368310772211725,-0.648547452319404
"LEF1",0.953383650273782,-0.0757388262891055,-0.0967374122450113
"MITF",0.987689275214066,0.0701894531883667,0.0616915149772354
"MYB",0.515714812124902,0.289825385174975,-0.114196068960696
"MYC",0.0939213651326086,-1.04028109818409,1.09004405037603
"MYCN",0.197240617404542,-0.676998414246127,0.456260154194988
"NFATC2",0.673526518323148,-0.0296605429396035,-0.224228799623148
