"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","sens","CHR","MAPINFO","UCSC_RefGene_Name","UCSC_RefGene_Group","Relation_to_UCSC_CpG_Island"
"1","cg06266189",-0.350995792811606,0.673716929244117,-3.61353640628385,0.00193808501827116,0.209194694865993,-1.99980753898748,"hypomethylated","2",233790293,"NGEF;NGEF","Body;Body","N_Shore"
"2","cg06282446",-0.378751688636515,0.570585238243662,-2.83879915786651,0.0107515955777035,0.461709157815946,-3.66109904391292,"hypomethylated","5",140174554,"PCDHA1;PCDHA1;PCDHA2;PCDHA2","Body;Body;1stExon;1stExon","N_Shore"
"3","cg06288351",0.338324950751059,0.330603612282016,3.10172307110832,0.00605571673999796,0.356640583712774,-3.11013820806025,"hypermethylated","20",43729897,"KCNS1","TSS200","S_Shore"
"4","cg06309968",0.323718132325316,0.186957966664331,4.78980700619523,0.000139635141606962,0.0518420118328586,0.616025973481818,"hypermethylated","3",138327387,"FAIM;FAIM;FAIM;FAIM","TSS200;TSS200;TSS200;TSS1500","N_Shore"
"5","cg06314568",0.316153535744219,0.170968116561134,5.01031774976058,8.60200171994847e-05,0.0413560532049356,1.10269422511109,"hypermethylated","15",52043507,"LYSMD2;TMOD2;TMOD2;LYSMD2","1stExon;TSS1500;TSS1500;5'UTR","Island"
"6","cg06315974",0.431475374823361,0.364080517797084,5.24913156849862,5.11693962199548e-05,0.0311551928078813,1.62561089694723,"hypermethylated","1",154600712,"ADAR","TSS1500","S_Shore"
"7","cg06326493",0.302716587303373,0.402521336236494,2.24669772019509,0.0371951443374718,0.664060282801026,-4.82280452117272,"hypermethylated","16",1820312,"MAPK8IP3;MAPK8IP3","3'UTR;3'UTR","Island"
"8","cg06339171",-0.348283477643374,0.471680734467914,-2.32817514734877,0.0315279997959063,0.648283961259183,-4.67106781483343,"hypomethylated","3",61873593,"PTPRG","Body",""
"9","cg06339657",0.331079174477031,0.468074889702822,2.6418579927793,0.0163979204455805,0.544579101549348,-4.06140865601441,"hypermethylated","5",76505932,"PDE8B;PDE8B;PDE8B;PDE8B;PDE8B","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500","N_Shore"
"10","cg06345789",0.315674039400397,0.14779148525986,3.36574964459179,0.00337311469904034,0.274627943034731,-2.54225331930824,"hypermethylated","17",43325791,"LOC100133991","Body","S_Shore"
"11","cg06359132",0.389303693387178,0.605981677371097,2.7664822808473,0.0125653547278174,0.49267736538511,-3.80946637717879,"hypermethylated","10",99160096,"RRP12;RRP12","Body;Body","N_Shore"
"12","cg06360776",0.334688483493735,0.216135448185942,2.85712353873379,0.0103336114972765,0.453967630197061,-3.6232682346007,"hypermethylated","16",30545507,"ZNF747","Body","N_Shore"
"13","cg06362282",0.310997937539238,0.377624710755391,2.45230275658185,0.0244170291967878,0.615798656633787,-4.43439439115367,"hypermethylated","6",33245893,"B3GALT4","1stExon","S_Shore"
"14","cg06362985",0.312245049161634,0.625671375207962,2.79312017568494,0.0118655057359801,0.481796240231543,-3.7549918880259,"hypermethylated","12",70132208,"RAB3IP;RAB3IP;RAB3IP;RAB3IP","TSS1500;TSS1500;TSS1500;TSS1500","N_Shore"
"15","cg06373648",0.374128806103468,0.477249366063871,2.41997472716928,0.0261086028181755,0.627477718656476,-4.49664634099928,"hypermethylated","6",33401536,"SYNGAP1","Body",""
"16","cg06376426",0.362134255157607,0.324981618665648,2.90788652386896,0.00925582495662377,0.431576934820803,-3.51799252860378,"hypermethylated","1",24648203,"GRHL3;GRHL3;GRHL3","TSS1500;Body;TSS1500","Island"
"17","cg06382664",0.308498869594654,0.546893795838416,2.79130673659471,0.0119119390255876,0.482490100527466,-3.75870700443756,"hypermethylated","11",73098877,"RELT;RELT","5'UTR;5'UTR",""
"18","cg06388418",0.3148356711401,0.26337140581293,4.36445351982743,0.000359298909124436,0.0897729984719827,-0.329849264064616,"hypermethylated","16",27237190,"NSMCE1","Body",""
"19","cg06392241",0.310656746663792,0.245332265536784,2.41255189330911,0.0265121918646987,0.628851247928,-4.51088048019658,"hypermethylated","12",93771346,"NUDT4;NUDT4P1;NUDT4","TSS1500;TSS1500;TSS1500","N_Shore"
"20","cg06400704",-0.401068198529873,0.4294020446422,-2.62091722432286,0.0171424697637712,0.552747108646511,-4.10324571653186,"hypomethylated","1",240256644,"FMN2","1stExon","Island"
"21","cg06408559",0.320434618087468,0.56123086466384,2.39690869850811,0.0273819027348109,0.632730768424549,-4.54080423945001,"hypermethylated","1",212963092,"NSL1;NSL1","Body;Body","N_Shore"
"22","cg06412669",0.393113535209594,0.215259965918341,2.79798082581116,0.0117419032362214,0.480601092809831,-3.74502934676912,"hypermethylated","17",78735550,"RPTOR;RPTOR","Body;Body",""
"23","cg06415153",0.358057550202001,0.354581131080847,3.91461871239093,0.000985543786720008,0.15321045407118,-1.33285809980241,"hypermethylated","12",123519476,"PITPNM2","5'UTR",""
"24","cg06416034",-0.312419076472754,0.467785773929535,-2.64431906220497,0.0163124631174829,0.543173556133691,-4.05648200079144,"hypomethylated","10",92395206,"","",""
"25","cg06417460",0.3178492255377,0.253243531673353,3.73973956648256,0.00145999060864044,0.184052089065253,-1.72103757239013,"hypermethylated","11",60869760,"CD5","TSS200",""
"26","cg06422678",0.421961856957131,0.184850430811793,3.24294702505651,0.00443208153558342,0.3116759710082,-2.80792041129034,"hypermethylated","7",150147922,"GIMAP8","TSS200",""
"27","cg06423252",0.385551565955296,0.282068088896004,3.65616078958927,0.00176134902439826,0.203107088525763,-1.90580953624297,"hypermethylated","10",115861227,"","","S_Shore"
"28","cg06437100",0.401232313746895,0.234784393699509,3.38739732279365,0.0032141953017898,0.267702670440739,-2.49517861443202,"hypermethylated","16",21767742,"OTOA;OTOA;OTOA","Body;Body;Body","N_Shore"
"29","cg06442240",0.383470316905108,0.552238622273273,2.68236712496361,0.0150440184795889,0.527117944480835,-3.98006006588976,"hypermethylated","16",19129228,"ITPRIPL2;ITPRIPL2;ITPRIPL2","1stExon;Body;3'UTR","S_Shore"
"30","cg06449334",0.372730344103064,0.265402641025227,3.30680105234765,0.00384611684428807,0.292070636163491,-2.6700843024418,"hypermethylated","20",17593441,"","","N_Shore"
"31","cg06455375",0.41885080265172,0.37745761755785,3.14551271512904,0.00549841518635386,0.341423859554467,-3.01684350961623,"hypermethylated","11",1947743,"TNNT3;TNNT3;TNNT3;TNNT3","Body;Body;Body;Body","Island"
"32","cg06457011",0.523911424036439,0.241468044007628,4.15718580483806,0.000571555884242782,0.115233809398255,-0.792299354942883,"hypermethylated","20",39767490,"PLCG1;PLCG1","Body;Body","S_Shore"
"33","cg06461306",0.376593192085316,0.315758108620129,2.53054872816719,0.0207389150919281,0.588563559156746,-4.28203071182846,"hypermethylated","7",767490,"PRKAR1B;PRKAR1B;HEATR2;PRKAR1B","TSS200;TSS1500;Body;TSS200","S_Shore"
"34","cg06477663",0.330227238630702,0.608340306847381,2.49851165989667,0.0221769076539665,0.599651135014757,-4.34469764535935,"hypermethylated","13",46757415,"LCP1","TSS1500",""
"35","cg06480171",0.319572150114154,0.124882288220935,3.7748987715839,0.00134911007568982,0.178713864846819,-1.64314797809566,"hypermethylated","2",37853482,"","",""
"36","cg06487082",0.349256269350803,0.225417709946058,2.95521287933375,0.00834932298463197,0.411763421694191,-3.41923966745379,"hypermethylated","18",56530106,"ZNF532;ZNF532","1stExon;5'UTR","N_Shore"
"37","cg06487986",0.325051735434035,0.0923702951919304,3.5486070095827,0.00224167393513183,0.223827697170941,-2.14264876321427,"hypermethylated","1",7843564,"PER3","TSS1500","Island"
"38","cg06492796",0.36838743837572,0.385909770066276,2.84712909225203,0.0105596093425168,0.458041653520772,-3.64391335148324,"hypermethylated","12",96883057,"","","N_Shore"
"39","cg06496803",0.30867869407598,0.656124698276156,3.02653361999345,0.00714351911894283,0.384062728086216,-3.2693819982065,"hypermethylated","4",6940915,"TBC1D14;TBC1D14","Body;Body",""
"40","cg06510074",-0.303811226980945,0.401316919217475,-2.76379248659997,0.0126381818655768,0.494225158778959,-3.81495527726758,"hypomethylated","7",121957221,"","","Island"
"41","cg06512885",0.3930769216568,0.211722169225632,3.15052976646226,0.00543785284618949,0.340670041059069,-3.00612987046534,"hypermethylated","19",50922190,"SPIB","TSS200",""
"42","cg06514003",0.414940076712258,0.507219680425807,3.10103150612248,0.00606494549818071,0.356903840593411,-3.11160843379545,"hypermethylated","17",40330907,"KCNH4","Body","N_Shore"
"43","cg06525670",0.375785145170492,0.402431358736079,3.32460587836027,0.00369676583225318,0.287076695655144,-2.631531089175,"hypermethylated","13",30528708,"","",""
"44","cg06532212",0.398629138540659,0.480158263822349,2.64621673005292,0.0162468584446036,0.542597473170484,-4.05268179386507,"hypermethylated","19",47260078,"FKRP;FKRP","Body;Body","Island"
"45","cg06533408",0.413995775100027,0.356047677936946,3.04102098988195,0.00692012120368378,0.379197390953095,-3.23879631634031,"hypermethylated","12",69139618,"SLC35E3","TSS1500","N_Shore"
"46","cg06538684",0.529236531634056,0.401255341332819,4.99803320247531,8.83629191814834e-05,0.0419447032915876,1.07567130276295,"hypermethylated","12",12511223,"LOH12CR2;LOH12CR1","TSS1500;Body","S_Shore"
